@relation 'Ant14AllModels-weka.filters.unsupervised.attribute.Remove-R1-2,29-30-weka.filters.unsupervised.attribute.Remove-R1-19,21-42'

@attribute 'd( WMC,CBO)' numeric
@attribute #Risk numeric

@data
126.826653,9
140.470638,0
63,0
143.265488,0
150.840976,0
156.284996,0
141.767415,0
151.182009,0
155.309369,0
123.438244,0
154.434452,0
145.797805,0
118.072012,11
151.182009,0
145.825238,0
106.150836,0
140.943251,0
151.716841,0
153.075145,0
16.03122,6
105.418215,0
126.12692,11
143.589693,8
125.219807,3
67.416615,0
147.732867,3
148.003378,0
141.322327,3
145.361618,0
139.129436,3
145.413204,0
137.295302,3
151.818971,0
144.402216,0
131.72699,4
146.986394,0
147.851277,0
149.217961,0
150.08331,0
147.492373,0
147.492373,0
145.619367,0
150.08331,0
149.09393,0
152.689227,0
148.003378,0
140.431478,0
151.716841,0
152.689227,0
152.689227,0
152.200526,0
150.840976,0
132.849539,5
146.294224,0
149.003356,0
135.959553,0
151.647618,0
139.97857,3
138.708327,0
151.716841,0
146.372812,10
145.89037,0
145.89037,0
146.249786,0
129.769026,3
122.54387,5
147.24809,0
133.296662,3
145.12064,0
147.176764,0
149.966663,0
145.499141,0
148.124947,0
139.55644,3
143.561833,0
146.294224,0
149.966663,0
150.764717,0
139.086304,0
127.632284,0
115.208507,4
153.473125,0
108,5
150.950323,0
148.03378,0
150.721598,0
146.768525,0
146.632193,0
147.597426,0
152.315462,0
132.003788,0
152.200526,0
145.12064,3
153,0
150.455974,0
144.059016,0
142.663941,0
134.078335,0
143.108351,3
144.533733,0
144.086779,0
150.359569,0
141.031911,0
121.564797,0
135.059246,0
148.717854,0
149.09393,0
148.717854,0
147.851277,0
147.732867,0
148.060798,0
152.200526,0
140.943251,0
149.816554,0
131.308796,5
154.434452,0
141.031911,3
151.818971,3
153.951291,0
142.77955,0
154.922561,0
149.586096,0
152.689227,3
145.989726,0
139.186925,0
144.941368,0
153.075145,0
135.148067,0
125.004,3
120.83046,3
136.85759,5
139.186925,0
152.689227,0
135.67977,0
149.586096,0
148.060798,0
120.440857,0
139.129436,0
149.48244,0
141.354165,0
114.934764,3
138.293167,0
137.379038,3
142.298981,5
150.764717,0
141.904898,9
153,0
140.132081,0
142.69548,3
152.594233,0
152.118375,3
152.594233,0
150.840976,0
147.732867,0
150.359569,0
149.966663,0
152.200526,3
150.359569,3
146.986394,5
141.354165,0
142.088001,0
153,0
153,0
145.230851,0
155.415572,0
137.898513,0
146.321564,0
146.741269,0
151.611345,0
143.781084,0
148.946299,0
155.415572,0
148.922799,0
141.693331,0
149.003356,0
151.182009,0
142.270868,0
147.648231,0
