@relation 'ACPLocRfcCa-weka.filters.unsupervised.attribute.Remove-R1-2,5-30,32-weka.filters.unsupervised.attribute.NumericToBinary-R2-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,1'

@attribute #BugsBinary_binarized {0,1}
@attribute 'd(RFC,d(LOC, Ca))' numeric
@attribute 'd(LOC,d(RFC, Ca))' numeric
@attribute 'd(LOC, RFC, Ca)' numeric
@attribute 'd(d(LOC,Ce),d(RFC, Ca))' numeric
@attribute #Bugs numeric

@data
1,585.813421,3675.325241,3682.64701,571.102693,5
1,808.534869,3445.453127,3452.683739,801.009375,6
1,1738.746575,2505.367191,2512.242425,1742.061367,5
1,2455.711041,1808.277687,1792.540376,2463.959018,5
1,786.667607,3466.5007,3473.437203,780.285905,4
1,926.378441,3325.49331,3332.863934,920.86265,3
1,682.589627,3573.411425,3580.515745,673.270042,2
1,772.077587,3486.243584,3494.590677,759.135266,2
1,821.996401,3428.785168,3434.593717,819.387309,2
1,853.299834,3395.770314,3401.723387,852.144265,2
1,215.165687,4162.011006,4171.175973,82.561956,2
1,599.048483,3663.253102,3671.053527,582.643127,1
1,861.504983,3389.614078,3396.23571,857.4999,1
1,249.40789,4081.034081,4089.883372,163.86899,1
1,696.55258,3561.332823,3568.905014,684.773583,1
1,241.085677,4098.028455,4106.939128,146.822076,1
1,264.866659,4044.090002,4052.292684,201.849487,1
1,315.047436,3983.078185,3991.551327,262.220184,1
1,609.537608,3657.136769,3665.842604,587.900941,1
1,209.609431,4178.010963,4187.14091,66.710786,1
1,728.936329,3527.38977,3534.731249,718.954459,4
1,1179.892285,3073.703831,3080.887859,1172.837264,2
1,243.943882,4078.068269,4086.439648,167.713706,1
1,237.401925,4103.043039,4111.697825,142.250376,1
1,428.73676,3843.222669,3850.784206,403.168501,1
1,237.886768,4102.031125,4110.883847,142.921908,1
1,1371.252335,2876.194951,2882.171577,1371.509222,4
1,707.133823,3547.052484,3551.618364,703.443316,2
1,1350.645447,2897.55597,2902.301501,1351.322699,2
1,823.978172,3432.304045,3440.410005,813.341812,2
1,368.144527,3915.139407,3923.169892,330.696527,2
1,1209.718475,3041.679322,3049.078877,1204.812124,2
1,220.210454,4154.012504,4163.152411,90.556254,2
1,525.157686,3741.29097,3748.654425,505.167477,2
1,375.276879,3910.102554,3918.487974,335.203812,1
1,729.931541,3525.421085,3532.6006,721.093918,1
1,647.375578,3614.309429,3621.881003,631.784536,1
1,406.712564,3883.10039,3891.573204,362.066327,1
1,212.173942,4173.009386,4182.199541,71.569847,1
1,334.112488,3958.124103,3966.189859,287.755032,1
1,681.035321,3571.588183,3577.849214,676.210355,1
0,217.853827,4157.180024,4164.355773,95.204411,0
0,223.52181,4155.010384,4164.210129,89.464469,0
0,731.088496,3529.205406,3537.704623,716.059751,0
0,212.021818,4241.000509,4250.4995,3.649631,0
0,222.856593,4136.02314,4144.951266,108.871223,0
0,1053.765108,3198.207603,3203.138773,1050.734039,0
0,274.333152,4046.043697,4054.819355,198.907929,0
0,250.568082,4077.043313,4085.753174,168.071907,0
0,207.953346,4224.001673,4233.425209,20.341884,0
0,207.24955,4234.007194,4243.135751,12.678855,0
0,412.592654,3868.108602,3876.535696,377.119638,0
0,232.572671,4114.023338,4122.997575,130.732446,0
0,209.28398,4233.000619,4242.50327,11.250291,0
0,206.772716,4217.006257,4226.208111,27.974115,0
0,275.132135,4043.050573,4051.732592,202.059172,0
0,494.666511,3780.106634,3788.774208,464.834225,0
0,240.695258,4107.016605,4116.157553,137.484484,0
