Class Name,HasT,#Bugs,#BugsBinary,#Blocker,#Critical,#Major,#Normal,#Minor,#Trivial,WMC,CBO,RFC,Ca,Ce,LOC,Qi,FANIN,"d(LOC,FANIN)","d(Qi,FANIN)","d(WMC,FANIN)","d( WMC,CBO)","d(Qi,CBO)","d(LOC, CBO)","d(LOC, Ce)","d(LOC, Ca)","d(WMC, Ce)","d(WMC, Ca)",Risk1,TLOC,"d(RFC,d(LOC, Ca))","d(RFC, Ca)","d(LOC,d(RFC, Ca))","d(LOC, RFC, Ca)","d(d(LOC,Ce),d(RFC, Ca))","d(LOC, WMC)","d(d(LOC,WMC),d(RFC, Ca))","D(d(LOC,RFC), d(LOC,Ca), d(RFC, Ca))","d(LOC, RFC)"
org.apache.tools.ant.taskdefs.Manifest,1,5,1,2,0,0,3,0,0,17,7,71,2,5,569,0.583372242,3,3686.741244,294.0002952,303.1699194,200.1799191,186.0004666,3679.703928,3675.122447,3679.908287,79.84985911,203.9019372,21,171,585.8134214,237.2003373,3675.325241,3682.64701,571.1026927,3675.744959,571.3265602,4505982.036,13505767
org.apache.tools.ant.taskdefs.Jar,1,6,1,1,1,1,3,0,0,21,15,83,2,13,799,0.319521039,4,3457.43749,293.0007902,301.2457469,191.2694435,178.0013007,3449.595484,3445.070246,3450.235499,73.37574531,202.4845673,24,134,808.5348691,230.2172887,3445.453127,3452.683739,801.0093751,3445.711102,801.21522,6143594.052,11868155
org.apache.tools.ant.taskdefs.Zip,1,5,1,1,1,1,2,0,0,34,25,138,3,22,1740,0.234041895,7,2520.737194,290.0010115,295.5486424,177.4063133,168.0017461,2509.629455,2504.033746,2511.122657,58.46366393,197.4082065,21,49,1738.746575,203.3371584,2505.367191,2512.242425,1742.061367,2504.648678,1742.293376,11741658.13,6270091
org.apache.tools.ant.Project,1,5,1,1,0,0,2,2,0,91,157,212,148,17,2452,0.103267924,145,1798.434875,152.0026451,152,36,36.01116672,1792.361571,1792.0904,1792.540097,18,44,16,128,2455.711041,44.01136217,1808.277687,1792.540376,2463.959018,1792,2464.892087,14800484.21,3211265
org.apache.tools.ant.taskdefs.SQLExec,1,4,1,1,0,1,1,1,0,18,13,90,1,13,778,0.645021609,5,3478.27831,292.0002158,300.9867107,194.2395428,180.00035,3470.670829,3466.06982,3471.258705,76.24303247,204.4749373,15,132,786.6676068,227.178344,3466.5007,3473.437203,780.2859048,3466.768668,780.4338371,5998470.051,12013279
org.apache.tools.ant.taskdefs.Copy,1,3,1,1,0,1,1,0,0,27,18,87,1,17,919,0.217968946,6,3337.709694,291.0010508,297.9546945,186.3357185,175.0017473,3329.602078,3325.048721,3330.481347,66.48308055,201.4373352,13,71,926.378441,228.8165204,3325.49331,3332.863934,920.86265,3325.615883,921.1421503,6955998.061,11055751
org.apache.tools.ant.taskdefs.Tar,1,2,1,1,0,1,0,0,0,11,17,83,0,17,671,0.855679997,4,3584.993445,293.0000355,303.7252047,193.3287356,176.0000592,3577.332106,3573.04534,3578.154971,82,208,10,74,682.5896273,231.8706536,3573.411425,3580.515745,673.2700416,3573.895494,673.2671009,5245290.043,12766459
org.apache.tools.ant.taskdefs.AntStructure,1,2,1,1,0,0,0,1,0,10,7,61,0,7,758,0.908702087,4,3498.291726,293.0000142,303.9901314,202.8718808,186.0000224,3490.958608,3486.112448,3491.283432,85.70297544,208.3866598,8,11,772.0775867,244.8836458,3486.243584,3494.590677,759.1352663,3486.940923,759.1539674,5859401.049,12152348
org.apache.tools.ant.taskdefs.Rmic,1,2,1,1,0,0,1,0,0,48,25,108,7,20,816,0.017419949,7,3440.244759,290.0016646,293.1705988,173.4156856,168.0028734,3432.114217,3428.032818,3432.988348,45.54119015,189.9315666,9,54,821.9964014,212.7204739,3428.785168,3434.593717,819.3873092,3428.26968,819.9952003,6260460.054,11751289
org.apache.tools.ant.taskdefs.Ant,1,2,1,1,1,0,0,0,0,19,16,117,1,15,849,0.290581408,6,3407.448606,291.0008647,299.7749156,191.0837513,177.0014217,3399.61086,3395.05891,3400.368509,74.72616677,204.1200627,11,347,853.2998337,213.7685664,3395.770314,3401.723387,852.1442654,3395.76339,852.2864739,6485628.056,11526121
org.apache.tools.ant.taskdefs.Mkdir,1,2,1,1,0,0,1,0,0,3,3,14,0,3,82,0.96655368,4,4172.300684,293.0000019,305.9297305,209.389589,190.0000029,4166.3346,4162.123016,4166.426286,93.63759929,211.2060605,9,23,215.1656873,276.5230551,4162.011006,4171.175973,82.56195579,4162.930218,82.60168784,689306.0049,17322443
org.apache.tools.ant.taskdefs.Concat,1,1,1,1,0,0,0,0,0,12,11,64,0,11,581,0.816799704,4,3674.699716,293.0000573,303.4633421,198.4061491,182.0000922,3667.518643,3663.078623,3668.02849,82.56512581,207.6174366,6,51,599.0484833,243.0329196,3663.253102,3671.053527,582.643127,3663.851798,582.7169532,4594031.037,13417718
org.apache.tools.ant.taskdefs.AbstractCvsTask,1,1,1,1,0,0,0,0,0,40,17,99,2,15,855,0.393809386,5,3401.556261,292.0006292,296.4203097,183.2402794,176.0010439,3393.567002,3389.059014,3394.321876,54.7813837,196.7256974,6,29,861.5049831,221.576172,3389.614078,3396.23571,857.4999003,3389.38372,858.020918,6526314.056,11485435
org.apache.tools.ant.taskdefs.BUnzip2,1,1,1,1,0,0,0,0,0,3,5,24,0,5,163,0.972455693,0,4091.793006,297.0000013,309.7628125,207.5764919,188.000002,4085.328016,4081.110266,4085.514044,92.97311439,211.2060605,6,17,249.40789,269.4160352,4081.034081,4089.883372,163.8689904,4081.948677,163.8777373,1356999.01,16654750
org.apache.tools.ant.taskdefs.Checksum,1,1,1,1,0,0,0,0,0,15,11,72,1,10,683,0.847050663,4,3573.033725,293.0000399,302.6962174,197.2308292,182.0000643,3565.647907,3561.087755,3566.118618,80.00624976,205.5650749,6,39,696.5525798,237.4068238,3561.332823,3568.905014,684.7735835,3561.810916,684.8973127,5330887.044,12680862
org.apache.tools.ant.taskdefs.Parallel,1,1,1,1,0,0,0,0,0,3,6,21,1,6,146,0.98866506,3,4108.532585,294.0000002,306.8876016,206.6712365,187.0000003,4102.264375,4098.10261,4102.448659,92.65527508,210.2974084,6,43,241.0856766,270.8228203,4098.028455,4106.939128,146.8220764,4098.944742,146.8271201,1217953.009,16793796
org.apache.tools.ant.taskdefs.LoadProperties,1,1,1,1,0,0,0,0,0,4,8,39,0,8,200,0.967098417,0,4054.891491,297.0000018,309.4802094,204.435809,185.0000029,4048.229366,4044.090133,4048.555298,91.0933587,210.791366,6,16,264.8666592,259.1138746,4044.090002,4052.292684,201.849487,4044.935723,201.8510861,1657639.012,16354110
org.apache.tools.ant.taskdefs.LoadFile,1,1,1,1,0,0,0,0,0,7,7,36,0,7,261,0.892368018,0,3994.057836,297.0000195,308.6502875,204.0882162,186.0000311,3987.340592,3983.098417,3987.624982,88.54377448,209.5709904,6,67,315.0474358,261.1378946,3983.078185,3991.551327,262.2201838,3983.885666,262.2798664,2147283.016,15864466
org.apache.tools.ant.taskdefs.Move,1,1,1,1,0,0,0,0,0,5,11,46,0,11,587,0.868902251,1,3668.959662,296.000029,308.2401661,201.2958022,182.0000472,3661.526048,3657.078752,3662.036728,89.28605714,210.3806075,6,27,609.5376076,254.4661078,3657.136769,3665.842604,587.9009407,3658.011072,587.8159483,4637933.037,13373816
org.apache.tools.ant.taskdefs.BZip2,1,1,1,1,0,0,0,0,0,2,5,14,0,5,66,0.993162879,0,4188.543064,297.0000001,310.0483833,208.0024038,188.0000001,4182.227636,4178.107706,4182.409353,93.92017888,211.6246677,6,24,209.6094315,276.5230551,4178.010963,4187.14091,66.71078558,4178.947834,66.71778763,555866.004,17455883
org.apache.tools.ant.taskdefs.Property,1,4,1,0,1,0,3,0,0,30,12,77,2,10,717,0.057821722,5,3539.066685,292.00152,298.3035367,191.0026178,181.0024522,3531.641262,3527.088601,3532.113956,65.9241989,199.5519982,14,43,728.9363286,233.6578695,3527.38977,3534.731249,718.9544589,3527.527463,719.3617141,5571884.046,12439865
