Class Name,HasT,#Bugs,#BugsBinary,#Blocker,#Critical,#Major,#Normal,#Minor,#Trivial,WMC,CBO,RFC,Ca,Ce,LOC,Qi,FANIN,"d(LOC,FANIN)","d(Qi,FANIN)","d(WMC,FANIN)","d( WMC,CBO)","d(Qi,CBO)","d(LOC, CBO)","d(LOC, Ce)","d(LOC, Ca)","d(WMC, Ce)","d(WMC, Ca)",Risk1,TLOC
org.apache.tools.ant.taskdefs.Manifest,1,5,1,2,0,0,3,0,0,17,7,71,2,5,569,0.583372242,3,3686.741,294,303.17,200.18,186,3679.704,3675.122,3679.908,79.85,203.902,21,171
org.apache.tools.ant.taskdefs.Jar,1,6,1,1,1,1,3,0,0,21,15,83,2,13,799,0.319521039,4,3457.437,293.001,301.246,191.269,178.001,3449.595,3445.07,3450.235,73.376,202.485,24,134
org.apache.tools.ant.taskdefs.Zip,1,5,1,1,1,1,2,0,0,34,25,138,3,22,1740,0.234041895,7,2520.737,290.001,295.549,177.406,168.002,2509.629,2504.034,2511.123,58.464,197.408,21,49
org.apache.tools.ant.Project,1,5,1,1,0,0,2,2,0,91,157,212,148,17,2452,0.103267924,145,1798.435,152.003,152,36,36.011,1792.362,1792.09,1792.54,18,44,16,128
org.apache.tools.ant.taskdefs.SQLExec,1,4,1,1,0,1,1,1,0,18,13,90,1,13,778,0.645021609,5,3478.278,292,300.987,194.24,180,3470.671,3466.07,3471.259,76.243,204.475,15,132
org.apache.tools.ant.taskdefs.Copy,1,3,1,1,0,1,1,0,0,27,18,87,1,17,919,0.217968946,6,3337.71,291.001,297.955,186.336,175.002,3329.602,3325.049,3330.481,66.483,201.437,13,71
org.apache.tools.ant.taskdefs.Tar,1,2,1,1,0,1,0,0,0,11,17,83,0,17,671,0.855679997,4,3584.993,293,303.725,193.329,176,3577.332,3573.045,3578.155,82,208,10,74
org.apache.tools.ant.taskdefs.AntStructure,1,2,1,1,0,0,0,1,0,10,7,61,0,7,758,0.908702087,4,3498.292,293,303.99,202.872,186,3490.959,3486.112,3491.283,85.703,208.387,8,11
org.apache.tools.ant.taskdefs.Rmic,1,2,1,1,0,0,1,0,0,48,25,108,7,20,816,0.017419949,7,3440.245,290.002,293.171,173.416,168.003,3432.114,3428.033,3432.988,45.541,189.932,9,54
org.apache.tools.ant.taskdefs.Ant,1,2,1,1,1,0,0,0,0,19,16,117,1,15,849,0.290581408,6,3407.449,291.001,299.775,191.084,177.001,3399.611,3395.059,3400.369,74.726,204.12,11,347
