@relation 'Ant15-Arrondi3-weka.filters.unsupervised.attribute.Remove-R1-3,5-18,29-30'

@attribute #BugsBinary numeric
@attribute 'd(LOC,FANIN)' numeric
@attribute 'd(Qi,FANIN)' numeric
@attribute 'd(WMC,FANIN)' numeric
@attribute 'd( WMC,CBO)' numeric
@attribute 'd(Qi,CBO)' numeric
@attribute 'd(LOC, CBO)' numeric
@attribute 'd(LOC, Ce)' numeric
@attribute 'd(LOC, Ca)' numeric
@attribute 'd(WMC, Ce)' numeric
@attribute 'd(WMC, Ca)' numeric

@data
1,3686.741,294,303.17,200.18,186,3679.704,3675.122,3679.908,79.85,203.902
1,3457.437,293.001,301.246,191.269,178.001,3449.595,3445.07,3450.235,73.376,202.485
1,2520.737,290.001,295.549,177.406,168.002,2509.629,2504.034,2511.123,58.464,197.408
1,1798.435,152.003,152,36,36.011,1792.362,1792.09,1792.54,18,44
1,3478.278,292,300.987,194.24,180,3470.671,3466.07,3471.259,76.243,204.475
1,3337.71,291.001,297.955,186.336,175.002,3329.602,3325.049,3330.481,66.483,201.437
1,3584.993,293,303.725,193.329,176,3577.332,3573.045,3578.155,82,208
1,3498.292,293,303.99,202.872,186,3490.959,3486.112,3491.283,85.703,208.387
1,3440.245,290.002,293.171,173.416,168.003,3432.114,3428.033,3432.988,45.541,189.932
1,3407.449,291.001,299.775,191.084,177.001,3399.611,3395.059,3400.369,74.726,204.12
1,4172.301,293,305.93,209.39,190,4166.335,4162.123,4166.426,93.638,211.206
1,3674.7,293,303.463,198.406,182,3667.519,3663.079,3668.028,82.565,207.617
1,3401.556,292.001,296.42,183.24,176.001,3393.567,3389.059,3394.322,54.781,196.726
1,4091.793,297,309.763,207.576,188,4085.328,4081.11,4085.514,92.973,211.206
1,3573.034,293,302.696,197.231,182,3565.648,3561.088,3566.119,80.006,205.565
1,4108.533,294,306.888,206.671,187,4102.264,4098.103,4102.449,92.655,210.297
1,4054.891,297,309.48,204.436,185,4048.229,4044.09,4048.555,91.093,210.791
1,3994.058,297,308.65,204.088,186,3987.341,3983.098,3987.625,88.544,209.571
1,3668.96,296,308.24,201.296,182,3661.526,3657.079,3662.037,89.286,210.381
1,4188.543,297,310.048,208.002,188,4182.228,4178.108,4182.409,93.92,211.625
1,3539.067,292.002,298.304,191.003,181.002,3531.641,3527.089,3532.114,65.924,199.552
1,3085.014,272.001,277.908,169.85,160.002,3077.162,3073.137,3077.427,63.953,174.568
1,4088.512,293,304.258,201.445,184.001,4082.149,4078.083,4082.517,86.023,208.777
1,4113.377,292,303.567,202.766,185,4107.169,4103.125,4107.259,88.955,204.592
1,3853.48,284.002,291.122,193.869,183.003,3847.355,3843.088,3847.743,69.08,201.437
1,4112.38,292,304.685,206.247,187,4106.26,4102.103,4106.444,91.706,209.881
1,2888.122,275.001,279.331,179.805,173.002,2880.2,2875.127,2880.505,55.946,184.621
1,3557.038,280.002,284.429,149.603,141.003,3548.802,3546.011,3549.883,50.804,173.367
1,2908.282,267,274.104,176.264,165.001,2900.697,2896.145,2900.811,68.447,178.138
1,3444.484,293.002,301.48,192.567,179.003,3436.665,3432.071,3437.311,74.33,203.769
1,3926.099,295,305.918,200.125,183,3919.275,3915.086,3919.656,85.071,207.466
1,3055.083,293,300.563,180.867,168,3045.637,3041.032,3046.089,68.447,188.322
1,4164.391,294,306.888,209.39,190,4158.343,4154.147,4158.297,94.705,208.483
1,3752.379,292,300.746,195.724,182.001,3745.425,3741.12,3745.572,78,198.517
1,3920.963,293,304.258,206.022,189.001,3914.565,3910.123,3914.711,87.664,208.777
1,3537.239,294.002,302.218,195.931,183.002,3529.747,3525.096,3530.171,74.673,203.423
1,3625.939,294.001,302.218,194.064,181.001,3618.53,3614.116,3618.732,75.769,197.8
1,3892.797,276,287.36,195.151,178,3887.078,3883.14,3887.078,86.539,195.151
1,4183.344,294,306.32,206.737,188,4177.233,4173.108,4177.415,91.082,210.381
1,3968.537,289.002,299.868,196.064,179.003,3962.046,3958.085,3962.415,84.119,203.394
1,3581.344,272.002,278.539,183.109,173.003,3575.188,3571.032,3576.158,61.847,201.157
0,4164.631,252,265.317,168.814,147,4159.598,4157.139,4159.598,89.694,168.814
0,4165.318,293,304.803,205,187,4159.206,4155.147,4159.161,91,204.088
0,3540.896,290,298.329,194.997,182.001,3533.69,3529.082,3534.219,74,204.362
0,4251.317,296,309.38,208.432,188,4245.165,4241.128,4245.209,95.859,209.335
0,4146.436,294,305.491,207.338,190,4140.362,4136.14,4140.362,89.694,207.338
0,3204.424,218.002,226.921,161.771,149.003,3200.47,3197.076,3201.001,66.731,171.956
0,4056.38,290,301.644,201.854,184,4050.182,4046.111,4050.365,88.255,205.507
0,4087.731,296,307.417,204.592,187,4081.286,4077.11,4081.472,88.255,208.255
0,4234.359,296,309.091,211.625,192,4228.361,4224.137,4228.361,95.273,211.625
0,4244.126,293,305.08,204.502,186,4238.084,4234.137,4238.084,91.548,204.502
0,3879.309,296,304.396,201.896,189,3872.615,3868.124,3872.762,77.473,204.707
0,4124.421,293,303.99,207.466,191,4118.431,4114.132,4118.478,87.464,208.387
0,4243.406,297,310.048,208.907,189,4237.217,4233.114,4237.352,94.244,211.625
0,4227.376,296.001,308.804,205.767,186.002,4221.1,4217.114,4221.233,93.301,208.483
0,4053.748,295.001,306.726,198.635,180.001,4047.005,4043.084,4047.369,87.932,205.913
0,3791.262,292,303.567,209.172,192,3784.873,3780.162,3784.822,90.078,208.255
0,4117.581,295,307.28,208.557,190,4111.393,4107.141,4111.393,92.477,208.557
0,3356.551,290.002,290.622,167.084,166.003,3348.118,3344.043,3348.895,25.495,181.995
0,4226.891,289.001,302.101,185.238,163.002,4220.149,4217.114,4220.266,93.301,187.883
0,3977.879,294,305.491,203.679,186,3971.358,3967.099,3971.644,87.596,209.172
0,4055.743,295.001,306.726,198.635,180.001,4049.003,4045.084,4049.366,87.932,205.913
0,4180.563,297,308.924,208.147,190,4174.326,4170.131,4174.372,91.181,209.06
0,4253.312,296,309.38,204.832,184,4246.988,4243.136,4246.988,96.208,204.832
0,4150.568,296,308.804,204.863,185,4144.131,4140.088,4144.45,92.049,211.206
0,3889.825,290,301.644,200.943,183,3883.314,3879.108,3883.553,87.92,205.507
0,3020.149,292.001,300.987,195.167,181.002,3011.444,3006.088,3012.062,76.538,204.475
0,4039.423,290,301.921,202.267,184,4033.199,4029.112,4033.384,89.196,205.913
0,4166.386,294,306.041,203.593,185,4160.116,4156.088,4160.433,89.185,209.974
0,4165.318,293,304.529,208.255,191,4159.388,4155.139,4159.388,89.694,208.255
0,3793.41,294,301.761,199.92,188.001,3786.67,3782.135,3786.77,75.153,201.802
0,4110.527,294,305.765,204.088,186,4104.217,4100.096,4104.493,88.544,209.571
0,3419.576,293,301.015,196.512,184,3411.965,3407.099,3412.294,73.736,202.141
0,2996.655,296,307.963,208.147,190,2988.047,2982.172,2988.175,90.824,209.974
0,4057.377,290,301.921,209.571,192,4051.552,4047.151,4051.505,91,208.655
0,3993.543,290,301.921,203.177,185,3987.294,3983.121,3987.434,89.538,205.913
0,4073.768,296.001,307.417,201.854,184.001,4067.164,4063.111,4067.347,88.255,205.507
0,4138.174,290,302.2,198.157,179,4131.879,4128.148,4131.836,91.924,197.254
0,4190.538,297,309.201,208.557,190,4184.316,4180.13,4184.361,92.114,209.468
0,4226.448,297,310.048,209.812,190,4220.279,4216.121,4220.37,94.578,211.625
0,4102.476,293,305.644,208.971,190,4096.409,4092.125,4096.502,92.698,210.791
0,4243.406,297,310.048,208.907,189,4237.217,4233.114,4237.352,94.244,211.625
0,4107.535,294,305.765,208.655,191,4101.45,4097.149,4101.403,91,207.74
0,4214.647,285,297.405,197.254,178,4208.766,4205.122,4208.851,90.824,199.06
0,4199.515,297,310.048,208.907,189,4193.261,4189.115,4193.398,94.244,211.625
0,4130.691,297,309.763,208.483,189,4124.333,4120.117,4124.471,93.301,211.206
0,4117.51,294,306.041,206.323,188,4111.301,4107.11,4111.485,90.139,209.974
