@relation 'Ant15-Arrondi3-weka.filters.unsupervised.attribute.Remove-R1-3,5-18,29-30-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-unset-class-temporarily'

@attribute #BugsBinary {0,1}
@attribute 'd(LOC,FANIN)' numeric
@attribute 'd(Qi,FANIN)' numeric
@attribute 'd(WMC,FANIN)' numeric
@attribute 'd( WMC,CBO)' numeric
@attribute 'd(Qi,CBO)' numeric
@attribute 'd(LOC, CBO)' numeric
@attribute 'd(LOC, Ce)' numeric
@attribute 'd(LOC, Ca)' numeric
@attribute 'd(WMC, Ce)' numeric
@attribute 'd(WMC, Ca)' numeric

@data
1,0.713341,0.979775,0.936155,0.860059,0.927408,0.720033,0.729889,0.719976,0.59659,0.903063
1,0.597542,0.973045,0.919684,0.759103,0.844456,0.606712,0.620682,0.606816,0.448611,0.886199
1,0.124507,0.952833,0.870914,0.602044,0.740764,0.143812,0.173966,0.144114,0.107761,0.825775
1,-0.240257,0.023119,-0.357954,-1,-0.628018,-0.209416,-0.163999,-0.209933,-0.817141,-1
1,0.608067,0.966301,0.917467,0.792763,0.865186,0.617092,0.630651,0.617175,0.514143,0.909882
1,0.53708,0.95957,0.891511,0.703215,0.813356,0.54762,0.563707,0.547813,0.291055,0.873726
1,0.661958,0.973038,0.940906,0.782442,0.823705,0.669618,0.681432,0.669843,0.645733,0.951835
1,0.618174,0.973038,0.943175,0.890558,0.927408,0.627083,0.640165,0.627041,0.730374,0.956441
1,0.58886,0.95284,0.850557,0.55684,0.740774,0.598104,0.612594,0.598319,-0.187625,0.7368
1,0.572298,0.95957,0.907092,0.757007,0.834086,0.582097,0.596941,0.582247,0.479468,0.905657
1,0.95855,0.973038,0.959782,0.964403,0.968889,0.959681,0.961072,0.959685,0.911748,0.989991
1,0.70726,0.973038,0.938663,0.839961,0.885927,0.714032,0.724172,0.714123,0.658648,0.947277
1,0.569322,0.966307,0.878371,0.668139,0.823716,0.579121,0.594093,0.579268,0.023577,0.817658
1,0.917893,0.999987,0.992595,0.943852,0.948149,0.919788,0.922614,0.919819,0.896547,0.989991
1,0.655919,0.973038,0.932097,0.826649,0.885927,0.663864,0.675756,0.663912,0.600155,0.922855
1,0.926347,0.979775,0.967983,0.933598,0.937778,0.928129,0.930681,0.928163,0.889279,0.979172
1,0.899258,0.999987,0.990172,0.908277,0.917038,0.901518,0.905041,0.901609,0.853575,0.985052
1,0.868537,0.999987,0.983067,0.904335,0.927408,0.871533,0.876087,0.871589,0.795312,0.970532
1,0.704362,0.993249,0.979557,0.872703,0.885927,0.711081,0.721324,0.711171,0.812272,0.980172
1,0.966752,0.999987,0.995035,0.948678,0.948149,0.967508,0.96866,0.96756,0.918193,0.994978
1,0.638765,0.966314,0.894499,0.75609,0.875577,0.647117,0.659617,0.647158,0.278277,0.851292
1,0.409468,0.831564,0.719897,0.516439,0.657802,0.423302,0.444123,0.423133,0.233226,0.553946
1,0.916236,0.973038,0.945469,0.874391,0.906678,0.918223,0.921177,0.918343,0.737688,0.961082
1,0.928793,0.966301,0.939553,0.889357,0.917038,0.930544,0.933065,0.930533,0.804706,0.911275
1,0.797545,0.912417,0.833017,0.78856,0.896328,0.802595,0.809624,0.802669,0.350415,0.873726
1,0.92829,0.966301,0.949124,0.928795,0.937778,0.930097,0.93258,0.930131,0.867587,0.974221
1,0.310037,0.851776,0.732078,0.629223,0.792615,0.326306,0.350126,0.326109,0.050206,0.673591
1,0.647841,0.885468,0.77572,0.287053,0.460777,0.655568,0.668599,0.655913,-0.067326,0.539653
1,0.320218,0.797872,0.687332,0.589106,0.709643,0.3364,0.360103,0.336114,0.335947,0.596434
1,0.591001,0.973051,0.921687,0.773809,0.854847,0.600345,0.614511,0.600448,0.470417,0.90148
1,0.834217,0.986512,0.959679,0.859436,0.896297,0.838013,0.843802,0.838101,0.715928,0.94548
1,0.394353,0.973038,0.913837,0.641255,0.740743,0.407777,0.428882,0.407693,0.335947,0.717639
1,0.954555,0.979775,0.967983,0.964403,0.968889,0.955746,0.957285,0.95568,0.936136,0.957583
1,0.746488,0.966301,0.915404,0.809576,0.885937,0.752398,0.761219,0.752329,0.554303,0.838974
1,0.831624,0.973038,0.945469,0.926246,0.958529,0.835694,0.841446,0.835664,0.775197,0.961082
