"Class Name","HasT","#Bugs","#Blocker","#Critical","#Major","#Normal","#Minor","#Trivial","WMC","CBO","RFC","Ca","Ce","LOC","Qi","FANIN","d(LOC,FANIN)","d(Qi,FANIN)","d(WMC,FANIN)","d( WMC,CBO)","d(Qi,CBO)","d(LOC, CBO)","d(LOC, Ce)","d(LOC, Ca)","d(WMC, Ce)","d(WMC, Ca)","Risk1","TLOC"
"org.apache.tools.ant.taskdefs.Manifest","1","5","2","0","0","3","0","0","17","7","71","2","5","569","0.58337224195592","3","3686.74124","294.0003","303.16992","200.17992","186.00047","3679.70393","3675.12245","3679.90829","79.84986","203.90194","21","171"
"org.apache.tools.ant.taskdefs.Jar","1","6","1","1","1","3","0","0","21","15","83","2","13","799","0.31952103898528","4","3457.43749","293.00079","301.24575","191.26944","178.0013","3449.59548","3445.07025","3450.2355","73.37575","202.48457","24","134"
"org.apache.tools.ant.taskdefs.Zip","1","5","1","1","1","2","0","0","34","25","138","3","22","1740","0.23404189453256","7","2520.73719","290.00101","295.54864","177.40631","168.00175","2509.62945","2504.03375","2511.12266","58.46366","197.40821","21","49"
"org.apache.tools.ant.Project","1","5","1","0","0","2","2","0","91","157","212","148","17","2452","0.10326792365807","145","1798.43488","152.00265","152","36","36.01117","1792.36157","1792.0904","1792.5401","18","44","16","128"
"org.apache.tools.ant.taskdefs.SQLExec","1","4","1","0","1","1","1","0","18","13","90","1","13","778","0.64502160908409","5","3478.27831","292.00022","300.98671","194.23954","180.00035","3470.67083","3466.06982","3471.25871","76.24303","204.47494","15","132"
"org.apache.tools.ant.taskdefs.Copy","1","3","1","0","1","1","0","0","27","18","87","1","17","919","0.21796894626771","6","3337.70969","291.00105","297.95469","186.33572","175.00175","3329.60208","3325.04872","3330.48135","66.48308","201.43734","13","71"
"org.apache.tools.ant.taskdefs.Tar","1","2","1","0","1","0","0","0","11","17","83","0","17","671","0.85567999730483","4","3584.99344","293.00004","303.7252","193.32874","176.00006","3577.33211","3573.04534","3578.15497","82","208","10","74"
"org.apache.tools.ant.taskdefs.AntStructure","1","2","1","0","0","0","1","0","10","7","61","0","7","758","0.90870208729274","4","3498.29173","293.00001","303.99013","202.87188","186.00002","3490.95861","3486.11245","3491.28343","85.70298","208.38666","8","11"
"org.apache.tools.ant.taskdefs.Rmic","1","2","1","0","0","1","0","0","48","25","108","7","20","816","0.017419948874917","7","3440.24476","290.00166","293.1706","173.41569","168.00287","3432.11422","3428.03282","3432.98835","45.54119","189.93157","9","54"
"org.apache.tools.ant.taskdefs.Ant","1","2","1","1","0","0","0","0","19","16","117","1","15","849","0.29058140833765","6","3407.44861","291.00086","299.77492","191.08375","177.00142","3399.61086","3395.05891","3400.36851","74.72617","204.12006","11","347"
"org.apache.tools.ant.taskdefs.Mkdir","1","2","1","0","0","1","0","0","3","3","14","0","3","82","0.96655368045396","4","4172.30068","293","305.92973","209.38959","190","4166.3346","4162.12302","4166.42629","93.6376","211.20606","9","23"
"org.apache.tools.ant.taskdefs.Concat","1","1","1","0","0","0","0","0","12","11","64","0","11","581","0.81679970400245","4","3674.69972","293.00006","303.46334","198.40615","182.00009","3667.51864","3663.07862","3668.02849","82.56513","207.61744","6","51"
"org.apache.tools.ant.taskdefs.AbstractCvsTask","1","1","1","0","0","0","0","0","40","17","99","2","15","855","0.39380938628111","5","3401.55626","292.00063","296.42031","183.24028","176.00104","3393.567","3389.05901","3394.32188","54.78138","196.7257","6","29"
"org.apache.tools.ant.taskdefs.BUnzip2","1","1","1","0","0","0","0","0","3","5","24","0","5","163","0.97245569315468","0","4091.79301","297","309.76281","207.57649","188","4085.32802","4081.11027","4085.51404","92.97311","211.20606","6","17"
"org.apache.tools.ant.taskdefs.Checksum","1","1","1","0","0","0","0","0","15","11","72","1","10","683","0.84705066342041","4","3573.03373","293.00004","302.69622","197.23083","182.00006","3565.64791","3561.08776","3566.11862","80.00625","205.56507","6","39"
"org.apache.tools.ant.taskdefs.Parallel","1","1","1","0","0","0","0","0","3","6","21","1","6","146","0.98866505968779","3","4108.53258","294","306.8876","206.67124","187","4102.26437","4098.10261","4102.44866","92.65528","210.29741","6","43"
"org.apache.tools.ant.taskdefs.LoadProperties","1","1","1","0","0","0","0","0","4","8","39","0","8","200","0.96709841702486","0","4054.89149","297","309.48021","204.43581","185","4048.22937","4044.09013","4048.5553","91.09336","210.79137","6","16"
"org.apache.tools.ant.taskdefs.LoadFile","1","1","1","0","0","0","0","0","7","7","36","0","7","261","0.89236801793247","0","3994.05784","297.00002","308.65029","204.08822","186.00003","3987.34059","3983.09842","3987.62498","88.54377","209.57099","6","67"
"org.apache.tools.ant.taskdefs.Move","1","1","1","0","0","0","0","0","5","11","46","0","11","587","0.86890225077011","1","3668.95966","296.00003","308.24017","201.2958","182.00005","3661.52605","3657.07875","3662.03673","89.28606","210.38061","6","27"
"org.apache.tools.ant.taskdefs.BZip2","1","1","1","0","0","0","0","0","2","5","14","0","5","66","0.99316287878788","0","4188.54306","297","310.04838","208.0024","188","4182.22764","4178.10771","4182.40935","93.92018","211.62467","6","24"
"org.apache.tools.ant.taskdefs.Property","1","4","0","1","0","3","0","0","30","12","77","2","10","717","0.057821722491467","5","3539.06668","292.00152","298.30354","191.00262","181.00245","3531.64126","3527.0886","3532.11396","65.9242","199.552","14","43"
"org.apache.tools.ant.DirectoryScanner","1","2","0","1","0","1","0","0","34","33","67","27","6","1171","0.19105232162155","25","3085.01426","272.0012","277.90826","169.84993","160.00204","3077.16249","3073.13683","3077.42652","63.95311","174.56804","8","99"
"org.apache.tools.ant.taskdefs.War","1","1","0","1","0","0","0","0","9","9","34","0","9","166","0.51123494781507","4","4088.51232","293.00041","304.25811","201.44478","184.00065","4082.14894","4078.08288","4082.51736","86.02325","208.77739","5","16"
"org.apache.tools.ant.taskdefs.ExecuteWatchdog","1","1","0","1","0","0","0","0","8","8","22","5","3","141","0.88839939355034","5","4113.37732","292.00002","303.56713","202.76587","185.00003","4107.16861","4103.12478","4107.25918","88.95504","204.59228","5","97"
"org.apache.tools.ant.types.CommandlineJava","1","1","0","0","1","0","0","0","27","10","60","1","9","401","0.008988286862802","13","3853.4796","284.00173","291.12197","193.86851","183.00268","3847.35468","3843.08795","3847.74349","69.07966","201.43734","4","75"
"org.apache.tools.ant.taskdefs.Tstamp","1","1","0","0","1","0","0","0","4","6","22","1","6","142","0.97070499459123","5","4112.37985","292","304.68508","206.24742","187","4106.26022","4102.10251","4106.44433","91.70605","209.88092","4","57"
"org.apache.tools.ant.AntClassLoader","1","4","0","0","0","3","1","0","42","20","115","14","8","1369","0.20817805073727","22","2888.12223","275.00114","279.33134","179.80545","173.00181","2880.20034","2875.12678","2880.50499","55.9464","184.62123","11","35"
"org.apache.tools.ant.types.AbstractFileSet","1","2","0","0","0","2","0","0","41","52","102","26","26","698","0.017387140846191","17","3557.03753","280.00172","284.42925","149.60281","141.00342","3548.80219","3546.01142","3549.88338","50.80354","173.36666","6","196"
"org.apache.tools.ant.util.FileUtils","1","2","0","0","0","2","0","0","29","28","120","25","6","1348","0.48902613084269","30","2908.28214","267.00049","274.10399","176.26401","165.00079","2900.69664","2896.1452","2900.81109","68.44706","178.13759","6","245"
"org.apache.tools.ant.taskdefs.Available","1","2","0","0","0","2","0","0","20","14","67","1","13","812","0.002835026725498","4","3444.48443","293.0017","301.47968","192.56687","179.00278","3436.66481","3432.07051","3437.31072","74.33034","203.76948","6","109"
"org.apache.tools.ant.taskdefs.ExecuteJava","1","2","0","0","0","2","0","0","10","10","47","1","9","329","0.89283371868653","2","3926.09857","295.00002","305.91829","200.12496","183.00003","3919.27468","3915.08633","3919.65636","85.07056","207.46566","6","57"
"org.apache.tools.ant.IntrospectionHelper","1","2","0","0","0","1","1","0","24","25","78","16","21","1203","0.62182227568634","4","3055.08265","293.00024","300.56281","180.86735","168.00043","3045.63704","3041.03223","3046.0888","68.44706","188.32153","5","370"
"org.apache.tools.ant.util.CollectionUtils","1","2","0","0","0","1","1","0","3","3","12","3","0","90","0.88957759412305","3","4164.39095","294.00002","306.8876","209.38959","190.00003","4158.34294","4154.14745","4158.29737","94.7048","208.48261","5","67"
"org.apache.tools.ant.types.FilterSet","1","2","0","0","0","1","1","0","19","11","61","7","5","503","0.4821215899436","5","3752.37858","292.00046","300.74574","195.7243","182.00074","3745.42454","3741.12029","3745.57152","78","198.517","5","83"
"org.apache.tools.ant.taskdefs.XmlProperty","1","1","0","0","0","1","0","0","9","4","41","0","4","334","0.52374269657511","4","3920.96276","293.00039","304.25811","206.02184","189.0006","3914.56524","3910.12289","3914.71123","87.66413","208.77739","3","15"
"org.apache.tools.ant.types.XMLCatalog","1","1","0","0","0","1","0","0","21","10","82","1","9","719","0.057508336692049","3","3537.23918","294.00151","302.21846","195.93111","183.00243","3529.74702","3525.09589","3530.17082","74.67262","203.4232","3","277"
"org.apache.tools.ant.types.PatternSet","1","1","0","0","0","1","0","0","21","12","62","7","6","630","0.29694536670248","3","3625.93877","294.00084","302.21846","194.06442","181.00137","3618.52967","3614.11635","3618.73196","75.76939","197.8004","3","152"
"org.apache.tools.ant.util.JavaEnvUtils","1","1","0","0","0","1","0","0","11","15","26","14","2","361","0.89339636298318","21","3892.79655","276.00002","287.3604","195.15122","178.00003","3887.07769","3883.14022","3887.07769","86.53901","195.15122","3","89"
"org.apache.tools.ant.taskdefs.Basename","1","1","0","0","0","1","0","0","5","5","13","0","5","71","0.91814993919313","3","4183.34376","294.00001","306.32009","206.73655","188.00002","4177.2327","4173.10783","4177.41463","91.08238","210.38061","3","47"
"org.apache.tools.ant.types.Mapper","1","1","0","0","0","1","0","0","11","14","40","5","9","286","0.049913203307111","8","3968.53688","289.00156","299.8683","196.06377","179.00252","3962.04556","3958.0854","3962.41505","84.11896","203.39371","3","117"
"org.apache.tools.ant.taskdefs.Java","1","1","0","0","0","1","0","0","31","20","103","0","20","673","0.013904354255645","25","3581.34402","272.00179","278.53905","183.10926","173.00281","3575.18811","3571.0315","3576.15785","61.84658","201.15666","3","97"
"org.apache.tools.ant.types.EnumeratedAttribute","1","0","0","0","0","0","0","0","8","46","14","45","1","87","0.96636519408034","45","4164.6312","252","265.31679","168.81351","147","4159.5983","4157.13904","4159.5983","89.69392","168.81351","0","51"
"org.apache.tools.zip.ZipShort","1","0","0","0","0","0","0","0","7","6","8","6","0","89","0.94815982828862","4","4165.318","293","304.80322","205","187.00001","4159.20593","4155.14741","4159.16109","91","204.08822","0","32"
"org.apache.tools.ant.taskdefs.Delete","1","0","0","0","0","0","0","0","21","11","56","0","11","715","0.49756216574445","7","3540.89551","290.00044","298.32868","194.99744","182.00069","3533.69","3529.08161","3534.21915","74","204.36242","0","20"
"org.apache.tools.ant.util.regexp.Regexp","1","0","0","0","0","0","0","0","1","5","1","3","2","3","1","1","4251.31709","296","309.38003","208.43224","188","4245.1649","4241.12839","4245.2093","95.85927","209.33466","0","32"
"org.apache.tools.ant.util.facade.FacadeTaskHelper","1","0","0","0","0","0","0","0","8","3","18","2","1","108","0.91959096293901","3","4146.43606","294.00001","305.49141","207.33789","190.00002","4140.36182","4136.13975","4140.36182","89.69392","207.33789","0","31"
"org.apache.tools.ant.types.Path","1","0","0","0","0","0","0","0","28","44","96","32","13","1047","0.0060911138638683","79","3204.42397","218.00227","226.92069","161.77144","149.00331","3200.47028","3197.0757","3201.00125","66.7308","171.95639","0","443"
"org.apache.tools.ant.types.selectors.FilenameSelector","1","0","0","0","0","0","0","0","8","9","23","4","5","198","0.7805159581024","7","4056.37967","290.00008","301.64383","201.85391","184.00013","4050.18172","4046.11122","4050.36542","88.25531","205.50669","0","65"
"org.apache.tools.ant.filters.LineContains","1","0","0","0","0","0","0","0","8","6","26","1","5","167","0.90385395828233","1","4087.73103","296.00002","307.41666","204.59228","187.00002","4081.28632","4077.11037","4081.47155","88.25531","208.25465","0","17"
"org.apache.tools.ant.util.PackageNameMapper","1","0","0","0","0","0","0","0","2","1","6","0","1","20","0.99242424242424","1","4234.35851","296","309.0906","211.62467","192","4228.36138","4224.13683","4228.36138","95.27329","211.62467","0","15"
"org.apache.tools.ant.util.regexp.RegexpMatcher","1","0","0","0","0","0","0","0","6","7","6","6","1","10","1","4","4244.12594","293","305.08032","204.50183","186","4238.08353","4234.13651","4238.08353","91.5478","204.50183","0","135"
"org.apache.tools.zip.AsiExtraField","1","0","0","0","0","0","0","0","20","4","42","0","4","376","0.60081705819593","1","3879.30922","296.00027","304.39612","201.89601","189.00042","3872.61475","3868.12422","3872.76232","77.47258","204.70711","0","95"
"org.apache.tools.ant.taskdefs.Sleep","1","0","0","0","0","0","0","0","10","2","20","0","2","130","0.9129573714132","4","4124.42057","293.00001","303.99013","207.46566","191.00002","4118.43138","4114.13235","4118.47787","87.46428","208.38666","0","66"
"org.apache.tools.ant.taskdefs.Typedef","1","0","0","0","0","0","0","0","2","4","4","0","4","11","0.96095778199109","0","4243.40641","297","310.04838","208.90668","189","4237.21725","4233.11351","4237.35212","94.24436","211.62467","0","35"
"org.apache.tools.ant.types.DirSet","1","0","0","0","0","0","0","0","3","7","8","3","4","27","0.23043239032678","1","4227.37566","296.001","308.80415","205.76686","186.00159","4221.09998","4217.11394","4221.23323","93.30059","208.48261","0","32"
"org.apache.tools.ant.types.selectors.DependSelector","1","0","0","0","0","0","0","0","7","13","25","4","9","201","0.37262162477158","2","4053.74814","295.00067","306.72626","198.63534","180.00109","4047.00494","4043.0836","4047.36865","87.93179","205.9126","0","112"
"org.apache.tools.ant.util.DOMElementWriter","1","0","0","0","0","0","0","0","8","1","40","1","0","464","0.62692707247469","5","3791.26153","292.00024","303.56713","209.17218","192.00036","3784.87305","3780.16203","3784.82245","90.07774","208.25465","0","62"
"org.apache.tools.ant.util.GlobPatternMapper","1","0","0","0","0","0","0","0","5","3","15","2","1","137","0.95528634759398","2","4117.58109","295","307.28","208.55695","190.00001","4111.39259","4107.14073","4111.39259","92.47702","208.55695","0","59"
"org.apache.tools.ant.taskdefs.Javac","1","0","0","0","0","0","0","0","72","27","116","11","18","900","3.0180137153313E-5","7","3356.55121","290.00172","290.62175","167.08381","166.00301","3348.11768","3344.04321","3348.89489","25.4951","181.99451","0","134"
"org.apache.tools.ant.types.FileSet","1","0","0","0","0","0","0","0","3","30","8","26","4","27","0.23043239032678","8","4226.89129","289.00102","302.10098","185.23769","163.00182","4220.14905","4217.11394","4220.26599","93.30059","187.88294","0","8"
"org.apache.tools.ant.taskdefs.Copydir","1","0","0","0","0","0","0","0","8","7","37","0","7","277","0.95539768957327","3","3977.87946","294","305.49141","203.67867","186.00001","3971.35808","3967.09881","3971.64361","87.59566","209.17218","0","33"
"org.apache.tools.ant.types.selectors.PresentSelector","1","0","0","0","0","0","0","0","7","13","25","4","9","199","0.37837846938335","2","4055.74284","295.00065","306.72626","198.63534","180.00107","4049.00296","4045.08356","4049.36649","87.93179","205.9126","0","97"
"org.apache.tools.ant.taskdefs.condition.Equals","1","0","0","0","0","0","0","0","6","3","11","1","2","74","0.96636519408034","0","4180.56324","297","308.92394","208.14658","190","4174.32629","4170.13057","4174.37193","91.18114","209.0598","0","23"
"org.apache.tools.ant.TaskContainer","1","0","0","0","0","0","0","0","1","9","1","8","1","1","1","1","4253.31224","296","309.38003","204.83164","184","4246.98776","4243.13622","4246.98776","96.20811","204.83164","0","15"
"org.apache.tools.ant.taskdefs.Untar","1","0","0","0","0","0","0","0","3","8","22","0","8","104","0.98563891758494","1","4150.56815","296","308.80415","204.86337","185","4144.13139","4140.08804","4144.44978","92.0489","211.20606","0","51"
"org.apache.tools.ant.types.selectors.SizeSelector","1","0","0","0","0","0","0","0","8","10","28","4","6","365","0.79395472748898","7","3889.82532","290.00007","301.64383","200.94278","183.00012","3883.31431","3879.1084","3883.55314","87.92042","205.50669","0","141"
"org.apache.tools.ant.taskdefs.FixCRLF","1","0","0","0","0","0","0","0","18","12","82","1","12","1238","0.10428808845207","5","3020.149","292.00137","300.98671","195.1666","181.00222","3011.44434","3006.08799","3012.06192","76.53757","204.47494","0","115"
"org.apache.tools.ant.types.selectors.ContainsSelector","1","0","0","0","0","0","0","0","7","9","28","4","5","215","0.81780101316506","7","4039.42335","290.00006","301.92052","202.26715","184.00009","4033.19935","4029.11169","4033.38382","89.19641","205.9126","0","58"
"org.apache.tools.ant.taskdefs.Input","1","0","0","0","0","0","0","0","6","8","19","0","8","88","0.84709419024529","3","4166.38596","294.00004","306.04085","203.59273","185.00006","4160.1155","4156.0877","4160.43267","89.1852","209.97381","0","43"
"org.apache.tools.ant.util.JAXPUtils","1","0","0","0","0","0","0","0","8","2","21","1","1","89","0.96148752015062","4","4165.318","293","304.52914","208.25465","191","4159.3877","4155.13911","4159.3877","89.69392","208.25465","0","16"
"org.apache.tools.zip.ZipEntry","1","0","0","0","0","0","0","0","23","5","68","2","3","462","0.56408428925674","3","3793.41008","294.00032","301.7615","199.91998","188.00051","3786.66978","3782.13538","3786.7696","75.15318","201.80188","0","48"
"org.apache.tools.ant.taskdefs.Echo","1","0","0","0","0","0","0","0","7","7","21","0","7","144","0.89280930068043","3","4110.52746","294.00002","305.76462","204.08822","186.00003","4104.21686","4100.09561","4104.49315","88.54377","209.57099","0","23"
"org.apache.tools.ant.taskdefs.Replace","1","0","0","0","0","0","0","0","22","9","92","2","9","837","0.82774632573715","4","3419.5757","293.00005","301.01495","196.51209","184.00008","3411.96498","3407.09921","3412.2938","73.73602","202.14104","0","32"
"org.apache.tools.ant.taskdefs.CVSPass","1","0","0","0","0","0","0","0","6","3","30","0","3","1262","0.86285420111564","1","2996.6548","296.00003","307.96266","208.14658","190.00005","2988.04685","2982.17169","2988.17469","90.82401","209.97381","0","75"
"org.apache.tools.ant.util.DateUtils","1","0","0","0","0","0","0","0","7","1","20","1","0","197","0.91910297157358","7","4057.37711","290.00001","301.92052","209.57099","192.00002","4051.55192","4047.15134","4051.50466","91","208.65522","0","53"
"org.apache.tools.ant.types.selectors.DepthSelector","1","0","0","0","0","0","0","0","7","8","26","4","4","261","0.82035965735066","7","3993.54341","290.00006","301.92052","203.17726","185.00009","3987.29407","3983.12064","3987.43439","89.5377","205.9126","0","101"
"org.apache.tools.ant.types.FileList","1","0","0","0","0","0","0","0","8","9","31","4","5","181","0.40846398487359","1","4073.76791","296.00059","307.41666","201.85391","184.00095","4067.16425","4063.11075","4067.34717","88.25531","205.50669","0","99"
"org.apache.tools.ant.util.StringUtils","1","0","0","0","0","0","0","0","6","14","24","14","0","116","0.9479940853986","7","4138.17399","290","302.20026","198.1565","179.00001","4131.87911","4128.14837","4131.83591","91.92388","197.25364","0","29"
"org.apache.tools.ant.taskdefs.condition.Contains","1","0","0","0","0","0","0","0","5","3","9","1","2","64","0.97374202762294","0","4190.53803","297","309.20058","208.55695","190","4184.31595","4180.13026","4184.36148","92.11406","209.46837","0","13"
"org.apache.tools.ant.types.Description","1","0","0","0","0","0","0","0","2","3","8","0","3","28","0.98490587695133","0","4226.44827","297","310.04838","209.81182","190","4220.27914","4216.12144","4220.36965","94.57801","211.62467","0","25"
"org.apache.tools.ant.taskdefs.Deltree","1","0","0","0","0","0","0","0","4","3","17","0","3","152","0.93531934865788","4","4102.47645","293.00001","305.64358","208.97129","190.00001","4096.40867","4092.12512","4096.50192","92.69844","210.79137","0","14"
"org.apache.tools.ant.taskdefs.Taskdef","1","0","0","0","0","0","0","0","2","4","4","0","4","11","0.88374332311152","0","4243.40641","297.00002","310.04838","208.90668","189.00004","4237.21725","4233.11351","4237.35212","94.24436","211.62467","0","45"
"org.apache.tools.zip.ZipLong","1","0","0","0","0","0","0","0","7","2","8","2","0","147","0.94815982828862","3","4107.53515","294","305.76462","208.65522","191.00001","4101.44974","4097.1495","4101.4033","91","207.74022","0","34"
"org.apache.tools.ant.types.selectors.BaseSelector","1","0","0","0","0","0","0","0","6","15","8","12","3","39","0.91635533494724","12","4214.64708","285.00001","297.40545","197.25364","178.00002","4208.76573","4205.12176","4208.85079","90.82401","199.06029","0","107"
"org.apache.tools.ant.taskdefs.GZip","1","0","0","0","0","0","0","0","2","4","12","0","4","55","0.99316287878788","0","4199.51545","297","310.04838","208.90668","189","4193.2615","4189.1147","4193.39779","94.24436","211.62467","0","38"
"org.apache.tools.ant.taskdefs.GUnzip","1","0","0","0","0","0","0","0","3","4","20","0","4","124","0.97245569315468","0","4130.6911","297","309.76281","208.48261","189","4124.33279","4120.11662","4124.47136","93.30059","211.20606","0","29"
"org.apache.tools.ant.taskdefs.Copyfile","1","0","0","0","0","0","0","0","6","5","22","0","5","137","0.90809896193556","3","4117.50956","294.00001","306.04085","206.32256","188.00002","4111.30065","4107.10957","4111.4855","90.13878","209.97381","0","35"
"org.apache.tools.ant.types.selectors.DateSelector","1","0","0","0","0","0","0","0","11","11","38","4","7","391","0.79620456565233","7","3863.89816","290.00007","300.83218","198.80644","182.00011","3857.29607","3853.10174","3857.58383","84.75848","204.31348","0","171"
"org.apache.tools.ant.taskdefs.Dirname","1","0","0","0","0","0","0","0","4","5","9","0","5","48","0.95473350335949","3","4206.2872","294","306.60235","207.15453","188.00001","4200.20952","4196.10724","4200.39046","92.02717","210.79137","0","34"
"org.apache.tools.ant.taskdefs.Rename","1","0","0","0","0","0","0","0","5","4","17","0","4","99","0.93210648667368","3","4155.41346","294.00001","306.32009","207.64633","189.00001","4149.30669","4145.11592","4149.44442","91.41663","210.38061","0","20"
"org.apache.tools.ant.util.facade.ImplementationSpecificArgument","1","0","0","0","0","0","0","0","3","6","6","5","1","25","0.98117517287197","2","4229.30089","295","307.84574","206.67124","187","4223.1422","4219.137","4223.1422","94.33981","206.67124","0","29"
"org.apache.tools.ant.types.Commandline","1","0","0","0","0","0","0","0","28","31","57","29","4","602","0.47731044900035","63","3649.50956","234.00058","242.33242","173.81887","162.00084","3645.60118","3642.13193","3645.64576","70.21396","174.75125","0","91"
"org.apache.tools.zip.ExtraFieldUtils","1","0","0","0","0","0","0","0","8","4","39","1","3","377","0.87732716137538","1","3878.31213","296.00003","307.41666","206.4219","189.00004","3871.61594","3867.1324","3871.71409","88.95504","208.25465","0","71"
"org.apache.tools.ant.taskdefs.Filter","1","0","0","0","0","0","0","0","6","6","16","0","6","95","0.89256716854006","4","4159.33288","293.00002","305.08032","205.41178","187.00003","4153.21201","4149.10135","4153.44014","89.81091","209.97381","0","70"
