@relation 'Ant15BugsBinary-weka.filters.unsupervised.attribute.Remove-R1-2,5-18,29-30-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,1-weka.filters.unsupervised.attribute.Remove-R12-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,1-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.unsupervised.attribute.Remove-R2,4-5,8,10'

@attribute 'd(LOC,FANIN)' numeric
@attribute 'd(WMC,FANIN)' numeric
@attribute 'd(LOC, CBO)' numeric
@attribute 'd(LOC, Ce)' numeric
@attribute 'd(WMC, Ce)' numeric
@attribute #BugsBinary {0,1}

@data
0.713341,0.936151,0.720033,0.729889,0.596592,1
0.713341,0.936151,0.720033,0.729889,0.596592,1
0.713341,0.936151,0.720033,0.729889,0.596592,1
0.713341,0.936151,0.720033,0.729889,0.596592,1
0.713341,0.936151,0.720033,0.729889,0.596592,1
0.597543,0.919679,0.606712,0.620682,0.44861,1
0.597543,0.919679,0.606712,0.620682,0.44861,1
0.597543,0.919679,0.606712,0.620682,0.44861,1
0.597543,0.919679,0.606712,0.620682,0.44861,1
0.597543,0.919679,0.606712,0.620682,0.44861,1
0.597543,0.919679,0.606712,0.620682,0.44861,1
0.124507,0.870908,0.143813,0.173966,0.107757,1
0.124507,0.870908,0.143813,0.173966,0.107757,1
0.124507,0.870908,0.143813,0.173966,0.107757,1
0.124507,0.870908,0.143813,0.173966,0.107757,1
0.124507,0.870908,0.143813,0.173966,0.107757,1
-0.240257,-0.357955,-0.209416,-0.163999,-0.81714,1
-0.240257,-0.357955,-0.209416,-0.163999,-0.81714,1
-0.240257,-0.357955,-0.209416,-0.163999,-0.81714,1
-0.240257,-0.357955,-0.209416,-0.163999,-0.81714,1
-0.240257,-0.357955,-0.209416,-0.163999,-0.81714,1
0.608067,0.917461,0.617091,0.63065,0.514149,1
0.608067,0.917461,0.617091,0.63065,0.514149,1
0.608067,0.917461,0.617091,0.63065,0.514149,1
0.608067,0.917461,0.617091,0.63065,0.514149,1
0.53708,0.891505,0.54762,0.563707,0.291061,1
0.53708,0.891505,0.54762,0.563707,0.291061,1
0.53708,0.891505,0.54762,0.563707,0.291061,1
0.661959,0.940905,0.669618,0.681432,0.645738,1
0.661959,0.940905,0.669618,0.681432,0.645738,1
0.618174,0.943172,0.627082,0.640165,0.730379,1
0.618174,0.943172,0.627082,0.640165,0.730379,1
0.58886,0.850551,0.598104,0.612594,-0.187618,1
0.58886,0.850551,0.598104,0.612594,-0.187618,1
0.572298,0.907088,0.582097,0.596941,0.479477,1
0.572298,0.907088,0.582097,0.596941,0.479477,1
0.95855,0.959777,0.959681,0.961072,0.911745,1
0.95855,0.959777,0.959681,0.961072,0.911745,1
0.70726,0.938663,0.714032,0.724172,0.658656,1
0.569322,0.87837,0.57912,0.594093,0.023589,1
0.917893,0.99259,0.919788,0.922614,0.896556,1
0.655919,0.932096,0.663864,0.675756,0.600166,1
0.926347,0.967977,0.928129,0.930681,0.889291,1
0.899258,0.990171,0.901518,0.905041,0.85359,1
0.868537,0.983066,0.871533,0.876087,0.795313,1
0.704362,0.979555,0.711081,0.721324,0.812279,1
0.966752,0.995035,0.967508,0.96866,0.918204,1
0.638766,0.894492,0.647117,0.659616,0.278286,1
0.638766,0.894492,0.647117,0.659616,0.278286,1
0.638766,0.894492,0.647117,0.659616,0.278286,1
0.638766,0.894492,0.647117,0.659616,0.278286,1
0.409468,0.719896,0.423302,0.444123,0.233232,1
0.409468,0.719896,0.423302,0.444123,0.233232,1
0.916237,0.945467,0.918223,0.921177,0.7377,1
0.928794,0.939551,0.930544,0.933065,0.804713,1
0.797545,0.833013,0.802595,0.809623,0.350412,1
0.92829,0.949122,0.930097,0.932579,0.867594,1
0.310037,0.732078,0.326306,0.350126,0.050219,1
0.310037,0.732078,0.326306,0.350126,0.050219,1
0.310037,0.732078,0.326306,0.350126,0.050219,1
0.310037,0.732078,0.326306,0.350126,0.050219,1
0.647841,0.77572,0.655568,0.668599,-0.067334,1
0.647841,0.77572,0.655568,0.668599,-0.067334,1
0.320218,0.687329,0.336399,0.360103,0.335952,1
0.320218,0.687329,0.336399,0.360103,0.335952,1
0.591001,0.921682,0.600345,0.614511,0.470429,1
0.591001,0.921682,0.600345,0.614511,0.470429,1
0.834217,0.959679,0.838013,0.843802,0.715924,1
0.834217,0.959679,0.838013,0.843802,0.715924,1
0.394353,0.913832,0.407777,0.428882,0.335952,1
0.394353,0.913832,0.407777,0.428882,0.335952,1
0.954556,0.967977,0.955745,0.957285,0.936138,1
0.954556,0.967977,0.955745,0.957285,0.936138,1
0.746488,0.915399,0.752398,0.761219,0.554308,1
0.746488,0.915399,0.752398,0.761219,0.554308,1
0.831624,0.945467,0.835694,0.841445,0.775206,1
0.637843,0.928006,0.646184,0.658671,0.478253,1
0.682636,0.928006,0.689907,0.700929,0.503322,1
0.8174,0.800812,0.822157,0.828637,0.749489,1
0.964127,0.963118,0.965048,0.966286,0.853339,1
