@relation 'Ant15BugsBinary-weka.filters.unsupervised.attribute.Remove-R1-2,5-18,29-30-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,1-weka.filters.unsupervised.attribute.Remove-R12-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,1-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.unsupervised.attribute.Remove-R1-4,6-10'

@attribute 'd(Qi,CBO)' numeric
@attribute #BugsBinary {0,1}

@data
0.927413,1
0.927413,1
0.927413,1
0.927413,1
0.927413,1
0.844459,1
0.844459,1
0.844459,1
0.844459,1
0.844459,1
0.844459,1
0.740761,1
0.740761,1
0.740761,1
0.740761,1
0.740761,1
-0.62802,1
-0.62802,1
-0.62802,1
-0.62802,1
-0.62802,1
0.86519,1
0.86519,1
0.86519,1
0.86519,1
0.813353,1
0.813353,1
0.813353,1
0.823706,1
0.823706,1
0.927408,1
0.927408,1
0.740772,1
0.740772,1
0.83409,1
0.83409,1
0.968889,1
0.968889,1
0.885928,1
0.823716,1
0.948149,1
0.885927,1
0.937778,1
0.917038,1
0.927408,1
0.885927,1
0.948149,1
0.875582,1
0.875582,1
0.875582,1
0.875582,1
0.657802,1
0.657802,1
0.906674,1
0.917038,1
0.896325,1
0.937778,1
0.792613,1
0.792613,1
0.792613,1
0.792613,1
0.46078,1
0.46078,1
0.70964,1
0.70964,1
0.854845,1
0.854845,1
0.896297,1
0.896297,1
0.740747,1
0.740747,1
0.968889,1
0.968889,1
0.885934,1
0.885934,1
0.958525,1
0.896322,1
0.875571,1
0.844446,1
0.948149,1
0.854842,1
0.792623,1
0.522967,0
0.937778,0
0.885934,0
0.948149,0
0.968889,0
0.543742,0
0.906669,0
0.937778,0
0.98963,0
0.927408,0
0.958523,0
0.97926,0
0.958519,0
0.927424,0
0.865198,0
0.989633,0
0.968889,0
0.720033,0
0.68891,0
0.927408,0
0.865197,0
0.968889,0
0.906667,0
0.917038,0
0.896298,0
0.875579,0
0.906668,0
0.917038,0
0.979259,0
0.948154,0
0.927408,0
0.906668,0
0.96889,0
0.98963,0
0.917039,0
0.906677,0
0.854816,0
0.968889,0
0.968889,0
0.968889,0
0.958519,0
0.979259,0
0.844446,0
0.958519,0
0.958519,0
0.948149,0
0.885928,0
0.948149,0
0.958519,0
0.937778,0
0.67853,0
0.958519,0
0.937779,0
1,0
0.896297,0
0.875557,1
0.875557,1
0.875557,1
0.875557,1
0.678525,1
0.678525,1
0.678525,1
0.844457,1
0.844457,1
0.844457,1
0.948149,1
0.948149,1
0.802975,1
0.802975,1
0.906668,1
0.906668,1
0.937782,1
0.937782,1
0.865187,1
0.865187,1
0.968889,1
0.88593,1
0.979259,1
0.8652,1
0.937778,1
0.948149,1
0.948149,1
0.937798,1
0.948149,1
0.98963,1
0.802977,1
0.96889,1
0.927408,1
0.865186,1
0.937779,1
0.854835,1
0.844468,1
0.875559,1
0.875559,1
0.906674,1
0.637072,1
0.968891,1
0.885927,1
0.927422,1
0.875574,1
0.875574,1
0.875574,1
0.844475,1
0.844475,1
0.968892,1
0.968892,1
0.761514,1
0.761514,1
0.958519,1
0.958519,1
0.802966,1
0.802966,1
0.906694,1
0.834076,1
0.854826,1
0.968889,1
0.8963,1
0.8963,1
0.8963,1
0.637073,1
0.637073,1
0.637073,1
0.875557,1
0.875557,1
0.875557,1
0.958519,1
0.958519,1
0.885951,1
0.885951,1
0.813364,1
0.813364,1
0.885927,1
0.885927,1
0.885927,1
0.90669,1
0.90669,1
0.90667,1
0.834099,1
0.937779,1
-0.213301,1
0.968889,1
0.948149,1
0.927409,1
0.937778,1
0.896321,1
0.958519,1
0.854816,1
0.865213,1
0.937805,1
0.28445,1
0.98963,1
0.875557,1
0.906667,0
0.885927,0
0.968897,0
0.948149,0
0.968901,0
0.948149,0
0.906694,0
0.792594,0
0.771854,0
0.948149,0
0.906695,0
0.948149,0
0.771854,0
0.937785,0
0.98963,0
0.958519,0
0.906668,0
0.937778,0
0.958519,0
0.979259,0
0.896297,0
0.937778,0
0.948149,0
0.979259,0
0.937805,0
0.89632,0
-1,0
0.979259,0
0.958519,0
0.802964,0
0.937778,0
0.979259,0
0.98963,0
0.948171,0
0.875557,0
0.948149,0
0.927432,0
0.927408,0
0.906668,0
0.958519,0
0.98963,0
0.989631,0
-0.016288,0
0.98963,0
0.979261,0
0.865186,0
0.958519,0
0.968889,0
0.948149,0
0.95852,0
0.979259,0
0.958519,0
0.937779,0
1,0
0.91704,0
0.948149,0
0.948149,0
0.917038,0
0.813335,0
0.896325,0
0.98963,0
0.968889,0
0.948156,0
0.98963,0
0.96889,0
0.948149,0
0.802964,0
0.97926,0
0.906667,0
0.968889,0
0.948149,0
0.958519,0
0.948149,0
0.96889,0
0.937778,0
0.90669,0
0.968889,0
0.958532,0
0.917062,0
0.98963,0
0.937778,0
0.958519,0
0.968889,0
0.958519,0
0.709632,0
0.968889,0
0.917038,0
0.927435,0
0.906668,0
0.968889,0
0.948149,0
0.98963,0
0.948156,0
0.979259,0
0.968899,0
0.937782,0
0.98963,0
0.98963,0
0.875557,0
0.937801,0
0.906687,0
0.948149,0
0.979259,0
0.948149,0
0.968889,0
0.917038,0
0.958519,0
0.813335,0
0.968889,0
0.834076,0
0.98963,0
0.98963,0
0.854816,0
0.98963,0
0.968889,0
0.98963,0
0.844446,0
0.958519,0
0.98963,0
0.948149,0
0.937785,0
0.927408,0
0.937779,0
0.958519,0
0.958519,0
0.917064,0
0.802972,0
0.948149,0
1,0
0.958519,0
0.979259,0
0.906668,0
