"Class Name","HasT","#Bugs","#Blocker","#Critical","#Major","#Normal","#Minor","#Trivial","WMC","CBO","RFC","Ca","Ce","LOC","Qi","FANIN","d(LOC,FANIN)","d(Qi,FANIN)","d(WMC,FANIN)","d( WMC,CBO)","d(Qi,CBO)","d(LOC, CBO)","d(LOC, Ce)","d(LOC, Ca)","d(WMC, Ce)","d(WMC, Ca)","Risk1","TLOC"
"org.apache.tools.ant.taskdefs.Manifest","1","5","2","0","0","3","0","0","17","7","71","2","5","569","0.58337224195592","3","3686.7412439714","294.0002952017","303.16991935217","200.17991907282","186.00046660879","3679.7039283073","3675.1224469397","3679.9082869006","79.849859110709","203.90193721493","21","171"
"org.apache.tools.ant.taskdefs.Jar","1","6","1","1","1","3","0","0","21","15","83","2","13","799","0.31952103898528","4","3457.4374903966","293.00079018941","301.24574685794","191.26944345608","178.00130070204","3449.5954835314","3445.0702460182","3450.2354992087","73.375745311377","202.48456731317","24","134"
"org.apache.tools.ant.taskdefs.Zip","1","5","1","1","1","2","0","0","34","25","138","3","22","1740","0.23404189453256","7","2520.737193759","290.00101153586","295.54864235858","177.40631330367","168.00174609753","2509.6294547204","2504.033745779","2511.1226572989","58.463663928974","197.40820651635","21","49"
"org.apache.tools.ant.Project","1","5","1","0","0","2","2","0","91","157","212","148","17","2452","0.10326792365807","145","1798.4348751067","152.00264513625","152","36","36.011166718349","1792.3615706659","1792.0903995056","1792.5400971805","18","44","16","128"
"org.apache.tools.ant.taskdefs.SQLExec","1","4","1","0","1","1","1","0","18","13","90","1","13","778","0.64502160908409","5","3478.2783097389","292.00021576988","300.98671067009","194.23954283307","180.00035002649","3470.6708285287","3466.0698204162","3471.2587054266","76.243032468548","204.47493733952","15","132"
"org.apache.tools.ant.taskdefs.Copy","1","3","1","0","1","1","0","0","27","18","87","1","17","919","0.21796894626771","6","3337.709693787","291.00105081008","297.95469454264","186.33571852975","175.00174734147","3329.6020783271","3325.0487214476","3330.4813465924","66.483080554379","201.43733516903","13","71"
"org.apache.tools.ant.taskdefs.Tar","1","2","1","0","1","0","0","0","11","17","83","0","17","671","0.85567999730483","4","3584.9934449034","293.00003554311","303.72520474929","193.32873557751","176.00005917119","3577.3321064726","3573.0453397627","3578.1549714902","82","208","10","74"
"org.apache.tools.ant.taskdefs.AntStructure","1","2","1","0","0","0","1","0","10","7","61","0","7","758","0.90870208729274","4","3498.2917259714","293.00001422408","303.99013141877","202.87188075236","186.00002240674","3490.9586076034","3486.1124479856","3491.2834316337","85.702975444263","208.38665984175","8","11"
"org.apache.tools.ant.taskdefs.Rmic","1","2","1","0","0","1","0","0","48","25","108","7","20","816","0.017419948874917","7","3440.2447587345","290.00166458756","293.17059879872","173.41568556506","168.00287337887","3432.1142172136","3428.0328178126","3432.9883483636","45.541190146943","189.93156662335","9","54"
"org.apache.tools.ant.taskdefs.Ant","1","2","1","1","0","0","0","0","19","16","117","1","15","849","0.29058140833765","6","3407.4486056286","291.00086473194","299.77491556166","191.08375127153","177.00142167434","3399.6108600838","3395.0589096509","3400.3685094413","74.726166769078","204.1200627082","11","347"
"org.apache.tools.ant.taskdefs.Mkdir","1","2","1","0","0","1","0","0","3","3","14","0","3","82","0.96655368045396","4","4172.3006842748","293.00000190897","305.92973049379","209.38958904396","190.00000294383","4166.3346001011","4162.1230159619","4166.4262863994","93.637599285757","211.20606051911","9","23"
"org.apache.tools.ant.taskdefs.Concat","1","1","1","0","0","0","0","0","12","11","64","0","11","581","0.81679970400245","4","3674.699715623","293.00005727363","303.46334210247","198.40614909826","182.00009220423","3667.5186434427","3663.0786232348","3668.0284895295","82.565125809872","207.61743664731","6","51"
"org.apache.tools.ant.taskdefs.AbstractCvsTask","1","1","1","0","0","0","0","0","40","17","99","2","15","855","0.39380938628111","5","3401.556261478","292.00062922374","296.42030969554","183.24027941476","176.00104393742","3393.5670024327","3389.0590139447","3394.3218763105","54.781383699209","196.72569735548","6","29"
"org.apache.tools.ant.taskdefs.BUnzip2","1","1","1","0","0","0","0","0","3","5","24","0","5","163","0.97245569315468","0","4091.7930055173","297.00000127725","309.76281248723","207.57649192527","188.00000201779","4085.3280162063","4081.1102656018","4085.5140435446","92.973114393356","211.20606051911","6","17"
"org.apache.tools.ant.taskdefs.Checksum","1","1","1","0","0","0","0","0","15","11","72","1","10","683","0.84705066342041","4","3573.0337250018","293.00003992065","302.69621735331","197.23082923316","182.00006426784","3565.6479074637","3561.087755167","3566.11861833","80.006249755878","205.56507485466","6","39"
"org.apache.tools.ant.taskdefs.Parallel","1","1","1","0","0","0","0","0","3","6","21","1","6","146","0.98866505968779","3","4108.5325847558","294.0000002185","306.88760157426","206.67123650862","187.00000034353","4102.2643747082","4098.1026097451","4102.4486590328","92.655275079188","210.29740844813","6","43"
"org.apache.tools.ant.taskdefs.LoadProperties","1","1","1","0","0","0","0","0","4","8","39","0","8","200","0.96709841702486","0","4054.8914905334","297.00000182241","309.48020938341","204.43580899637","185.00000292571","4048.2293660315","4044.0901325267","4048.555297881","91.093358704134","210.79136604709","6","16"
"org.apache.tools.ant.taskdefs.LoadFile","1","1","1","0","0","0","0","0","7","7","36","0","7","261","0.89236801793247","0","3994.0578363364","297.00001950277","308.65028754239","204.08821622034","186.00003114151","3987.340592425","3983.0984170618","3987.6249823673","88.543774484715","209.57099035888","6","67"
"org.apache.tools.ant.taskdefs.Move","1","1","1","0","0","0","0","0","5","11","46","0","11","587","0.86890225077011","1","3668.9596618115","296.00002903145","308.24016610429","201.29580224138","182.00004721598","3661.5260479751","3657.0787522283","3662.0367283794","89.286057142199","210.38060747132","6","27"
"org.apache.tools.ant.taskdefs.BZip2","1","1","1","0","0","0","0","0","2","5","14","0","5","66","0.99316287878788","0","4188.5430641215","297.0000000787","310.04838332106","208.00240383226","188.00000012433","4182.227636081","4178.1077056486","4182.4093534708","93.920178875469","211.6246677493","6","24"
"org.apache.tools.ant.taskdefs.Property","1","4","0","1","0","3","0","0","30","12","77","2","10","717","0.057821722491467","5","3539.0666848761","292.00152003013","298.30353668705","191.00261778311","181.00245219308","3531.64126151","3527.0886010986","3532.1139562591","65.924198895398","199.55199823605","14","43"
"org.apache.tools.ant.DirectoryScanner","1","2","0","1","0","1","0","0","34","33","67","27","6","1171","0.19105232162155","25","3085.0142625278","272.0012029318","277.90825824362","169.84993376507","160.00204497551","3077.1624916471","3073.1368339207","3077.4265222747","63.953107821278","174.56803831171","8","99"
"org.apache.tools.ant.taskdefs.War","1","1","0","1","0","0","0","0","9","9","34","0","9","166","0.51123494781507","4","4088.5123211261","293.00040766401","304.25811410709","201.44478151593","184.00064915993","4082.1489438775","4078.0828829243","4082.5173606489","86.023252670426","208.77739341222","5","16"
"org.apache.tools.ant.taskdefs.ExecuteWatchdog","1","1","0","1","0","0","0","0","8","8","22","5","3","141","0.88839939355034","5","4113.3773228334","292.00002132653","303.56712601993","202.76587484091","185.00003366134","4107.1686110994","4103.1247848439","4107.2591834458","88.955044826024","204.59227746912","5","97"
"org.apache.tools.ant.types.CommandlineJava","1","1","0","0","1","0","0","0","27","10","60","1","9","401","0.008988286862802","13","3853.4795964167","284.00172905145","291.12196756686","193.86851214161","183.00268332518","3847.354675618","3843.0879511143","3847.7434945693","69.079664156682","201.43733516903","4","75"
"org.apache.tools.ant.taskdefs.Tstamp","1","1","0","0","1","0","0","0","4","6","22","1","6","142","0.97070499459123","5","4112.3798462691","292.00000146952","304.68508332375","206.24742422634","187.00000229465","4106.2602206874","4102.1025096894","4106.444325691","91.706052144883","209.88091861815","4","57"
"org.apache.tools.ant.AntClassLoader","1","4","0","0","0","3","1","0","42","20","115","14","8","1369","0.20817805073727","22","2888.1222273304","275.00113996491","279.33134446388","179.80545041794","173.00181207721","2880.2003402541","2875.1267798134","2880.5049904487","55.946402922797","184.6212338817","11","35"
"org.apache.tools.ant.types.AbstractFileSet","1","2","0","0","0","2","0","0","41","52","102","26","26","698","0.017387140846191","17","3557.0375314298","280.00172415189","284.42925306656","149.60280746029","141.0034238167","3548.8021922897","3546.0114213014","3549.8833783661","50.803543183522","173.36666346215","6","196"
"org.apache.tools.ant.util.FileUtils","1","2","0","0","0","2","0","0","29","28","120","25","6","1348","0.48902613084269","30","2908.2821389955","267.00048894018","274.10399486326","176.26400653565","165.00079119294","2900.6966404641","2896.1451966364","2900.8110934702","68.44705983459","178.13758727456","6","245"
"org.apache.tools.ant.taskdefs.Available","1","2","0","0","0","2","0","0","20","14","67","1","13","812","0.002835026725498","4","3444.4844316675","293.00169681758","301.47968422433","192.56687150182","179.00277745885","3436.6648076296","3432.0705120962","3437.3107220617","74.330343736593","203.76947759662","6","109"
"org.apache.tools.ant.taskdefs.ExecuteJava","1","2","0","0","0","2","0","0","10","10","47","1","9","329","0.89283371868653","2","3926.0985723744","295.00001946544","305.91828974417","200.12496096189","183.00003137872","3919.2746777943","3915.0863336586","3919.6563624889","85.070558949615","207.46565980904","6","57"
"org.apache.tools.ant.IntrospectionHelper","1","2","0","0","0","1","1","0","24","25","78","16","21","1203","0.62182227568634","4","3055.0826502731","293.00024405859","300.56280541677","180.86735471057","168.00042564943","3045.6370433786","3041.0322260706","3046.0888036957","68.44705983459","188.32153355365","5","370"
"org.apache.tools.ant.util.CollectionUtils","1","2","0","0","0","1","1","0","3","3","12","3","0","90","0.88957759412305","3","4164.390951868","294.00002073658","306.88760157426","209.38958904396","190.00003208712","4158.3429392007","4154.1474456259","4158.2973679139","94.704804524375","208.48261318393","5","67"
"org.apache.tools.ant.types.FilterSet","1","2","0","0","0","1","1","0","19","11","61","7","5","503","0.4821215899436","5","3752.3785789816","292.00045924287","300.74573978695","195.72429588582","182.00073680633","3745.4245420246","3741.120286759","3745.5715184735","78","198.51700179078","5","83"
"org.apache.tools.ant.taskdefs.XmlProperty","1","1","0","0","0","1","0","0","9","4","41","0","4","334","0.52374269657511","4","3920.9627644241","293.00038706633","304.25811410709","206.02184350209","189.00060005465","3914.5652376733","3910.1228880944","3914.7112281751","87.664131775772","208.77739341222","3","15"
"org.apache.tools.ant.types.XMLCatalog","1","1","0","0","0","1","0","0","21","10","82","1","9","719","0.057508336692049","3","3537.2391776638","294.00151069431","302.21846402892","195.93111034239","183.00242700723","3529.7470164305","3525.0958852207","3530.1708173968","74.672618810378","203.42320418281","3","277"
"org.apache.tools.ant.types.PatternSet","1","1","0","0","0","1","0","0","21","12","62","7","6","630","0.29694536670248","3","3625.9387749933","294.00084062094","302.21846402892","194.06442229322","181.00136542528","3618.5296737764","3614.1163511985","3618.7319602314","75.769386958058","197.80040444852","3","152"
"org.apache.tools.ant.util.JavaEnvUtils","1","1","0","0","0","1","0","0","11","15","26","14","2","361","0.89339636298318","21","3892.7965526084","276.00002058756","287.36040089059","195.15122341405","178.00003192229","3887.0776941039","3883.140224097","3887.0776941039","86.53900854528","195.15122341405","3","89"
"org.apache.tools.ant.taskdefs.Basename","1","1","0","0","0","1","0","0","5","5","13","0","5","71","0.91814993919313","3","4183.3437582871","294.00001139359","306.32009401931","206.73654732533","188.00001781764","4177.2326964152","4173.1078346959","4177.4146310846","91.082380293886","210.38060747132","3","47"
"org.apache.tools.ant.types.Mapper","1","1","0","0","0","1","0","0","11","14","40","5","9","286","0.049913203307111","8","3968.5368840418","289.0015616998","299.86830442713","196.06376513777","179.00252139264","3962.0455575372","3958.0853957438","3962.4150464079","84.118963379252","203.39370688396","3","117"
"org.apache.tools.ant.taskdefs.Java","1","1","0","0","0","1","0","0","31","20","103","0","20","673","0.013904354255645","25","3581.3440214534","272.00178746586","278.53904573686","183.10925700248","173.00281033735","3575.1881069393","3571.0315036415","3576.1578544578","61.846584384265","201.15665537088","3","97"
"org.apache.tools.ant.types.EnumeratedAttribute","1","0","0","0","0","0","0","0","8","46","14","45","1","87","0.96636519408034","45","4164.6311961565","252.00000224464","265.31679177919","168.81350656864","147.00000384796","4159.5982979129","4157.1390402535","4159.5982979129","89.693923985965","168.81350656864","0","51"
"org.apache.tools.zip.ZipShort","1","0","0","0","0","0","0","0","7","6","8","6","0","89","0.94815982828862","4","4165.3179950635","293.00000458601","304.80321520614","205","187.00000718557","4159.2059338292","4155.1474101408","4159.1610932975","91","204.08821622034","0","32"
"org.apache.tools.ant.taskdefs.Delete","1","0","0","0","0","0","0","0","21","11","56","0","11","715","0.49756216574445","7","3540.8955082013","290.00043524757","298.32867780353","194.99743588058","182.00069352554","3533.6899977219","3529.0816085775","3534.2191499679","74","204.36242316042","0","20"
"org.apache.tools.ant.util.regexp.Regexp","1","0","0","0","0","0","0","0","1","5","1","3","2","3","1","1","4251.3170900322","296","309.38002521171","208.43224318708","188","4245.1648966795","4241.1283875874","4245.209299905","95.859271852023","209.33466029303","0","32"
"org.apache.tools.ant.util.facade.FacadeTaskHelper","1","0","0","0","0","0","0","0","8","3","18","2","1","108","0.91959096293901","3","4146.43606004","294.00001099594","305.4914074078","207.33788848158","190.00001701477","4140.361819938","4136.1397461885","4140.361819938","89.693923985965","207.33788848158","0","31"
"org.apache.tools.ant.types.Path","1","0","0","0","0","0","0","0","28","44","96","32","13","1047","0.0060911138638683","79","3204.4239731971","218.00226571041","226.92069099137","161.77144370995","149.00331491237","3200.4702779435","3197.0756950689","3201.0012496093","66.730802482811","171.95638982021","0","443"
"org.apache.tools.ant.types.selectors.FilenameSelector","1","0","0","0","0","0","0","0","8","9","23","4","5","198","0.7805159581024","7","4056.3796666486","290.00008305731","301.64382970649","201.85390756683","184.00013090551","4050.1817243181","4046.1112194303","4050.3654156138","88.255311454892","205.50669088864","0","65"
"org.apache.tools.ant.filters.LineContains","1","0","0","0","0","0","0","0","8","6","26","1","5","167","0.90385395828233","1","4087.7310332261","296.00001561497","307.41665537183","204.59227746912","187.00002471674","4081.2863168369","4077.1103737819","4081.4715483512","88.255311454892","208.25465180879","0","17"
