@relation 'Ant15BugsBinary-weka.filters.unsupervised.attribute.Remove-R1-3,5-18,29-30-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-unset-class-temporarily-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,1-weka.filters.unsupervised.attribute.Remove-R2,4-5,8,10-weka.filters.unsupervised.attribute.Remove-R5-weka.filters.unsupervised.attribute.Remove-R2'

@attribute 'd(LOC,FANIN)' numeric
@attribute 'd(LOC, CBO)' numeric
@attribute 'd(LOC, Ce)' numeric
@attribute #BugsBinary {0,1}

@data
0.954677,0.956364,0.958706,0
0.955024,0.95617,0.95776,0
0.639689,0.648126,0.660563,0
0.998453,0.998502,0.998576,0
0.945488,0.94689,0.948737,0
0.46977,0.484027,0.502957,0
0.90001,0.90248,0.906,0
0.915842,0.917798,0.920715,0
0.989889,0.990227,0.99051,0
0.994822,0.995015,0.995257,0
0.810589,0.815034,0.821508,0
0.93437,0.93609,0.93829,0
0.994459,0.994588,0.994771,0
0.986363,0.986651,0.987176,0
0.898681,0.900915,0.904563,0
0.766124,0.771825,0.779752,0
0.930917,0.932624,0.934971,0
0.546595,0.556738,0.572724,0
0.986118,0.986183,0.987176,0
0.860367,0.863662,0.868492,0
0.899688,0.901899,0.905512,0
0.962723,0.963617,0.964873,0
0.999461,0.9994,0.999529,0
0.947575,0.948747,0.950611,0
0.815899,0.820304,0.826723,0
0.376711,0.390939,0.412294,0
0.891447,0.894117,0.89793,0
0.955563,0.956618,0.958207,0
0.955024,0.95626,0.957756,0
0.767209,0.77271,0.780689,0
0.927354,0.92909,0.931627,0
0.578422,0.588181,0.602657,0
0.364846,0.379416,0.400941,0
0.900513,0.903155,0.906494,0
0.868277,0.87151,0.876098,0
0.908791,0.910843,0.91407,0
0.941316,0.942713,0.944944,0
0.96776,0.968536,0.96962,0
0.985895,0.986247,0.986705,0
0.923289,0.925245,0.927843,0
0.994459,0.994588,0.994771,0
0.925843,0.927728,0.930228,0
0.979935,0.980577,0.981483,0
0.972294,0.972942,0.973885,0
0.937537,0.938997,0.941131,0
0.93088,0.932579,0.934956,0
0.802806,0.807491,0.814377,0
0.975713,0.976363,0.977204,0
0.950022,0.951295,0.952998,0
0.987335,0.987657,0.988136,0
0.694539,0.703238,0.714228,0
0.810085,0.814543,0.821038,0
0.952001,0.953219,0.95489,0
0.990428,0.990741,0.990988,0
0.74254,0.748487,0.757404,0
0.996438,0.996448,0.996681,0
0.997411,0.997389,0.997634,0
0.779836,0.785055,0.79256,0
0.96859,0.969476,0.970565,0
0.634781,0.643416,0.655859,0
0.943042,0.944386,0.946352,0
0.933508,0.93495,0.93732,0
0.978338,0.978506,0.979596,0
0.92575,0.927785,0.930688,0
0.955167,0.956193,0.957742,0
0.925916,0.92757,0.930199,0
0.936493,0.93799,0.940181,0
0.93196,0.933197,0.93587,0
0.973628,0.974373,0.975316,0
0.996942,0.997114,0.997159,0
0.983376,0.983765,0.984331,0
0.909798,0.911827,0.915009,0
0.99795,0.997988,0.998094,0
0.991869,0.992128,0.992401,0
-0.037396,-0.014406,0.020278,0
0.841192,0.8449,0.850444,0
0.930485,0.932064,0.934478,0
0.962112,0.96308,0.964387,0
0.972797,0.973478,0.97437,0
0.983376,0.983721,0.984325,0
0.947326,0.948703,0.950615,0
0.917493,0.922581,0.927376,0
0.980282,0.980858,0.981495,0
0.970243,0.970974,0.971986,0
0.998349,0.998208,0.998584,0
0.917353,0.919274,0.92214,0
0.999461,0.999552,0.999533,0
0.98791,0.988259,0.988615,0
0.714348,0.721066,0.730847,0
0.950713,0.952104,0.953948,0
0.983739,0.984235,0.984818,0
0.953152,0.95418,0.955839,0
0.976112,0.976811,0.977689,0
0.953197,0.954629,0.956332,0
0.955563,0.956707,0.958231,0
0.966213,0.967105,0.968199,0
0.861915,0.865278,0.869943,0
0.980144,0.982205,0.984339,0
0.996474,0.996623,0.996685,0
0.68918,0.696553,0.707125,0
0.999496,0.999315,0.999533,0
0.987839,0.988193,0.988611,0
0.943977,0.945415,0.947313,0
0.996907,0.997026,0.997156,0
0.91782,0.919811,0.922621,0
0.999461,0.999552,0.999529,0
0.956138,0.957199,0.958698,0
0.813961,0.81843,0.824824,0
0.996474,0.996645,0.996685,0
0.796413,0.801166,0.808203,0
0.924405,0.926183,0.928789,0
0.999461,0.999486,0.999529,0
0.999461,0.999421,0.999525,0
0.999426,0.999213,0.999529,0
0.901739,0.903933,0.907411,0
0.978338,0.978912,0.979592,0
0.947575,0.948858,0.950628,0
0.958046,0.959144,0.960601,0
0.977295,0.977928,0.978647,0
0.921383,0.923277,0.925948,0
0.856413,0.859773,0.864705,0
0.990428,0.990335,0.99094,0
0.857811,0.861319,0.866137,0
0.990757,0.991036,0.991448,0
0.999496,0.99953,0.999529,0
0.946064,0.947337,0.949201,0
0.964738,0.965562,0.966768,0
0.985391,0.985711,0.986227,0
0.901162,0.9036,0.906964,0
0.96517,0.96601,0.96725,0
0.916346,0.918223,0.921183,0
0.998453,0.998546,0.99858,0
-0.012571,0.010042,0.043996,0
0.923434,0.925132,0.927829,0
0.997985,0.998098,0.998105,0
0.964162,0.965026,0.966286,0
0.964666,0.965562,0.966764,0
0.983376,0.983787,0.984331,0
0.985391,0.985733,0.98623,0
0.972174,0.972935,0.974367,0
0.983774,0.984279,0.984814,0
0.952073,0.953175,0.954887,0
0.966752,0.967464,0.968656,0
0.983598,0.98464,0.985277,0
0.961644,0.962633,0.963923,0
0.874002,0.87699,0.881316,0
0.984852,0.985308,0.985767,0
0.973663,0.974395,0.975316,0
0.998957,0.99906,0.999054,0
0.727477,0.733904,0.743193,0
0.981115,0.981753,0.982433,0
0.861953,0.865278,0.869939,0
0.946568,0.94792,0.94969,0
0.988603,0.989004,0.989553,0
-1,-1,-1,0
0.926815,0.928554,0.931146,0
0.906309,0.908474,0.911696,0
0.989925,0.990205,0.99051,0
0.979743,0.980299,0.981005,0
0.988413,0.988707,0.989078,0
0.662965,0.670825,0.682409,0
0.998957,0.999016,0.999051,0
0.944481,0.945581,0.947742,0
0.988413,0.988707,0.989078,0
0.746024,0.751788,0.76071,0
0.959125,0.960218,0.961558,0
0.950561,0.951855,0.953488,0
0.844495,0.848253,0.853795,0
0.94556,0.946936,0.948741,0
0.915338,0.917374,0.920252,0
0.989854,0.990227,0.990514,0
0.999461,0.999274,0.999529,0
1,1,1,0
0.99795,0.998098,0.998109,0
0.99795,0.99801,0.998105,0
0.973628,0.974373,0.975316,0
0.955599,0.95664,0.958213,0
0.976686,0.977325,0.97815,0
0.927427,0.929158,0.931637,0
0.99194,0.992128,0.992409,0
0.923938,0.925624,0.928304,0
0.909297,0.91161,0.914982,0
0.992912,0.99309,0.993362,0
0.989714,0.990249,0.990514,0
0.945093,0.946376,0.948255,0
0.455234,0.46792,0.486398,0
0.943764,0.945281,0.947309,0
0.713341,0.720033,0.729889,1
0.597543,0.606712,0.620682,1
0.124507,0.143813,0.173966,1
-0.240257,-0.209416,-0.163999,1
0.608067,0.617091,0.63065,1
0.53708,0.54762,0.563707,1
0.661959,0.669618,0.681432,1
0.618174,0.627082,0.640165,1
0.58886,0.598104,0.612594,1
0.572298,0.582097,0.596941,1
0.95855,0.959681,0.961072,1
0.70726,0.714032,0.724172,1
0.569322,0.57912,0.594093,1
0.917893,0.919788,0.922614,1
0.655919,0.663864,0.675756,1
0.926347,0.928129,0.930681,1
0.899258,0.901518,0.905041,1
0.868537,0.871533,0.876087,1
0.704362,0.711081,0.721324,1
0.966752,0.967508,0.96866,1
0.638766,0.647117,0.659616,1
0.409468,0.423302,0.444123,1
0.916237,0.918223,0.921177,1
0.928794,0.930544,0.933065,1
0.797545,0.802595,0.809623,1
0.92829,0.930097,0.932579,1
0.310037,0.326306,0.350126,1
0.647841,0.655568,0.668599,1
0.320218,0.336399,0.360103,1
0.591001,0.600345,0.614511,1
0.834217,0.838013,0.843802,1
0.394353,0.407777,0.428882,1
0.954556,0.955745,0.957285,1
0.746488,0.752398,0.761219,1
0.831624,0.835694,0.841445,1
0.637843,0.646184,0.658671,1
0.682636,0.689907,0.700929,1
0.8174,0.822157,0.828637,1
0.964127,0.965048,0.966286,1
0.855649,0.859076,0.864214,1
0.660116,0.668562,0.680476,1
0.134831,0.154082,0.183493,1
0.6423,0.65109,0.663862,1
0.759966,0.765585,0.774028,1
0.926743,0.928643,0.931166,1
0.693892,0.701051,0.711818,1
0.89206,0.894609,0.898392,1
0.817096,0.821381,0.827676,1
0.831549,0.835485,0.841435,1
0.973194,0.973948,0.974849,1
0.881016,0.883741,0.887942,1
0.997985,0.998076,0.998105,1
0.758108,0.763664,0.77211,1
0.900265,0.902548,0.906,1
0.92883,0.930611,0.933068,1
0.997411,0.997518,0.997634,1
0.611632,0.620716,0.634015,1
0.880475,0.883385,0.887487,1
0.994962,0.995147,0.995257,1
0.61872,0.627269,0.640608,1
0.934479,0.936068,0.93829,1
0.918252,0.920235,0.923089,1
0.901703,0.903867,0.907402,1
0.904184,0.906483,0.909801,1
0.663551,0.671167,0.682867,1
0.848996,0.85315,0.858501,1
0.690771,0.697776,0.708504,1
0.924296,0.926094,0.928772,1
0.846741,0.850763,0.856585,1
0.96492,0.966568,0.967725,1
0.86673,0.869966,0.874674,1
0.406968,0.420581,0.440814,1
0.78545,0.791234,0.798702,1
0.810939,0.81527,0.821957,1
0.765235,0.770791,0.77879,1
0.546968,0.557329,0.573206,1
0.943438,0.9449,0.946827,1
0.807114,0.811736,0.818656,1
0.875084,0.877882,0.882255,1
0.92448,0.926434,0.929271,1
0.840185,0.843825,0.849486,1
0.933939,0.935576,0.937819,1
0.768177,0.773573,0.781613,1
-0.105195,-0.082,-0.043941,1
0.904039,0.906349,0.909801,1
0.842741,0.846515,0.8519,1
0.933004,0.934414,0.936839,1
0.556154,0.566308,0.581743,1
0.769688,0.775025,0.783037,1
0.728484,0.734739,0.744119,1
0.891089,0.893625,0.897442,1
0.875979,0.878711,0.883193,1
0.84483,0.848436,0.853784,1
0.866763,0.872707,0.878936,1
0.912316,0.914423,0.917404,1
0.952145,0.953241,0.954893,1
0.883424,0.886291,0.890339,1
0.954052,0.955187,0.956796,1
0.772205,0.777508,0.785417,1
0.969775,0.970482,0.971515,1
0.843748,0.847269,0.852812,1
0.914769,0.917151,0.920228,1
