@relation 'ImbricationACP-weka.filters.unsupervised.attribute.Remove-R1-3,5-31-weka.filters.unsupervised.attribute.NumericToBinary-Rfirst-weka.filters.unsupervised.attribute.Reorder-R2,1-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-weka.filters.supervised.instance.SMOTE-C0-K5-P77.0-S1-weka.filters.unsupervised.instance.Randomize-S42'

@attribute 'd(LOC,d(RFC, Ca))' numeric
@attribute #BugsBinary_binarized {0,1}

@data
0.990157,0
0.929114,0
0.972169,1
0.986672,0
0.989254,1
0.942433,0
0.971948,1
0.972447,0
0.992841,0
0.887597,1
0.995837,0
0.805615,0
0.767311,0
0.742744,1
0.48664,1
0.849516,0
0.732996,1
0.75944,1
0.644271,1
0.993514,0
0.981217,1
0.989941,0
0.819565,0
0.973969,0
0.974474,1
0.991049,1
0.850892,1
0.992406,0
0.989531,0
0.99321,0
0.989747,0
0.929767,1
0.976983,0
0.740202,1
0.977729,1
0.915937,1
0.98467,0
0.993838,0
0.958976,0
0.974854,1
0.460967,1
0.711819,0
0.789372,1
0.9762,0
0.93243,1
0.989194,0
0.993801,0
0.839105,1
0.849516,1
0.973296,0
0.661354,0
0.878507,0
0.975123,0
0.990824,0
0.99542,1
0.55235,0
0.976763,0
0.844086,1
0.987994,0
0.993716,0
0.98597,0
0.984034,1
0.934871,1
0.968358,0
0.99165,1
0.987291,1
0.933612,1
0.989185,1
0.976207,0
0.992494,0
1,0
0.992209,0
0.947423,1
0.783905,1
0.985308,1
0.889867,0
0.976631,1
0.938634,1
0.745808,1
0.946977,1
0.993612,0
0.99292,0
0.993633,0
0.947998,1
0.848577,1
0.627348,1
-0.092736,1
0.746611,1
0.694172,1
0.744055,1
0.979807,0
0.974487,1
0.819706,1
0.990631,0
0.926475,1
0.784992,1
0.943721,1
0.963572,1
0.980682,0
0.963857,1
0.985084,1
0.988105,0
0.991258,1
0.889662,1
0.985961,0
0.977907,1
0.693263,1
0.889044,1
0.575987,1
0.979178,1
0.993782,0
0.944412,1
0.992828,1
0.878153,1
0.929158,1
0.994478,0
0.99216,0
0.97318,0
0.986529,0
0.916193,1
0.724603,1
0.809049,1
0.680173,1
0.971919,1
0.447709,1
0.796295,1
0.922096,0
0.92653,0
0.992868,1
-1,0
0.975777,1
0.967911,0
0.829842,0
0.987281,0
0.987685,1
0.566057,1
0.976612,0
0.994434,0
0.974737,1
0.916911,1
0.989498,1
0.992993,0
0.991159,0
0.989543,0
0.991155,0
0.991879,0
0.657068,1
0.79667,0
0.882519,1
0.992818,0
0.974305,0
0.98388,0
0.884839,1
0.682032,1
0.994434,0
0.994084,0
0.906626,1
0.977514,1
0.991673,0
0.991154,0
0.954865,1
0.764203,1
0.745829,0
0.022303,0
0.914301,1
0.982135,0
0.993376,1
0.993222,0
0.991952,1
0.976129,1
0.779776,1
0.992233,0
0.050046,0
0.990549,0
0.991155,0
0.985156,0
0.992184,0
0.958008,0
0.98529,0
0.927344,1
0.643768,1
0.959798,1
0.856356,0
0.90922,1
0.988251,0
0.973035,1
0.195279,1
0.987236,0
0.976287,1
0.941951,1
0.672123,1
0.992646,0
0.842034,1
0.720548,0
0.045346,1
0.990229,0
0.912964,0
0.786107,1
0.977642,1
0.974078,1
0.927474,1
0.979194,0
0.981228,0
0.993266,0
0.953852,0
0.682576,1
0.984214,0
0.994603,0
0.990581,0
0.972071,0
0.99115,0
0.731143,1
0.469573,1
0.991658,1
0.992385,1
0.827911,1
0.992559,0
0.94866,1
0.993046,0
0.9128,1
0.997676,0
0.992422,0
0.991522,0
0.994831,0
0.691571,1
0.993868,0
0.843828,0
0.889863,1
0.528408,0
0.992699,0
0.970224,0
0.919707,1
0.773309,1
0.992521,0
0.993648,0
0.846572,1
0.991153,0
0.851236,1
0.656833,1
0.618735,1
0.971843,0
0.987164,0
0.978076,1
0.990428,0
0.990632,0
0.993217,0
0.204802,1
0.698605,1
0.99444,0
0.98693,0
0.886588,0
0.99253,1
0.899952,1
0.699096,1
0.992186,0
0.681656,1
0.988321,0
0.62388,1
0.992188,0
0.980429,0
0.9771,1
0.993427,0
0.930745,0
0.99116,0
0.630099,0
0.990917,1
0.992811,1
0.990009,0
0.678184,1
0.956333,1
0.992559,0
0.965742,0
0.975975,1
0.888485,0
0.992685,0
0.992526,0
0.6992,1
0.90517,1
0.967446,1
0.652556,1
0.747401,1
0.673135,1
0.975109,1
0.992536,0
0.726741,1
0.991382,0
0.990575,1
0.987818,0
0.985498,0
0.982662,0
0.983468,1
0.746292,1
0.885444,0
0.992687,0
0.937692,1
0.940868,1
0.987681,0
0.778016,1
0.991155,0
0.992395,0
0.992912,0
0.738553,1
0.980269,1
0.629203,1
0.218884,1
0.930368,1
0.913742,0
0.484581,1
0.844522,1
0.972028,0
0.777193,0
0.437973,0
0.721674,1
0.386888,1
0.992145,0
0.906038,1
0.958217,0
0.86372,1
0.721159,1
0.971641,1
0.993612,0
0.993787,0
0.45366,0
0.992972,0
0.471035,1
0.986882,1
0.967885,0
0.96482,1
0.965828,1
0.977712,0
0.974466,0
0.937401,1
0.946135,1
0.99026,0
0.837341,1
0.909736,1
0.992385,0
0.991267,1
0.397639,1
0.996208,0
0.993933,0
0.989491,1
0.994217,0
0.960896,0
0.99073,0
0.991155,0
0.871355,0
0.934367,0
0.993119,1
0.990844,1
0.985575,0
0.933906,1
-0.178405,1
0.993812,0
0.937419,1
0.991141,0
0.840196,1
0.964003,1
0.991659,0
0.986965,0
0.991371,0
0.638462,1
0.991668,0
0.891347,1
0.991702,1
0.939863,1
0.958649,0
0.992638,0
0.971036,0
-0.04251,1
0.990156,0
0.925297,0
0.963687,1
0.957255,0
