@relation 'Ant15BugsBinary-weka.filters.unsupervised.attribute.Remove-R1-3,5-18,29-30-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-unset-class-temporarily-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,1-weka.filters.supervised.instance.SMOTE-C0-K5-P77.0-S1-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.attribute.Remove-R1-7,9-10'

@attribute 'd(LOC, Ca)' numeric
@attribute #BugsBinary {0,1}

@data
0.962615,0
0.861254,0
0.917267,1
0.952102,0
0.9468,1
0.877003,0
0.920265,1
0.925233,0
0.980587,0
0.828487,1
0.977873,0
0.733779,0
0.696359,0
0.684331,1
0.423133,1
0.772627,0
0.655913,1
0.683919,1
0.604069,1
0.984249,0
0.934561,1
0.988209,0
0.748566,0
0.925702,0
0.918343,1
0.965099,1
0.777548,1
0.978453,0
0.954248,0
0.997345,0
0.959103,0
0.878353,1
0.92779,0
0.691828,1
0.932709,1
0.851524,1
0.951787,0
0.990693,0
0.902009,0
0.926398,1
0.41717,1
0.643196,0
0.714123,1
0.93257,0
0.86995,1
0.948767,0
0.986212,0
0.763809,1
0.775113,1
0.918297,0
0.588122,0
0.807518,0
0.926194,0
0.96313,0
0.978365,1
0.484018,0
0.932123,0
0.770684,1
0.957201,0
0.997003,0
0.946866,0
0.94492,1
0.870798,1
0.917335,0
0.997473,1
0.936197,1
0.872285,1
0.959242,1
0.92917,0
0.97888,0
0.990626,0
0.965591,0
0.884418,1
0.711171,1
0.954248,1
0.818416,0
0.929588,1
0.872642,1
0.669843,1
0.8834,1
0.988701,0
0.992103,0
0.994991,0
0.883892,1
0.773661,1
0.560587,1
0.473377,1
0.668859,1
0.623917,1
0.709492,1
0.935053,0
0.917786,1
0.687153,1
1,0
0.853381,1
0.714415,1
0.878878,1
0.90161,1
0.938006,0
0.906485,1
0.957973,1
0.956321,0
0.995221,1
0.822049,1
0.942642,0
0.930533,1
0.620538,1
0.840602,1
0.416906,1
0.926217,1
0.990178,0
0.882304,1
0.97049,1
0.802669,1
0.858115,1
0.971005,0
0.997069,0
0.923241,0
0.945344,0
0.847404,1
0.627826,1
0.734763,1
0.606816,1
0.919337,1
0.404814,1
0.719977,1
0.859754,0
0.865191,0
0.980381,1
-1,0
0.920222,1
0.911922,0
0.75201,0
0.960154,0
0.953287,1
0.540526,1
0.92917,0
0.974339,0
0.936038,1
0.848435,1
0.959685,1
0.984183,0
0.999272,0
0.9636,0
0.999378,0
0.967537,0
0.5616,1
0.720961,0
0.799961,1
0.991074,0
0.922522,0
0.946373,0
0.811668,1
0.604283,1
0.974339,0
0.984676,0
0.851705,1
0.935523,1
0.999038,0
0.999252,0
0.893735,1
0.689835,1
0.670827,0
-0.014959,0
0.846419,1
0.939014,0
0.974685,1
0.985748,0
0.965196,1
0.930556,1
0.676876,1
0.9902,0
0.009585,0
0.965076,0
0.999486,0
0.956105,0
0.998053,0
0.903063,0
0.947358,0
0.886156,1
0.580192,1
0.904047,1
0.784954,0
0.84568,1
0.956709,0
0.924481,1
0.144114,1
0.951318,0
0.928632,1
0.88374,1
0.600448,1
0.985256,0
0.765544,1
0.648195,0
0.155668,1
0.968522,0
0.84818,0
0.695937,1
0.930132,1
0.919539,1
0.859168,1
0.932615,0
0.928678,0
0.9902,0
0.894135,0
0.59797,1
0.944405,0
0.981744,0
0.996577,0
0.919304,0
0.999421,0
0.623609,1
0.369542,1
0.998053,1
0.96756,1
0.752329,1
0.99463,0
0.917536,1
0.972974,0
0.844006,1
0.993043,0
0.976419,0
0.969484,0
0.980334,0
0.617175,1
0.986688,0
0.771668,0
0.815392,1
0.467612,0
0.997987,0
0.927648,0
0.847191,1
0.697887,1
0.988165,0
0.989019,0
0.797032,1
0.99919,0
0.783815,1
0.582247,1
0.547813,1
0.911807,0
0.945791,0
0.92652,1
0.95624,0
0.956732,0
0.985748,0
0.154014,1
0.640967,1
0.974361,0
0.94785,0
0.814996,0
0.961185,1
0.815362,1
0.627479,1
0.998165,0
0.62004,1
0.948857,0
0.607816,1
0.998523,0
0.936061,0
0.930578,1
0.98378,0
0.863715,0
0.999508,0
0.556886,0
0.95521,1
0.973891,1
0.953264,0
0.587149,1
0.89472,1
0.99463,0
0.9085,0
0.928163,1
0.820313,0
0.973443,0
0.9768,0
0.627041,1
0.835522,1
0.914382,1
0.579268,1
0.663979,1
0.598319,1
0.931995,1
0.972919,0
0.651329,1
0.956217,0
0.96653,1
0.954585,0
0.946843,0
0.933509,0
0.954506,1
0.671292,1
0.81448,0
0.998009,0
0.87548,1
0.853929,1
0.953287,0
0.701228,1
0.999464,0
0.992147,0
0.98378,0
0.663912,1
0.90942,1
0.557458,1
0.28278,1
0.851156,1
0.845015,0
0.42034,1
0.766355,1
0.919796,0
0.703095,0
0.379158,0
0.647158,1
0.326109,1
0.996599,0
0.835664,1
0.901025,0
0.791302,1
0.646201,1
0.919819,1
0.988701,0
0.990178,0
0.390928,0
0.987629,0
0.407693,1
0.95568,1
0.910868,0
0.906326,1
0.907272,1
0.927671,0
0.92521,0
0.79965,1
0.88626,1
0.967068,0
0.763795,1
0.838101,1
0.980804,0
0.956835,1
0.336114,1
0.977403,0
0.98378,0
0.964802,1
0.996424,0
0.904047,0
0.965568,0
0.99953,0
0.801218,0
0.871495,0
0.995122,1
0.963072,1
0.945255,0
0.860126,1
-0.209933,1
0.986263,0
0.871589,1
0.998501,0
0.808065,1
0.902571,1
0.998076,0
0.948857,0
0.965971,0
0.566506,1
0.998994,0
0.821369,1
0.967845,1
0.877963,1
0.902501,0
0.982163,0
0.917828,0
-0.081431,1
0.956664,0
0.865168,0
0.906833,1
0.903532,0
