@relation 'Ant15BugsBinary-weka.filters.unsupervised.attribute.Remove-R1-3,5-18,29-30-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-unset-class-temporarily-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,1-weka.filters.supervised.instance.SMOTE-C0-K5-P77.0-S1-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.attribute.Remove-R1-4,7-10-weka.filters.unsupervised.attribute.Remove-R1'

@attribute 'd(LOC, CBO)' numeric
@attribute #BugsBinary {0,1}

@data
0.962633,0
0.861319,0
0.917151,1
0.952104,0
0.953915,1
0.87699,0
0.920235,1
0.925245,0
0.980577,0
0.819456,1
0.977928,0
0.733904,0
0.696553,0
0.681836,1
0.423302,1
0.77271,0
0.655568,1
0.679901,1
0.606357,1
0.984279,0
0.934414,1
0.988259,0
0.748487,0
0.925624,0
0.918223,1
0.965048,1
0.777508,1
0.978506,0
0.95418,0
0.997389,0
0.959144,0
0.891477,1
0.927785,0
0.696778,1
0.930582,1
0.85542,1
0.951855,0
0.990741,0
0.901899,0
0.926434,1
0.398755,1
0.643416,0
0.714032,1
0.932624,0
0.869966,1
0.948703,0
0.986183,0
0.774516,1
0.775025,1
0.918223,0
0.588181,0
0.807491,0
0.926183,0
0.96308,0
0.978309,1
0.484027,0
0.932064,0
0.770791,1
0.957199,0
0.997026,0
0.946936,0
0.9449,1
0.870263,1
0.917374,0
0.997518,1
0.952506,1
0.873942,1
0.957359,1
0.929158,0
0.978912,0
0.990335,0
0.965562,0
0.883601,1
0.711081,1
0.954315,1
0.81843,0
0.930544,1
0.872707,1
0.669618,1
0.883385,1
0.988707,0
0.992128,0
0.995015,0
0.883741,1
0.773573,1
0.559543,1
0.480435,1
0.668562,1
0.626732,1
0.718552,1
0.93495,0
0.895582,1
0.692216,1
1,0
0.85315,1
0.716578,1
0.878711,1
0.901518,1
0.93799,0
0.906483,1
0.963355,1
0.956364,0
0.995448,1
0.822157,1
0.942713,0
0.930544,1
0.620716,1
0.833478,1
0.471152,1
0.926094,1
0.990205,0
0.898667,1
0.970482,1
0.802595,1
0.858137,1
0.970974,0
0.997114,0
0.923277,0
0.945415,0
0.847269,1
0.634185,1
0.734739,1
0.606712,1
0.903447,1
0.365004,1
0.720033,1
0.859773,0
0.865278,0
0.979093,1
-1,0
0.922891,1
0.911827,0
0.751788,0
0.960218,0
0.953241,1
0.49332,1
0.92909,0
0.974373,0
0.936068,1
0.848436,1
0.959681,1
0.984235,0
0.999315,0
0.963617,0
0.9994,0
0.967464,0
0.576737,1
0.721066,0
0.753318,1
0.991036,0
0.922581,0
0.946376,0
0.811736,1
0.601357,1
0.974373,0
0.98464,0
0.863345,1
0.935576,1
0.99906,0
0.999274,0
0.893625,1
0.689907,1
0.670825,0
-0.014406,0
0.846515,1
0.938997,0
0.978014,1
0.985733,0
0.966254,1
0.930587,1
0.69415,1
0.990249,0
0.010042,0
0.965026,0
0.99953,0
0.95617,0
0.998098,0
0.903155,0
0.947337,0
0.902371,1
0.582075,1
0.903867,1
0.785055,0
0.84678,1
0.95664,0
0.919802,1
0.143813,1
0.951295,0
0.928643,1
0.88554,1
0.600345,1
0.985308,0
0.765585,1
0.648126,0
0.098985,1
0.968536,0
0.848253,0
0.691518,1
0.930097,1
0.896253,1
0.859076,1
0.932579,0
0.928554,0
0.990227,0
0.894117,0
0.593942,1
0.944386,0
0.981753,0
0.996623,0
0.919274,0
0.999421,0
0.622624,1
0.347738,1
0.998076,1
0.967508,1
0.752398,1
0.994588,0
0.916,1
0.972942,0
0.843825,1
0.99309,0
0.976363,0
0.969476,0
0.980299,0
0.617091,1
0.986651,0
0.771825,0
0.81527,1
0.46792,0
0.99801,0
0.927728,0
0.847901,1
0.697776,1
0.988193,0
0.989004,0
0.809087,1
0.999213,0
0.783655,1
0.582097,1
0.54762,1
0.91161,0
0.945581,0
0.926395,1
0.956193,0
0.956618,0
0.985711,0
0.154082,1
0.644405,1
0.974395,0
0.94792,0
0.815034,0
0.950599,1
0.814693,1
0.627269,1
0.998208,0
0.610135,1
0.948747,0
0.615272,1
0.998546,0
0.93609,0
0.930611,1
0.983787,0
0.863662,0
0.999552,0
0.556738,0
0.955187,1
0.973948,1
0.953175,0
0.579136,1
0.894609,1
0.994588,0
0.908474,0
0.928129,1
0.820304,0
0.973478,0
0.976811,0
0.627082,1
0.835485,1
0.914423,1
0.57912,1
0.654522,1
0.598104,1
0.931858,1
0.972935,0
0.65109,1
0.95626,0
0.966568,1
0.954629,0
0.94689,0
0.933197,0
0.955049,1
0.671167,1
0.814543,0
0.997988,0
0.883444,1
0.866538,1
0.953219,0
0.701051,1
0.999486,0
0.992128,0
0.983765,0
0.663864,1
0.906908,1
0.557329,1
0.243827,1
0.850763,1
0.8449,0
0.420581,1
0.774029,1
0.919811,0
0.703238,0
0.379416,0
0.647117,1
0.326306,1
0.996645,0
0.835694,1
0.900915,0
0.791234,1
0.646184,1
0.919788,1
0.988707,0
0.990227,0
0.390939,0
0.987657,0
0.407777,1
0.955745,1
0.910843,0
0.906349,1
0.913183,1
0.92757,0
0.925132,0
0.749398,1
0.886291,1
0.967105,0
0.763664,1
0.838013,1
0.980858,0
0.962386,1
0.336399,1
0.977325,0
0.983721,0
0.964855,1
0.996448,0
0.903933,0
0.965562,0
0.999552,0
0.801166,0
0.87151,0
0.995147,1
0.96348,1
0.945281,0
0.866773,1
-0.209416,1
0.986247,0
0.871533,1
0.998502,0
0.843588,1
0.902548,1
0.998098,0
0.948858,0
0.96601,0
0.566308,1
0.999016,0
0.821381,1
0.968875,1
0.877882,1
0.90248,0
0.982205,0
0.917798,0
-0.082,1
0.956707,0
0.865278,0
0.920104,1
0.9036,0
