@relation 'Ant15BugsBinary-weka.filters.unsupervised.attribute.Remove-R1-3,5-18,29-30-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-unset-class-temporarily-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,1-weka.filters.supervised.instance.SMOTE-C0-K5-P77.0-S1-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.attribute.Remove-R1-6,8-10'

@attribute 'd(LOC, Ce)' numeric
@attribute #BugsBinary {0,1}

@data
0.963923,0
0.866137,0
0.920228,1
0.953948,0
0.959214,1
0.881316,0
0.923089,1
0.927843,0
0.981483,0
0.82966,1
0.978647,0
0.743193,0
0.707125,0
0.706238,1
0.444123,1
0.780689,0
0.668599,1
0.684354,1
0.642826,1
0.984814,0
0.936839,1
0.988615,0
0.757404,0
0.928304,0
0.921177,1
0.966286,1
0.785417,1
0.979596,0
0.955839,0
0.997634,0
0.960601,0
0.904887,1
0.930688,0
0.703461,1
0.93717,1
0.860923,1
0.953488,0
0.990988,0
0.905512,0
0.929271,1
0.409939,1
0.655859,0
0.724172,1
0.934971,0
0.874674,1
0.950615,0
0.987176,0
0.813975,1
0.783037,1
0.921183,0
0.602657,0
0.814377,0
0.928789,0
0.964387,0
0.979103,1
0.502957,0
0.934478,0
0.77879,1
0.958698,0
0.997156,0
0.948741,0
0.946827,1
0.874849,1
0.920252,0
0.997634,1
0.945754,1
0.877317,1
0.958633,1
0.931637,0
0.979592,0
0.99094,0
0.966764,0
0.889581,1
0.721324,1
0.955861,1
0.824824,0
0.93177,1
0.878936,1
0.681432,1
0.887487,1
0.989078,0
0.992409,0
0.995257,0
0.887942,1
0.781613,1
0.575511,1
-0.154862,1
0.680476,1
0.635722,1
0.723263,1
0.93732,0
0.918222,1
0.690578,1
1,0
0.858501,1
0.727402,1
0.883193,1
0.905041,1
0.940181,0
0.909801,1
0.965079,1
0.958706,0
0.996332,1
0.828637,1
0.944944,0
0.933065,1
0.634015,1
0.84523,1
0.493745,1
0.928772,1
0.99051,0
0.895052,1
0.971515,1
0.809623,1
0.863274,1
0.971986,0
0.997159,0
0.925948,0
0.947313,0
0.852812,1
0.643841,1
0.744119,1
0.620682,1
0.916406,1
0.39423,1
0.729889,1
0.864705,0
0.869939,0
0.994052,1
-1,0
0.922628,1
0.915009,0
0.76071,0
0.961558,0
0.954893,1
