@relation 'Ant15BugsBinary-weka.filters.unsupervised.attribute.Remove-R1-3,5-18,29-30-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-unset-class-temporarily-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,1-weka.filters.supervised.instance.SMOTE-C0-K5-P77.0-S1-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.attribute.Remove-R2-10'

@attribute 'd(LOC,FANIN)' numeric
@attribute #BugsBinary {0,1}

@data
0.961644,0
0.857811,0
0.914769,1
0.950713,0
0.939964,1
0.874002,0
0.918252,1
0.923289,0
0.979935,0
0.810955,1
0.977295,0
0.727477,0
0.68918,0
0.680448,1
0.409468,1
0.767209,0
0.647841,1
0.674458,1
0.622248,1
0.983774,0
0.933004,1
0.98791,0
0.74254,0
0.923938,0
0.916237,1
0.964127,1
0.772205,1
0.978338,0
0.953152,0
0.997411,0
0.958046,0
0.875055,1
0.92575,0
0.707082,1
0.93191,1
0.846788,1
0.950561,0
0.990428,0
0.899688,0
0.92448,1
0.320746,1
0.634781,0
0.70726,1
0.930917,0
0.86673,1
0.947326,0
0.986118,0
0.788344,1
0.769688,1
0.916346,0
0.578422,0
0.802806,0
0.924405,0
0.962112,0
0.977835,1
0.46977,0
0.930485,0
0.765235,1
0.956138,0
0.996907,0
0.94556,0
0.943438,1
0.863297,1
0.915338,0
0.997411,1
0.94458,1
0.871677,1
0.957842,1
0.927427,0
0.978338,0
0.990428,0
0.964666,0
0.882618,1
0.704362,1
0.953009,1
0.813961,0
0.928229,1
0.866763,1
0.661959,1
0.880475,1
0.988413,0
0.99194,0
0.994822,0
0.881016,1
0.768177,1
0.551095,1
0.008847,1
0.660116,1
0.616677,1
0.674373,1
0.933508,0
0.902947,1
0.701517,1
1,0
0.848996,1
0.709507,1
0.875979,1
0.899258,1
0.936493,0
0.904184,1
0.94774,1
0.954677,0
0.996774,1
0.8174,1
0.941316,0
0.928794,1
0.611632,1
0.824183,1
0.509008,1
0.924296,1
0.989925,0
0.882472,1
0.969775,1
0.797545,1
0.85479,1
0.970243,0
0.996942,0
0.921383,0
0.943977,0
0.843748,1
0.626518,1
0.728484,1
0.597543,1
0.903991,1
0.343965,1
0.713341,1
0.856413,0
0.861953,0
0.984621,1
-1,0
0.915454,1
0.909798,0
0.746024,0
0.959125,0
0.952145,1
0.542514,1
0.927354,0
0.973628,0
0.934479,1
0.84483,1
0.95855,1
0.983739,0
0.999496,0
0.962723,0
0.999461,0
0.966752,0
0.547034,1
0.714348,0
0.784047,1
0.990757,0
0.917493,0
0.945093,0
0.807114,1
0.591972,1
0.973628,0
0.983598,0
0.844558,1
0.933939,1
0.998957,0
0.999461,0
0.891089,1
0.682636,1
0.662965,0
-0.037396,0
0.842741,1
0.937537,0
0.970303,1
0.985391,0
0.955048,1
0.928823,1
0.686176,1
0.989714,0
-0.012571,0
0.964162,0
0.999496,0
0.955024,0
0.99795,0
0.900513,0
0.946064,0
0.900974,1
0.560791,1
0.901703,1
0.779836,0
0.843152,1
0.955599,0
0.922335,1
0.124507,1
0.950022,0
0.926743,1
0.880782,1
0.591001,1
0.984852,0
0.759966,1
