@relation 'Ant15BugsBinary-weka.filters.unsupervised.attribute.Remove-R1-3,5-18,29-30-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-unset-class-temporarily-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,1-weka.filters.supervised.instance.SMOTE-C0-K5-P77.0-S1-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.attribute.Remove-R2,4-5,8,10'

@attribute 'd(LOC,FANIN)' numeric
@attribute 'd(WMC,FANIN)' numeric
@attribute 'd(LOC, CBO)' numeric
@attribute 'd(LOC, Ce)' numeric
@attribute 'd(WMC, Ce)' numeric
@attribute #BugsBinary {0,1}

@data
0.961644,0.959679,0.962633,0.963923,0.770638,0
0.857811,0.947787,0.861319,0.866137,0.813047,0
0.914769,0.833719,0.917151,0.920228,0.694173,1
0.950713,0.874902,0.952104,0.953948,0.732512,0
0.939964,0.951165,0.953915,0.959214,0.738044,1
0.874002,0.971336,0.87699,0.881316,0.853339,0
0.918252,0.943172,0.920235,0.923089,0.745787,1
0.923289,0.957327,0.925245,0.927843,0.890278,0
0.979935,0.886804,0.980577,0.981483,0.847433,0
0.810955,0.915401,0.819456,0.82966,0.570516,1
0.977295,0.97718,0.977928,0.978647,0.872573,0
0.727477,0.94655,0.733904,0.743193,0.644344,0
0.68918,0.928006,0.696553,0.707125,0.560306,0
0.680448,0.737339,0.681836,0.706238,0.19044,1
0.409468,0.719896,0.423302,0.444123,0.233232,1
0.767209,0.924094,0.77271,0.780689,0.489237,0
0.647841,0.77572,0.655568,0.668599,-0.067334,1
0.674458,0.928662,0.679901,0.684354,0.526621,1
0.622248,0.883475,0.606357,0.642826,0.218115,1
0.983774,0.967977,0.984279,0.984814,0.927795,0
0.933004,0.987777,0.934414,0.936839,0.818542,1
0.98791,1,0.988259,0.988615,1,0
0.74254,0.960728,0.748487,0.757404,0.796603,0
0.923938,0.99259,0.925624,0.928304,0.882249,0
0.916237,0.945467,0.918223,0.921177,0.7377,1
0.964127,0.963118,0.965048,0.966286,0.853339,1
0.772205,0.932096,0.777508,0.785417,0.614963,1
0.978338,0.983066,0.978506,0.979596,0.851456,0
0.953152,0.99259,0.95418,0.955839,0.889291,0
0.997411,0.971336,0.997389,0.997634,0.893727,0
0.958046,0.957327,0.959144,0.960601,0.898276,0
0.875055,0.788564,0.891477,0.904887,0.590438,1
0.92575,0.811424,0.927785,0.930688,0.753842,0
0.707082,0.93502,0.696778,0.703461,0.614806,1
0.93191,0.953493,0.930582,0.93717,0.866927,1
0.846788,0.928804,0.85542,0.860923,0.695747,1
0.950561,0.966595,0.951855,0.953488,0.851456,0
0.990428,0.99259,0.990741,0.990988,0.936138,0
0.899688,0.966595,0.901899,0.905512,0.781324,0
0.92448,0.868996,0.926434,0.929271,0.770638,1
0.320746,0.729535,0.398755,0.409939,0.067396,1
0.634781,0.940905,0.643416,0.655859,0.767369,0
0.70726,0.938663,0.714032,0.724172,0.658656,1
0.930917,0.971336,0.932624,0.934971,0.885217,0
0.86673,0.927,0.869966,0.874674,0.904041,1
0.947326,0.912508,0.948703,0.950615,0.751996,0
0.986118,0.927,0.986183,0.987176,0.904041,0
0.788344,0.929446,0.774516,0.813975,0.562877,1
0.769688,0.945467,0.775025,0.783037,0.730912,1
0.916346,0.967935,0.918223,0.921183,0.730379,0
0.578422,0.917703,0.588181,0.602657,0.456845,0
0.802806,0.916138,0.807491,0.814377,0.70879,0
0.924405,0.97483,0.926183,0.928789,0.818031,0
0.962112,0.960728,0.96308,0.964387,0.83177,0
0.977835,0.995035,0.978309,0.979103,0.918204,1
0.46977,0.283412,0.484027,0.502957,0.296723,0
0.930485,0.983066,0.932064,0.934478,0.802656,0
0.765235,0.955197,0.770791,0.77879,0.719682,1
0.956138,0.981957,0.957199,0.958698,0.890278,0
0.996907,0.968953,0.997026,0.997156,0.863977,0
0.94556,0.979555,0.946936,0.948741,0.893727,0
0.943438,0.947787,0.9449,0.946827,0.796603,1
0.863297,0.950407,0.870263,0.874849,0.707911,1
0.915338,0.979555,0.917374,0.920252,0.87692,0
0.997411,0.981124,0.997518,0.997634,0.978681,1
0.94458,0.970312,0.952506,0.945754,0.926872,1
0.871677,0.936512,0.873942,0.877317,0.701722,1
0.957842,0.965645,0.957359,0.958633,0.93064,1
0.927427,0.979555,0.929158,0.931637,0.860979,0
0.978338,0.985409,0.978912,0.979592,0.863977,0
0.990428,0.956977,0.990335,0.99094,0.473502,0
0.964666,0.973744,0.965562,0.966764,0.882496,0
0.882618,0.951903,0.883601,0.889581,0.837341,1
0.704362,0.979555,0.711081,0.721324,0.812279,1
0.953009,0.957327,0.954315,0.955861,0.914916,1
0.813961,0.934922,0.81843,0.824824,0.737966,0
0.928229,0.94449,0.930544,0.93177,0.792214,1
0.866763,-0.544807,0.872707,0.878936,0.452344,1
0.661959,0.940905,0.669618,0.681432,0.645738,1
0.880475,0.952505,0.883385,0.887487,0.83177,1
0.988413,0.995035,0.988707,0.989078,0.93324,0
0.99194,0.990171,0.992128,0.992409,0.90649,0
0.994822,0.952505,0.995015,0.995257,0.863977,0
0.881016,0.951425,0.883741,0.887942,0.702442,1
0.768177,0.925767,0.773573,0.781613,0.535158,1
0.551095,0.883522,0.559543,0.575511,0.453742,1
0.008847,-0.508113,0.480435,-0.154862,-0.553115,1
0.660116,0.725296,0.668562,0.680476,0.185082,1
0.616677,0.918607,0.626732,0.635722,0.528494,1
0.674373,0.936979,0.718552,0.723263,0.604275,1
0.933508,0.995035,0.93495,0.93732,0.897294,0
0.902947,0.945467,0.895582,0.918222,0.7377,1
0.701517,0.92834,0.692216,0.690578,0.391418,1
1,1,1,1,0.984001,0
0.848996,0.753952,0.85315,0.858501,0.523567,1
0.709507,0.936458,0.716578,0.727402,0.603027,1
