@relation 'Ant15BugsBinary-weka.filters.unsupervised.attribute.Remove-R1-3,5-18,29-30-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-unset-class-temporarily-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,1-weka.filters.supervised.instance.SMOTE-C0-K5-P77.0-S1-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.attribute.Remove-R1-4,6-10'

@attribute 'd(Qi,CBO)' numeric
@attribute #BugsBinary {0,1}

@data
0.968889,0
0.97926,0
0.865213,1
0.875557,0
0.784382,1
0.948149,0
0.927408,1
0.968889,0
0.844446,0
0.856233,1
0.98963,0
0.968899,0
0.979261,0
0.793608,1
0.657802,1
0.948154,0
0.46078,1
0.884135,1
0.845834,1
0.968889,0
0.885951,1
0.98963,0
0.896297,0
0.917064,0
0.906674,1
0.948149,1
0.896321,1
0.792594,0
0.927432,0
0.885927,0
0.948156,0
0.86293,1
0.771854,0
0.885927,1
0.967276,1
0.854838,1
0.98963,0
1,0
0.865197,0
0.834076,1
0.788896,1
0.968901,0
0.885928,1
0.968889,0
0.885927,1
0.89632,0
0.68891,0
0.856362,1
0.885927,1
0.90669,0
0.906668,0
0.885928,0
0.948149,0
0.948149,0
0.937805,1
0.543742,0
0.937778,0
0.968892,1
0.958519,0
0.948149,0
0.98963,0
0.958519,1
0.843327,1
0.968889,0
0.948149,1
0.96889,1
0.85695,1
0.968889,1
0.958519,0
0.98963,0
0.802964,0
0.958519,0
0.946709,1
0.885927,1
0.98963,1
0.937779,0
0.948149,1
-0.213301,1
0.823706,1
0.948149,1
0.968889,0
0.958519,0
0.927408,0
0.88593,1
0.8963,1
0.810843,1
-0.560378,1
0.792623,1
0.828075,1
0.890269,1
0.906694,0
0.906673,1
0.905122,1
0.958519,0
0.844468,1
0.89594,1
0.834099,1
0.917038,1
0.948149,0
0.937779,1
0.953501,1
0.522967,0
0.985751,1
0.844446,1
0.854816,0
0.917038,1
0.937798,1
0.931091,1
0.758035,1
0.906674,1
0.979259,0
0.914012,1
0.958519,1
0.896325,1
0.875557,1
0.958519,0
0.98963,0
0.96889,0
0.968889,0
0.854816,1
0.869072,1
0.90669,1
0.844459,1
0.945371,1
0.790384,1
0.927413,1
0.948149,0
0.98963,0
0.951019,1
0.937801,0
0.848832,1
0.906668,0
0.834076,0
0.98963,0
0.948149,1
0.861282,1
0.927408,0
0.937785,0
0.96889,1
0.937779,1
0.968889,1
0.948149,0
0.865186,0
0.968889,0
0.906667,0
0.927435,0
0.777647,1
0.948171,0
0.896861,1
0.906667,0
-1,0
0.958519,0
0.802966,1
0.863948,1
0.937785,0
0.906668,0
0.9584,1
0.968889,1
0.979259,0
0.844446,0
0.90667,1
0.875571,1
0.917038,0
0.979259,0
0.958519,1
0.958519,0
0.942792,1
0.958519,0
0.949068,1
0.938508,1
0.836696,1
1,0
0.958532,0
0.937778,0
0.968889,0
0.937778,0
0.98963,0
0.98963,0
0.948149,0
0.883642,1
0.816963,1
0.865186,1
0.968897,0
0.857064,1
0.927408,0
0.848293,1
0.740761,1
0.958519,0
0.948149,1
0.946859,1
0.854845,1
0.98963,0
0.844457,1
0.885934,0
0.657289,1
0.968889,0
0.854816,0
0.889678,1
0.937778,1
0.91327,1
0.854842,1
