@relation 'Ant15BugsBinary-weka.filters.unsupervised.attribute.Remove-R1-3,5-18,29-30-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-unset-class-temporarily-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,1-weka.filters.supervised.instance.SMOTE-C0-K5-P77.0-S1-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.attribute.Remove-R1,3-10'

@attribute 'd(Qi,FANIN)' numeric
@attribute #BugsBinary {0,1}

@data
0.986515,0
0.973041,0
0.885468,1
0.919143,0
0.969503,1
0.986515,0
0.97304,1
0.97304,0
0.919143,0
0.960394,1
0.993252,0
0.986519,0
0.979778,0
0.905393,1
0.831568,1
0.97978,0
0.885469,1
0.979684,1
0.966307,1
0.979777,0
0.999999,1
0.999989,0
0.979777,0
1,0
0.973043,1
0.979777,1
0.97305,1
0.999989,0
0.999999,0
0.986515,0
0.973043,0
0.880217,1
0.865246,0
0.973041,1
0.973393,1
0.969611,1
0.986515,0
0.999989,0
0.986519,0
0.912406,1
0.836297,1
0.973045,0
0.973041,1
0.986515,0
0.946092,1
0.946101,0
0.946098,0
0.97113,1
0.97304,1
0.993261,0
0.973041,0
0.952829,0
0.993252,0
0.979778,0
1,1
0.467767,0
0.999989,0
0.986516,1
0.993252,0
0.986515,0
0.993252,0
0.97304,1
0.978166,1
0.993252,0
0.986515,1
0.988219,1
0.975888,1
0.977596,1
0.993252,0
0.999989,0
0.999989,0
0.986515,0
0.971257,1
0.993252,1
0.97304,1
0.966304,0
0.96438,1
-0.253116,1
0.97304,1
0.97304,1
0.999989,0
0.999989,0
0.97304,0
0.979779,1
0.973042,1
0.945709,1
-0.248449,1
0.831572,1
0.972064,1
0.973161,1
1,0
0.973041,1
0.986523,1
0.999989,0
0.831569,1
0.976781,1
0.979787,1
0.999989,1
0.993252,0
0.979778,1
0.975165,1
0.696816,0
0.999989,1
0.858508,1
0.952829,0
0.966303,1
0.973049,1
0.978323,1
0.971936,1
0.973043,1
0.999989,0
0.999993,1
0.999989,1
0.912417,1
0.97304,1
0.993252,0
0.993252,0
0.993252,0
0.979777,0
0.979777,1
0.977462,1
0.986524,1
0.973046,1
0.999989,1
0.837913,1
0.979779,1
0.993252,0
0.993252,0
0.999998,1
0.979787,0
0.907021,1
0.993252,0
0.97304,0
0.986515,0
0.999989,1
0.978992,1
0.979778,0
0.966306,0
0.993252,1
0.993252,1
0.97304,1
0.97304,0
0.999989,0
0.999989,0
0.993252,0
1,0
0.940469,1
0.979787,0
0.985041,1
0.966303,0
-1,0
0.999989,0
0.912406,1
0.969275,1
0.966306,0
0.845034,0
0.973729,1
0.986515,1
0.993252,0
0.993252,0
0.979778,1
0.979783,1
0.97304,0
0.999989,0
0.979777,1
0.999989,0
0.999993,1
0.999989,0
0.999989,1
0.966797,1
0.970795,1
0.959566,0
0.979783,0
0.986515,0
0.999989,0
0.97304,0
0.993252,0
0.952829,0
0.993252,0
0.969641,1
0.953333,1
0.986515,1
0.986518,0
0.986189,1
0.986515,0
0.903043,1
0.952836,1
0.979777,0
0.959566,1
0.968634,1
0.973052,1
0.993252,0
0.946096,1
0.952832,0
0.843457,1
0.999989,0
0.932617,0
0.976382,1
0.966303,1
0.97304,1
0.946102,1
0.979778,0
0.973048,0
0.993252,0
0.952829,0
0.968209,1
0.993252,0
0.95283,0
0.999989,0
0.993252,0
0.993252,0
0.971766,1
0.920263,1
0.999989,1
0.999989,1
0.966306,1
0.999989,0
0.976256,1
0.999989,0
0.973044,1
0.993252,0
0.979777,0
0.966303,0
0.979777,0
0.966305,1
0.993259,0
0.966305,0
0.966315,1
0.979777,0
0.993252,0
0.979777,0
0.988025,1
0.993253,1
0.986515,0
0.939354,0
0.967613,1
0.986515,0
0.945458,1
0.959572,1
0.959573,1
0.898934,0
0.979778,0
0.978202,1
0.999989,0
0.979778,0
0.999989,0
0.986515,1
0.979788,1
0.973043,0
0.993252,0
0.993254,0
0.983965,1
0.913893,1
0.979782,1
0.97304,0
