@relation 'Ant15BugsBinary-weka.filters.unsupervised.attribute.Remove-R1-3,5-18,29-30-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-unset-class-temporarily-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,1-weka.filters.supervised.instance.SMOTE-C0-K5-P77.0-S1-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.attribute.Remove-R1-9'

@attribute 'd(WMC, Ca)' numeric
@attribute #BugsBinary {0,1}

@data
0.945474,0
0.965784,0
0.907958,1
0.853317,0
0.660456,1
0.980166,0
0.934521,1
0.985054,0
0.845438,0
0.882207,1
0.964446,0
0.918479,0
0.886192,0
0.859045,1
0.553945,1
0.878067,0
0.539647,1
0.877816,1
0.828507,1
0.968371,0
0.969309,1
0.994325,0
0.975324,0
0.979175,0
0.961085,1
0.980166,1
0.9118,1
0.754457,0
0.979175,0
0.861288,0
0.941771,0
0.924478,1
0.760573,0
0.945333,1
0.953965,1
0.899454,1
0.959631,0
0.98999,0
0.92699,0
0.803818,1
0.558769,1
0.918914,0
0.94728,1
0.958461,0
0.914503,1
0.917377,0
0.712411,0
0.895845,1
0.950144,1
0.934521,0
0.882103,0
0.907958,0
0.959631,0
0.975324,0
0.984179,1
0.522863,0
0.97053,0
0.936278,1
0.974219,0
0.931869,0
0.969309,0
0.965784,1
0.889986,1
0.969309,0
0.946248,1
0.963771,1
0.953089,1
0.980056,1
0.980166,0
0.975324,0
0.883398,0
0.985054,0
0.942278,1
0.980166,1
0.974219,1
0.945474,0
0.93335,1
-0.29211,1
0.951833,1
0.975324,1
0.984179,0
0.952577,0
0.9102,0
0.956435,1
0.921001,1
0.875113,1
-0.376804,1
0.870387,1
0.909222,1
0.930547,1
0.984179,0
0.961085,1
0.888123,1
0.983586,0
0.925255,1
0.934354,1
0.912643,1
0.985054,1
0.959631,0
0.9118,1
0.976659,1
0.485458,0
0.993487,1
0.798914,1
0.823936,0
0.911276,1
0.821401,1
0.931122,1
0.857063,1
0.97053,1
0.974219,0
0.983138,1
0.974219,1
0.873728,1
0.873817,1
0.985054,0
0.989229,0
0.936278,0
0.937861,0
0.92829,1
0.900445,1
0.877536,1
0.886192,1
0.983989,1
0.577959,1
0.90306,1
0.959631,0
