@relation 'Ant15BugsBinary-weka.filters.unsupervised.attribute.Remove-R1-3,5-18,29-30-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-unset-class-temporarily-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,1-weka.filters.supervised.instance.SMOTE-C0-K5-P77.0-S1-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.attribute.Remove-R1-3,5-10'

@attribute 'd( WMC,CBO)' numeric
@attribute #BugsBinary {0,1}

@data
0.932172,0
0.951536,0
0.823769,1
0.834127,0
0.349032,1
0.934337,0
0.890553,1
0.959655,0
0.826902,0
0.787836,1
0.971013,0
0.906359,0
0.896799,0
0.691039,1
0.516435,1
0.85711,0
0.287048,1
0.816496,1
0.726803,1
0.964394,0
0.872697,1
0.999334,0
0.87815,0
0.913115,0
0.874385,1
0.934337,1
0.837102,1
0.770948,0
0.923351,0
0.872697,0
0.939073,0
0.796996,1
0.73582,0
0.828377,1
0.932261,1
0.816156,1
0.96645,0
0.995278,0
0.842556,0
0.797444,1
0.522627,1
0.927752,0
0.839959,1
0.954961,0
0.882469,1
0.864041,0
0.690769,0
0.799445,1
0.853707,1
0.869797,0
0.818501,0
0.844494,0
0.925002,0
0.929647,0
0.938444,1
0.424911,0
0.914663,0
0.923379,1
0.949359,0
0.929647,0
0.975622,0
0.930772,1
0.82302,1
0.954961,0
0.953548,1
0.962827,1
0.836358,1
0.964394,1
0.944645,0
0.971013,0
0.725556,0
0.949359,0
0.921221,1
0.872697,1
0.980276,1
0.900945,0
0.91921,1
-0.252484,1
0.782435,1
0.929647,1
0.969178,0
0.949359,0
0.909019,0
0.849077,1
0.824287,1
0.703996,1
-0.374841,1
0.666655,1
0.785219,1
0.824331,1
0.9078,0
0.874385,1
0.777413,1
0.968665,0
0.776097,1
0.845103,1
0.797444,1
0.908271,1
0.925002,0
0.87902,1
0.934135,1
0.504693,0
0.984632,1
0.803083,1
0.837131,0
0.889352,1
0.813681,1
0.845814,1
0.700804,1
0.883702,1
0.969961,0
0.917067,1
0.949359,1
0.788551,1
0.843383,1
0.949359,0
0.994503,0
0.923379,0
0.945708,0
0.822763,1
0.80275,1
0.802996,1
0.759105,1
0.939241,1
0.528384,1
0.860055,1
0.925002,0
0.984974,0
0.986757,1
0.810299,0
0.810531,1
0.87902,0
0.77448,0
0.975622,0
0.939073,1
0.854892,1
0.904333,0
0.933597,0
0.959655,1
0.892032,1
0.964394,1
0.934337,0
0.872134,0
0.950312,0
