@relation 'Ant15BugsBinary-weka.filters.unsupervised.attribute.Remove-R1-3,5-18,29-30-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-unset-class-temporarily-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,1-weka.filters.supervised.instance.SMOTE-C0-K5-P77.0-S1-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.attribute.Remove-R1-8,10'

@attribute 'd(WMC, Ce)' numeric
@attribute #BugsBinary {0,1}

@data
0.770638,0
0.813047,0
0.694173,1
0.732512,0
0.738044,1
0.853339,0
0.745787,1
0.890278,0
0.847433,0
0.570516,1
0.872573,0
0.644344,0
0.560306,0
0.19044,1
0.233232,1
0.489237,0
-0.067334,1
0.526621,1
0.218115,1
0.927795,0
0.818542,1
1,0
0.796603,0
0.882249,0
0.7377,1
0.853339,1
0.614963,1
0.851456,0
0.889291,0
0.893727,0
0.898276,0
0.590438,1
0.753842,0
0.614806,1
0.866927,1
0.695747,1
0.851456,0
0.936138,0
0.781324,0
0.770638,1
0.067396,1
0.767369,0
0.658656,1
0.885217,0
0.904041,1
0.751996,0
0.904041,0
0.562877,1
0.730912,1
0.730379,0
0.456845,0
0.70879,0
0.818031,0
0.83177,0
0.918204,1
0.296723,0
0.802656,0
0.719682,1
0.890278,0
0.863977,0
0.893727,0
0.796603,1
0.707911,1
0.87692,0
0.978681,1
0.926872,1
0.701722,1
0.93064,1
0.860979,0
0.863977,0
0.473502,0
0.882496,0
0.837341,1
0.812279,1
0.914916,1
0.737966,0
0.792214,1
0.452344,1
0.645738,1
0.83177,1
0.93324,0
0.90649,0
0.863977,0
0.702442,1
0.535158,1
0.453742,1
-0.553115,1
0.185082,1
0.528494,1
0.604275,1
0.897294,0
0.7377,1
0.391418,1
0.984001,0
0.523567,1
0.603027,1
0.696074,1
0.85359,1
0.818031,0
0.647549,1
0.814051,1
0.821602,0
0.951395,1
0.749489,1
0.872573,0
0.804713,1
0.316631,1
0.622503,1
0.331067,1
0.781324,1
0.90649,0
0.896938,1
0.890278,1
0.350412,1
0.7595,1
0.882496,0
0.978681,0
0.728378,0
0.842772,0
0.718072,1
0.484034,1
0.380241,1
0.44861,1
0.896556,1
0.147843,1
0.596592,1
0.818031,0
0.927795,0
0.925116,1
0.274641,0
0.705632,1
0.766452,0
0.562057,0
0.893727,0
0.874934,1
0.492778,1
0.795313,0
0.919663,0
0.898276,1
0.702984,1
0.911745,1
0.893727,0
0.978681,0
0.855596,0
0.9705,0
0.911012,0
0.479477,1
0.366216,0
0.361156,1
0.882496,0
0.695395,0
0.890278,0
0.491213,1
0.480162,1
0.919663,0
0.925614,0
0.77657,1
0.863977,1
0.949132,0
0.9705,0
0.803171,1
0.503322,1
0.486345,0
0.978681,0
0.758317,1
0.904041,0
0.90126,1
0.911745,0
0.889227,1
0.80094,1
0.338773,1
0.936138,0
0.316631,0
0.874934,0
0.9705,0
0.851456,0
0.936138,0
0.851456,0
0.818031,0
0.882336,1
0.428899,1
0.828344,1
0.665288,0
0.716506,1
0.889291,0
0.701595,1
0.107757,1
0.860979,0
0.804713,1
0.835497,1
0.470429,1
0.893727,0
0.665702,1
0.462879,0
0.020887,1
0.87692,0
0.707307,0
0.597693,1
0.867594,1
0.740996,1
0.694173,1
0.83177,0
0.715924,0
0.949132,0
0.81023,0
0.46227,1
0.818031,0
0.911745,0
1,0
0.788719,0
0.962526,0
0.341264,1
0.335952,1
0.9705,1
0.918204,1
0.554308,1
0.925614,0
0.788457,1
0.925614,0
0.667907,1
0.704741,0
0.874934,0
0.890278,0
0.904041,0
0.514149,1
0.904041,0
0.830375,0
0.564536,1
0.851456,0
0.90649,0
0.851456,0
0.713318,1
0.586401,1
0.90649,0
0.890278,0
0.56312,1
0.9705,0
0.665438,1
0.479477,1
0.291061,1
0.36818,0
0.495613,0
0.794127,1
0.896556,0
0.809974,0
0.904041,0
0.499094,1
0.520204,1
0.919663,0
0.893727,0
0.542253,0
0.85651,1
0.522961,1
0.534417,1
0.936138,0
0.41486,1
0.875431,0
0.280207,1
0.927795,0
0.770638,0
0.791825,1
0.93324,0
0.773641,0
0.978681,0
-0.645821,0
0.882496,1
0.851456,1
0.81701,0
-0.067802,1
0.7377,1
0.925614,0
0.918204,0
0.889291,1
0.781064,0
0.863977,0
0.919663,0
0.730379,1
0.601309,1
0.898276,1
0.023589,1
0.315292,1
-0.187618,1
0.893421,1
0.87692,0
0.340787,1
0.821602,0
0.863977,1
0.842772,0
0.821602,0
0.529223,0
0.9339,1
0.405055,1
0.804713,0
0.882496,0
0.796743,1
0.710508,1
0.824276,0
0.30407,1
0.9705,0
0.93324,0
0.911745,0
0.600166,1
0.81629,1
0.479477,1
0.166502,1
0.053483,1
0.752788,0
0.614254,1
0.620044,1
0.804713,0
0.376339,0
0.847433,0
0.278286,1
0.050219,1
0.957394,0
0.775206,1
0.781324,0
0.643647,1
0.478253,1
0.896556,1
0.93324,0
0.957394,0
0.520881,0
0.927795,0
0.335952,1
0.936138,1
0.788719,0
0.732512,1
0.897185,1
0.875431,0
0.882249,0
0.064686,1
0.83949,1
0.927795,0
0.557968,1
0.715924,1
0.893727,0
0.859363,1
0.335952,1
0.867594,0
0.918204,0
0.893727,1
0.842772,0
0.84693,0
0.890278,0
0.9705,0
0.636517,0
0.818031,0
0.949132,1
0.870039,1
0.707307,0
0.270089,1
-0.81714,1
0.93324,0
0.795313,1
0.962526,0
0.751662,1
0.896556,1
0.9705,0
0.911745,0
0.885217,0
0.307135,1
0.94108,0
0.617794,1
0.912469,1
0.897294,1
0.788719,0
0.885217,0
0.788719,0
-1,1
0.800469,0
0.830375,0
0.730755,1
0.927795,0
