@relation 'Ant15BugsBinary-weka.filters.unsupervised.attribute.Remove-R1-3,5-18,29-30-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-unset-class-temporarily-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,1-weka.filters.supervised.instance.SMOTE-C0-K5-P77.0-S1-weka.filters.unsupervised.instance.Randomize-S42-weka.filters.unsupervised.attribute.Remove-R1-2,4-10'

@attribute 'd(WMC,FANIN)' numeric
@attribute #BugsBinary {0,1}

@data
0.959679,0
0.947787,0
0.833719,1
0.874902,0
0.951165,1
0.971336,0
0.943172,1
0.957327,0
0.886804,0
0.915401,1
0.97718,0
0.94655,0
0.928006,0
0.737339,1
0.719896,1
0.924094,0
0.77572,1
0.928662,1
0.883475,1
0.967977,0
0.987777,1
1,0
0.960728,0
0.99259,0
0.945467,1
0.963118,1
0.932096,1
0.983066,0
0.99259,0
0.971336,0
0.957327,0
0.788564,1
0.811424,0
0.93502,1
0.953493,1
0.928804,1
0.966595,0
0.99259,0
0.966595,0
0.868996,1
0.729535,1
0.940905,0
0.938663,1
0.971336,0
0.927,1
0.912508,0
0.927,0
0.929446,1
0.945467,1
0.967935,0
0.917703,0
0.916138,0
0.97483,0
0.960728,0
0.995035,1
0.283412,0
0.983066,0
0.955197,1
0.981957,0
0.968953,0
0.979555,0
0.947787,1
0.950407,1
0.979555,0
0.981124,1
0.970312,1
0.936512,1
0.965645,1
0.979555,0
0.985409,0
0.956977,0
0.973744,0
0.951903,1
0.979555,1
0.957327,1
0.934922,0
0.94449,1
-0.544807,1
0.940905,1
0.952505,1
0.995035,0
0.990171,0
0.952505,0
0.951425,1
0.925767,1
0.883522,1
-0.508113,1
0.725296,1
0.918607,1
0.936979,1
0.995035,0
0.945467,1
0.92834,1
1,0
0.753952,1
0.936458,1
0.951425,1
0.990171,1
0.97483,0
0.940383,1
0.957501,1
0.612105,0
0.995559,1
0.800812,1
0.92785,0
0.939551,1
0.899437,1
0.9452,1
0.903124,1
0.950133,1
0.990171,0
0.994371,1
0.990171,1
0.833013,1
0.945467,1
0.981957,0
0.989313,0
0.963468,0
0.958363,0
0.953711,1
0.926601,1
0.926788,1
0.919679,1
0.99259,1
0.719905,1
0.936151,1
0.97483,0
0.984383,0
0.995035,1
0.906159,0
0.858648,1
0.972506,0
0.932096,0
0.971336,0
0.990171,1
0.92408,1
0.958363,0
0.951579,0
0.981957,1
0.963468,1
0.959777,1
0.954903,0
0.997505,0
0.985409,0
