@relation 'ACPLocRfcCa-weka.filters.unsupervised.attribute.Remove-R1-2,5-30,32-weka.filters.unsupervised.attribute.NumericToBinary-R2-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,1-weka.filters.unsupervised.attribute.Remove-R6-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,1-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0'

@attribute 'd(RFC,d(LOC, Ca))' numeric
@attribute 'd(LOC,d(RFC, Ca))' numeric
@attribute 'd(LOC, RFC, Ca)' numeric
@attribute 'd(d(LOC,Ce),d(RFC, Ca))' numeric
@attribute #BugsBinary_binarized {0,1}

@data
-0.797883,0.729981,0.714486,-0.729175,1
-0.797883,0.729981,0.714486,-0.729175,1
-0.797883,0.729981,0.714486,-0.729175,1
-0.797883,0.729981,0.714486,-0.729175,1
-0.797883,0.729981,0.714486,-0.729175,1
-0.682718,0.620833,0.599486,-0.620023,1
-0.682718,0.620833,0.599486,-0.620023,1
-0.682718,0.620833,0.599486,-0.620023,1
-0.682718,0.620833,0.599486,-0.620023,1
-0.682718,0.620833,0.599486,-0.620023,1
-0.682718,0.620833,0.599486,-0.620023,1
-0.201725,0.17446,0.129193,-0.173241,1
-0.201725,0.17446,0.129193,-0.173241,1
-0.201725,0.17446,0.129193,-0.173241,1
-0.201725,0.17446,0.129193,-0.173241,1
-0.201725,0.17446,0.129193,-0.173241,1
0.169003,-0.156532,-0.230714,0.169493,1
0.169003,-0.156532,-0.230714,0.169493,1
0.169003,-0.156532,-0.230714,0.169493,1
0.169003,-0.156532,-0.230714,0.169493,1
0.169003,-0.156532,-0.230714,0.169493,1
-0.694025,0.630827,0.609865,-0.629862,1
-0.694025,0.630827,0.609865,-0.629862,1
-0.694025,0.630827,0.609865,-0.629862,1
-0.694025,0.630827,0.609865,-0.629862,1
-0.621783,0.563874,0.539567,-0.56312,1
-0.621783,0.563874,0.539567,-0.56312,1
-0.621783,0.563874,0.539567,-0.56312,1
-0.747842,0.68159,0.663412,-0.680669,1
-0.747842,0.68159,0.663412,-0.680669,1
-0.701569,0.640201,0.620443,-0.639903,1
-0.701569,0.640201,0.620443,-0.639903,1
-0.675757,0.612919,0.59044,-0.611297,1
-0.675757,0.612919,0.59044,-0.611297,1
-0.659571,0.597243,0.574002,-0.595746,1
-0.659571,0.597243,0.574002,-0.595746,1
-0.989537,0.96107,0.958788,-0.961119,1
-0.989537,0.96107,0.958788,-0.961119,1
-0.791039,0.724249,0.708688,-0.723696,1
-0.655328,0.594319,0.571258,-0.593203,1
-0.971831,0.92262,0.918135,-0.922517,1
-0.740622,0.675855,0.657606,-0.675208,1
-0.976134,0.93069,0.926665,-0.93061,1
-0.963838,0.905078,0.899337,-0.904485,1
-0.93789,0.876109,0.868962,-0.875823,1
-0.785615,0.721345,0.706082,-0.7212,1
-0.99241,0.968667,0.966772,-0.968644,1
-0.723877,0.659738,0.640516,-0.65898,1
-0.723877,0.659738,0.640516,-0.65898,1
-0.723877,0.659738,0.640516,-0.65898,1
-0.723877,0.659738,0.640516,-0.65898,1
-0.490697,0.444319,0.413559,-0.443491,1
-0.490697,0.444319,0.413559,-0.443491,1
-0.974656,0.921212,0.916413,-0.920691,1
-0.978039,0.933071,0.929044,-0.932781,1
