@relation 'Ant15BugsBinary-weka.filters.unsupervised.attribute.Remove-R1-2,5-18,29-30-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,1-weka.filters.unsupervised.attribute.Remove-R12-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,1-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-weka.filters.unsupervised.attribute.NumericToNominal-Rlast'

@attribute 'd(LOC,FANIN)' numeric
@attribute 'd(Qi,FANIN)' numeric
@attribute 'd(WMC,FANIN)' numeric
@attribute 'd( WMC,CBO)' numeric
@attribute 'd(Qi,CBO)' numeric
@attribute 'd(LOC, CBO)' numeric
@attribute 'd(LOC, Ce)' numeric
@attribute 'd(LOC, Ca)' numeric
@attribute 'd(WMC, Ce)' numeric
@attribute 'd(WMC, Ca)' numeric
@attribute #BugsBinary {0,1}

@data
0.713341,0.979779,0.936151,0.860055,0.927413,0.720033,0.729889,0.719977,0.596592,0.90306,1
0.713341,0.979779,0.936151,0.860055,0.927413,0.720033,0.729889,0.719977,0.596592,0.90306,1
0.713341,0.979779,0.936151,0.860055,0.927413,0.720033,0.729889,0.719977,0.596592,0.90306,1
0.713341,0.979779,0.936151,0.860055,0.927413,0.720033,0.729889,0.719977,0.596592,0.90306,1
0.713341,0.979779,0.936151,0.860055,0.927413,0.720033,0.729889,0.719977,0.596592,0.90306,1
0.597543,0.973046,0.919679,0.759105,0.844459,0.606712,0.620682,0.606816,0.44861,0.886191,1
0.597543,0.973046,0.919679,0.759105,0.844459,0.606712,0.620682,0.606816,0.44861,0.886191,1
0.597543,0.973046,0.919679,0.759105,0.844459,0.606712,0.620682,0.606816,0.44861,0.886191,1
0.597543,0.973046,0.919679,0.759105,0.844459,0.606712,0.620682,0.606816,0.44861,0.886191,1
0.597543,0.973046,0.919679,0.759105,0.844459,0.606712,0.620682,0.606816,0.44861,0.886191,1
0.597543,0.973046,0.919679,0.759105,0.844459,0.606712,0.620682,0.606816,0.44861,0.886191,1
0.124507,0.952836,0.870908,0.602044,0.740761,0.143813,0.173966,0.144114,0.107757,0.825776,1
0.124507,0.952836,0.870908,0.602044,0.740761,0.143813,0.173966,0.144114,0.107757,0.825776,1
0.124507,0.952836,0.870908,0.602044,0.740761,0.143813,0.173966,0.144114,0.107757,0.825776,1
0.124507,0.952836,0.870908,0.602044,0.740761,0.143813,0.173966,0.144114,0.107757,0.825776,1
0.124507,0.952836,0.870908,0.602044,0.740761,0.143813,0.173966,0.144114,0.107757,0.825776,1
-0.240257,0.023116,-0.357955,-1,-0.62802,-0.209416,-0.163999,-0.209933,-0.81714,-1,1
-0.240257,0.023116,-0.357955,-1,-0.62802,-0.209416,-0.163999,-0.209933,-0.81714,-1,1
-0.240257,0.023116,-0.357955,-1,-0.62802,-0.209416,-0.163999,-0.209933,-0.81714,-1,1
-0.240257,0.023116,-0.357955,-1,-0.62802,-0.209416,-0.163999,-0.209933,-0.81714,-1,1
-0.240257,0.023116,-0.357955,-1,-0.62802,-0.209416,-0.163999,-0.209933,-0.81714,-1,1
0.608067,0.966305,0.917461,0.792754,0.86519,0.617091,0.63065,0.617175,0.514149,0.90988,1
0.608067,0.966305,0.917461,0.792754,0.86519,0.617091,0.63065,0.617175,0.514149,0.90988,1
0.608067,0.966305,0.917461,0.792754,0.86519,0.617091,0.63065,0.617175,0.514149,0.90988,1
0.608067,0.966305,0.917461,0.792754,0.86519,0.617091,0.63065,0.617175,0.514149,0.90988,1
0.53708,0.959573,0.891505,0.703209,0.813353,0.54762,0.563707,0.547813,0.291061,0.873728,1
0.53708,0.959573,0.891505,0.703209,0.813353,0.54762,0.563707,0.547813,0.291061,0.873728,1
0.53708,0.959573,0.891505,0.703209,0.813353,0.54762,0.563707,0.547813,0.291061,0.873728,1
0.661959,0.97304,0.940905,0.782435,0.823706,0.669618,0.681432,0.669843,0.645738,0.951833,1
0.661959,0.97304,0.940905,0.782435,0.823706,0.669618,0.681432,0.669843,0.645738,0.951833,1
0.618174,0.97304,0.943172,0.890553,0.927408,0.627082,0.640165,0.627041,0.730379,0.956435,1
0.618174,0.97304,0.943172,0.890553,0.927408,0.627082,0.640165,0.627041,0.730379,0.956435,1
0.58886,0.95284,0.850551,0.556833,0.740772,0.598104,0.612594,0.598319,-0.187618,0.736793,1
0.58886,0.95284,0.850551,0.556833,0.740772,0.598104,0.612594,0.598319,-0.187618,0.736793,1
0.572298,0.959572,0.907088,0.757001,0.83409,0.582097,0.596941,0.582247,0.479477,0.905656,1
0.572298,0.959572,0.907088,0.757001,0.83409,0.582097,0.596941,0.582247,0.479477,0.905656,1
0.95855,0.97304,0.959777,0.964394,0.968889,0.959681,0.961072,0.959685,0.911745,0.98999,1
0.95855,0.97304,0.959777,0.964394,0.968889,0.959681,0.961072,0.959685,0.911745,0.98999,1
0.70726,0.973041,0.938663,0.839959,0.885928,0.714032,0.724172,0.714123,0.658656,0.94728,1
0.569322,0.966307,0.87837,0.668139,0.823716,0.57912,0.594093,0.579268,0.023589,0.817653,1
0.917893,0.999989,0.99259,0.943853,0.948149,0.919788,0.922614,0.919819,0.896556,0.98999,1
0.655919,0.973041,0.932096,0.826643,0.885927,0.663864,0.675756,0.663912,0.600166,0.922854,1
0.926347,0.979777,0.967977,0.933597,0.937778,0.928129,0.930681,0.928163,0.889291,0.979175,1
0.899258,0.999989,0.990171,0.908271,0.917038,0.901518,0.905041,0.90161,0.85359,0.985054,1
0.868537,0.999989,0.983066,0.904333,0.927408,0.871533,0.876087,0.871589,0.795313,0.97053,1
0.704362,0.993252,0.979555,0.872697,0.885927,0.711081,0.721324,0.711171,0.812279,0.980166,1
0.966752,0.999989,0.995035,0.948679,0.948149,0.967508,0.96866,0.96756,0.918204,0.994972,1
0.638766,0.966313,0.894492,0.756082,0.875582,0.647117,0.659616,0.647158,0.278286,0.85129,1
0.638766,0.966313,0.894492,0.756082,0.875582,0.647117,0.659616,0.647158,0.278286,0.85129,1
0.638766,0.966313,0.894492,0.756082,0.875582,0.647117,0.659616,0.647158,0.278286,0.85129,1
0.638766,0.966313,0.894492,0.756082,0.875582,0.647117,0.659616,0.647158,0.278286,0.85129,1
0.409468,0.831568,0.719896,0.516435,0.657802,0.423302,0.444123,0.423133,0.233232,0.553945,1
0.409468,0.831568,0.719896,0.516435,0.657802,0.423302,0.444123,0.423133,0.233232,0.553945,1
0.916237,0.973043,0.945467,0.874385,0.906674,0.918223,0.921177,0.918343,0.7377,0.961085,1
0.928794,0.966303,0.939551,0.889352,0.917038,0.930544,0.933065,0.930533,0.804713,0.911276,1
0.797545,0.912417,0.833013,0.78855,0.896325,0.802595,0.809623,0.802669,0.350412,0.873728,1
0.92829,0.966303,0.949122,0.928796,0.937778,0.930097,0.932579,0.930132,0.867594,0.974219,1
0.310037,0.851779,0.732078,0.629225,0.792613,0.326306,0.350126,0.326109,0.050219,0.673592,1
0.310037,0.851779,0.732078,0.629225,0.792613,0.326306,0.350126,0.326109,0.050219,0.673592,1
0.310037,0.851779,0.732078,0.629225,0.792613,0.326306,0.350126,0.326109,0.050219,0.673592,1
0.310037,0.851779,0.732078,0.629225,0.792613,0.326306,0.350126,0.326109,0.050219,0.673592,1
0.647841,0.885469,0.77572,0.287048,0.46078,0.655568,0.668599,0.655913,-0.067334,0.539647,1
0.647841,0.885469,0.77572,0.287048,0.46078,0.655568,0.668599,0.655913,-0.067334,0.539647,1
0.320218,0.797877,0.687329,0.589103,0.70964,0.336399,0.360103,0.336114,0.335952,0.596428,1
0.320218,0.797877,0.687329,0.589103,0.70964,0.336399,0.360103,0.336114,0.335952,0.596428,1
0.591001,0.973052,0.921682,0.773804,0.854845,0.600345,0.614511,0.600448,0.470429,0.901484,1
0.591001,0.973052,0.921682,0.773804,0.854845,0.600345,0.614511,0.600448,0.470429,0.901484,1
0.834217,0.986515,0.959679,0.859432,0.896297,0.838013,0.843802,0.838101,0.715924,0.945474,1
0.834217,0.986515,0.959679,0.859432,0.896297,0.838013,0.843802,0.838101,0.715924,0.945474,1
0.394353,0.973042,0.913832,0.641256,0.740747,0.407777,0.428882,0.407693,0.335952,0.717631,1
0.394353,0.973042,0.913832,0.641256,0.740747,0.407777,0.428882,0.407693,0.335952,0.717631,1
0.954556,0.979778,0.967977,0.964394,0.968889,0.955745,0.957285,0.95568,0.936138,0.957577,1
0.954556,0.979778,0.967977,0.964394,0.968889,0.955745,0.957285,0.95568,0.936138,0.957577,1
0.746488,0.966306,0.915399,0.809575,0.885934,0.752398,0.761219,0.752329,0.554308,0.838972,1
0.746488,0.966306,0.915399,0.809575,0.885934,0.752398,0.761219,0.752329,0.554308,0.838972,1
0.831624,0.973043,0.945467,0.92624,0.958525,0.835694,0.841445,0.835664,0.775206,0.961085,1
0.637843,0.979788,0.928006,0.811918,0.896322,0.646184,0.658671,0.646201,0.478253,0.897363,1
0.682636,0.979783,0.928006,0.79077,0.875571,0.689907,0.700929,0.689835,0.503322,0.830443,1
0.8174,0.858508,0.800812,0.803083,0.844446,0.822157,0.828637,0.822049,0.749489,0.798914,1
0.964127,0.979777,0.963118,0.934337,0.948149,0.965048,0.966286,0.965099,0.853339,0.980166,1
0.855649,0.946102,0.907887,0.813421,0.854842,0.859076,0.864214,0.859168,0.694173,0.897012,1
0.660116,0.831572,0.725296,0.666655,0.792623,0.668562,0.680476,0.668859,0.185082,0.870387,1
0.954677,0.696816,0.612105,0.504693,0.522967,0.956364,0.958706,0.956321,0.821602,0.485458,0
0.955024,0.97304,0.950133,0.914663,0.937778,0.95617,0.95776,0.956105,0.851456,0.905277,0
0.639689,0.952832,0.894707,0.80134,0.885934,0.648126,0.660563,0.648195,0.462879,0.908541,0
0.998453,0.993252,0.989313,0.953548,0.948149,0.998502,0.998576,0.998501,0.962526,0.967717,0
0.945488,0.979777,0.956024,0.94115,0.968889,0.94689,0.948737,0.946843,0.821602,0.943953,0
0.46977,0.467767,0.283412,0.424911,0.543742,0.484027,0.502957,0.484018,0.296723,0.522863,0
0.90001,0.952829,0.923087,0.87902,0.906669,0.90248,0.906,0.902501,0.788719,0.922159,0
0.915842,0.993252,0.972506,0.910044,0.937778,0.917798,0.920715,0.917828,0.788719,0.954864,0
0.989889,0.993252,0.986836,0.989717,0.98963,0.990227,0.99051,0.9902,0.949132,0.994972,0
0.994822,0.97304,0.952505,0.909019,0.927408,0.995015,0.995257,0.994991,0.863977,0.9102,0
0.810589,0.993254,0.946648,0.879497,0.958523,0.815034,0.821508,0.814996,0.542253,0.912643,0
0.93437,0.97304,0.943172,0.942598,0.97926,0.93609,0.93829,0.936061,0.770638,0.956435,0
0.994459,0.999989,0.995035,0.958923,0.958519,0.994588,0.994771,0.99463,0.925614,0.994972,0
0.986363,0.993259,0.984383,0.923351,0.927424,0.986651,0.987176,0.986688,0.904041,0.957577,0
0.898681,0.986519,0.966595,0.842556,0.865198,0.900915,0.904563,0.901025,0.781324,0.92699,0
0.766124,0.966305,0.939551,0.961931,0.989633,0.771825,0.779752,0.771668,0.830375,0.954864,0
0.930917,0.986515,0.971336,0.954961,0.968889,0.932624,0.934971,0.93257,0.885217,0.958461,0
0.546595,0.95284,0.828731,0.485097,0.720033,0.556738,0.572724,0.556886,-0.645821,0.642331,0
0.986118,0.946098,0.927,0.690769,0.68891,0.986183,0.987176,0.986212,0.904041,0.712411,0
0.860367,0.979777,0.956024,0.899693,0.927408,0.863662,0.868492,0.863715,0.773641,0.965784,0
0.899688,0.986519,0.966595,0.842556,0.865197,0.901899,0.905512,0.902009,0.781324,0.92699,0
0.962723,0.999989,0.985409,0.950312,0.968889,0.963617,0.964873,0.9636,0.855596,0.964446,0
0.999461,0.993252,0.989313,0.912756,0.906667,0.9994,0.999529,0.999378,0.9705,0.914125,0
0.947575,0.993252,0.984383,0.913115,0.917038,0.948747,0.950611,0.948857,0.875431,0.98999,0
0.815899,0.952829,0.923087,0.868697,0.896298,0.820304,0.826723,0.820313,0.781064,0.922159,0
0.376711,0.966312,0.917461,0.803257,0.875579,0.390939,0.412294,0.390928,0.520881,0.90988,0
0.891447,0.952829,0.925455,0.883702,0.906668,0.894117,0.89793,0.894135,0.81023,0.92699,0
0.955563,0.979778,0.960728,0.89872,0.917038,0.956618,0.958207,0.956732,0.809974,0.975324,0
0.955024,0.97304,0.947787,0.951536,0.979259,0.95626,0.957756,0.956217,0.821602,0.954864,0
0.767209,0.97978,0.924094,0.85711,0.948154,0.77271,0.780689,0.772627,0.489237,0.878067,0
0.927354,0.979778,0.958363,0.904333,0.927408,0.92909,0.931627,0.92917,0.795313,0.97053,0
0.578422,0.973041,0.917703,0.818501,0.906668,0.588181,0.602657,0.588122,0.456845,0.882103,0
0.364846,0.993252,0.97718,0.950312,0.96889,0.379416,0.400941,0.379158,0.847433,0.975324,0
0.900513,0.952829,0.925455,0.96645,0.98963,0.903155,0.906494,0.903063,0.851456,0.959631,0
0.868277,0.952829,0.925455,0.894013,0.917039,0.87151,0.876098,0.871495,0.818031,0.92699,0
0.908791,0.993256,0.972506,0.87902,0.906677,0.910843,0.91407,0.910868,0.788719,0.922159,0
0.941316,0.952829,0.92785,0.837131,0.854816,0.942713,0.944944,0.942642,0.872573,0.823936,0
0.96776,0.999989,0.987777,0.954961,0.968889,0.968536,0.96962,0.968522,0.87692,0.969309,0
0.985895,0.999989,0.995035,0.969178,0.968889,0.986247,0.986705,0.986263,0.93324,0.994972,0
0.923289,0.97304,0.957327,0.959655,0.968889,0.925245,0.927843,0.925233,0.890278,0.985054,0
0.994459,0.999989,0.995035,0.958923,0.958519,0.994588,0.994771,0.99463,0.925614,0.994972,0
0.925843,0.979777,0.958363,0.956075,0.979259,0.927728,0.930228,0.927648,0.851456,0.948741,0
0.979935,0.919143,0.886804,0.826902,0.844446,0.980577,0.981483,0.980587,0.847433,0.845438,0
0.972294,0.999989,0.995035,0.958923,0.958519,0.972942,0.973885,0.972974,0.925614,0.994972,0
0.937537,0.999989,0.99259,0.954119,0.958519,0.938997,0.941131,0.939014,0.904041,0.98999,0
0.93088,0.979778,0.960728,0.929647,0.948149,0.932579,0.934956,0.932615,0.83177,0.975324,0
0.802806,0.952829,0.916138,0.844494,0.885928,0.807491,0.814377,0.807518,0.70879,0.907958,0
0.975713,0.979777,0.965535,0.939073,0.948149,0.976363,0.977204,0.976419,0.874934,0.985054,0
0.950022,0.979777,0.963118,0.944645,0.958519,0.951295,0.952998,0.951318,0.860979,0.980166,0
0.987335,0.986515,0.976179,0.933597,0.937778,0.987657,0.988136,0.987629,0.927795,0.936019,0
0.694539,0.575551,0.415345,0.561401,0.67853,0.703238,0.714228,0.703095,0.376339,0.556126,0
0.810085,0.993252,0.972506,0.930772,0.958519,0.814543,0.821038,0.81448,0.804713,0.954864,0
0.952001,0.97304,0.952505,0.919328,0.937779,0.953219,0.95489,0.953287,0.824276,0.975324,0
0.990428,0.999989,0.99259,0.995278,1,0.990741,0.990988,0.990693,0.936138,0.98999,0
