@relation 'Ant15BugsBinary-weka.filters.unsupervised.attribute.Remove-R1-2,5-18,29-30-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,1-weka.filters.unsupervised.attribute.Remove-R12-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,1-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.unsupervised.attribute.Remove-R1-9'

@attribute 'd(WMC, Ca)' numeric
@attribute #BugsBinary {0,1}

@data
0.90306,1
0.90306,1
0.90306,1
0.90306,1
0.90306,1
0.886191,1
0.886191,1
0.886191,1
0.886191,1
0.886191,1
0.886191,1
0.825776,1
0.825776,1
0.825776,1
0.825776,1
0.825776,1
-1,1
-1,1
-1,1
-1,1
-1,1
0.90988,1
0.90988,1
0.90988,1
0.90988,1
0.873728,1
0.873728,1
0.873728,1
0.951833,1
0.951833,1
0.956435,1
0.956435,1
0.736793,1
0.736793,1
0.905656,1
0.905656,1
0.98999,1
0.98999,1
0.94728,1
0.817653,1
0.98999,1
0.922854,1
0.979175,1
0.985054,1
0.97053,1
0.980166,1
0.994972,1
0.85129,1
0.85129,1
0.85129,1
0.85129,1
0.553945,1
0.553945,1
0.961085,1
0.911276,1
0.873728,1
0.974219,1
0.673592,1
0.673592,1
0.673592,1
0.673592,1
0.539647,1
0.539647,1
0.596428,1
0.596428,1
0.901484,1
0.901484,1
0.945474,1
0.945474,1
0.717631,1
0.717631,1
0.957577,1
0.957577,1
0.838972,1
0.838972,1
0.961085,1
0.897363,1
0.830443,1
0.798914,1
0.980166,1
0.897012,1
0.870387,1
0.485458,0
0.905277,0
0.908541,0
0.967717,0
0.943953,0
0.522863,0
0.922159,0
0.954864,0
0.994972,0
0.9102,0
0.912643,0
0.956435,0
0.994972,0
0.957577,0
0.92699,0
0.954864,0
0.958461,0
0.642331,0
0.712411,0
0.965784,0
0.92699,0
0.964446,0
0.914125,0
0.98999,0
0.922159,0
0.90988,0
0.92699,0
0.975324,0
0.954864,0
0.878067,0
0.97053,0
0.882103,0
0.975324,0
0.959631,0
0.92699,0
0.922159,0
0.823936,0
0.969309,0
0.994972,0
0.985054,0
0.994972,0
0.948741,0
0.845438,0
0.994972,0
0.98999,0
0.975324,0
0.907958,0
0.985054,0
0.980166,0
0.936019,0
0.556126,0
0.954864,0
0.975324,0
0.98999,0
0.975324,0
0.905656,1
0.905656,1
0.905656,1
0.905656,1
0.762185,1
0.762185,1
0.762185,1
0.832939,1
0.832939,1
0.832939,1
0.943953,1
0.943953,1
0.839901,1
0.839901,1
0.961085,1
0.961085,1
0.918479,1
0.918479,1
0.863188,1
0.863188,1
0.937861,1
0.956435,1
0.989229,1
0.918479,1
0.979175,1
0.92829,1
0.946248,1
0.821401,1
0.975324,1
0.994972,1
0.907405,1
0.974219,1
0.934521,1
0.974219,1
0.9118,1
0.889275,1
0.925255,1
0.933916,1
0.933916,1
0.97053,1
0.727752,1
0.953578,1
0.914503,1
0.880896,1
0.909734,1
0.909734,1
0.909734,1
0.88528,1
0.88528,1
0.936278,1
0.936278,1
0.827885,1
0.827885,1
0.965784,1
0.965784,1
0.72621,1
0.72621,1
0.984179,1
0.803818,1
0.940851,1
0.953578,1
0.921001,1
0.921001,1
0.921001,1
0.681315,1
0.681315,1
0.681315,1
0.853317,1
0.853317,1
0.853317,1
0.918914,1
0.918914,1
0.969309,1
0.969309,1
0.877536,1
0.877536,1
0.950144,1
0.950144,1
0.950144,1
0.877536,1
0.877536,1
0.975324,1
0.912643,1
0.936278,1
-0.29211,1
0.974219,1
0.985054,1
0.931869,1
0.963393,1
0.9118,1
0.974219,1
0.92829,1
0.907958,1
0.984179,1
0.262542,1
0.974219,1
0.873817,1
0.883604,0
0.861288,0
0.922854,0
0.963393,0
0.918914,0
0.959631,0
0.984179,0
0.754457,0
0.760573,0
0.98999,0
0.979175,0
0.959631,0
0.88528,0
0.936019,0
0.989229,0
0.979175,0
0.954864,0
0.952577,0
0.984179,0
0.978468,0
0.965784,0
0.97053,0
0.975324,0
0.964446,0
0.984179,0
0.917377,0
-0.607253,0
0.958461,0
0.985054,0
0.786348,0
0.954864,0
0.978468,0
0.994325,0
0.854955,0
0.853317,0
0.925978,0
0.979175,0
0.936019,0
0.883604,0
0.92829,0
0.98999,0
0.954864,0
-0.007364,0
0.994325,0
0.886191,0
0.860813,0
0.952577,0
0.937861,0
0.931869,0
0.954864,0
0.989229,0
0.974219,0
0.945474,0
0.994972,0
0.938321,0
0.959631,0
0.956977,0
0.935529,0
0.818379,0
0.974219,0
0.975324,0
0.98999,0
0.941771,0
0.964446,0
0.936278,0
0.959631,0
0.883398,0
0.965784,0
0.930975,0
0.967717,0
0.959631,0
0.974219,0
0.979175,0
0.968371,0
0.925978,0
0.934521,0
0.968371,0
0.844122,0
0.979175,0
1,0
0.974219,0
0.985054,0
0.984179,0
0.979175,0
0.701362,0
0.968371,0
0.964446,0
0.984179,0
0.94111,0
0.945474,0
0.980166,0
0.969309,0
0.946793,0
0.984179,0
