@relation 'ALLModels-weka.filters.unsupervised.attribute.Remove-R1-2,5-37,39-weka.filters.unsupervised.attribute.Reorder-R2,3,1'

@attribute #BugsBinary numeric
@attribute 'D(d(LOC,RFC), d(LOC,Ca), d(RFC, Ca))' numeric
@attribute #Bugs numeric

@data
1,4505982.036,5
1,4505982.036,5
1,4505982.036,5
1,4505982.036,5
1,4505982.036,5
1,6143594.052,6
1,6143594.052,6
1,6143594.052,6
1,6143594.052,6
1,6143594.052,6
1,6143594.052,6
1,11741658.13,5
1,11741658.13,5
1,11741658.13,5
1,11741658.13,5
1,11741658.13,5
1,14800484.21,5
1,14800484.21,5
1,14800484.21,5
1,14800484.21,5
1,14800484.21,5
1,5998470.051,4
1,5998470.051,4
1,5998470.051,4
1,5998470.051,4
1,6955998.061,3
1,6955998.061,3
1,6955998.061,3
1,5245290.043,2
1,5245290.043,2
1,5859401.049,2
1,5859401.049,2
1,6260460.054,2
1,6260460.054,2
1,6485628.056,2
1,6485628.056,2
1,689306.0049,2
1,689306.0049,2
1,4594031.037,1
1,6526314.056,1
1,1356999.01,1
1,5330887.044,1
1,1217953.009,1
1,1657639.012,1
1,2147283.016,1
1,4637933.037,1
1,555866.004,1
1,5571884.046,4
1,5571884.046,4
1,5571884.046,4
1,5571884.046,4
1,8568274.08,2
1,8568274.08,2
1,1381486.01,1
1,1176949.009,1
1,3242947.025,1
1,1185154.009,1
1,9746026.096,4
1,9746026.096,4
1,9746026.096,4
1,9746026.096,4
1,5437522.046,2
1,5437522.046,2
1,9624840.095,2
1,9624840.095,2
1,6232979.053,2
1,6232979.053,2
1,2684358.02,2
1,2684358.02,2
1,8763933.083,2
1,8763933.083,2
1,755832.0054,2
1,755832.0054,2
1,4016516.032,2
1,4016516.032,2
1,2723477.021,1
1,5585993.046,1
1,4950602.04,1
1,2933873.022,1
1,597620.0043,1
1,2345812.018,1
1,5259598.043,1
0,730901.0064,0
0,747519.0054,0
0,5557751.046,0
0,25456.00027,0
0,905058.0065,0
0,7790823.071,0
0,1641443.012,0
0,1389633.01,0
0,169366.0012,0
0,84786.00097,0
0,3050154.023,0
0,1086560.008,0
0,93251.00067,0
0,228455.0017,0
0,1665712.012,0
0,3723176.029,0
0,1144102.008,0
0,6829316.06,0
0,228455.0028,0
0,2274484.017,0
0,1649536.012,0
0,622647.0044,0
0,8488.0018,0
0,871958.0063,0
0,2964923.023,0
0,8975582.085,0
0,1778723.013,0
0,739219.0053,0
0,747532.0054,0
0,3708080.029,0
0,1201557.009,0
0,6403979.055,0
0,9119242.087,0
0,1633347.012,0
0,2147273.016,0
0,1503598.011,0
0,971176.0073,0
0,539145.0038,0
0,236888.0017,0
0,1267089.009,0
0,93251.00067,0
0,1226135.009,0
0,329519.0026,0
0,463827.0033,0
0,1037156.007,0
0,1144109.008,0
0,3165965.024,0
0,405129.0029,0
0,830528.006,0
0,211581.0016,0
0,4747429.039,0
0,3057886.023,0
0,797351.0057,0
0,160918.0012,0
0,4076280.032,0
1,11641063.13,4
1,11641063.13,4
1,11641063.13,4
1,11641063.13,4
1,5508325.046,3
1,5508325.046,3
1,5508325.046,3
1,3813778.03,3
1,3813778.03,3
1,3813778.03,3
1,1209756.009,2
1,1209756.009,2
1,4783847.039,2
1,4783847.039,2
1,1770670.013,2
1,1770670.013,2
1,2949411.022,2
1,2949411.022,2
1,2723474.021,2
1,2723474.021,2
1,447066.0032,1
1,1947508.014,1
1,33938.00026,1
1,3843888.03,1
1,1641458.012,1
1,1176947.009,1
1,42417.00051,1
1,5949876.05,1
1,1955521.014,1
1,84785.00063,1
1,5852423.049,1
1,1086547.008,1
1,1348836.01,1
1,1617158.012,1
1,1576649.012,1
1,5223833.043,1
1,2440677.018,1
1,4834705.039,2
1,4834705.039,2
1,1250732.009,1
1,2472256.019,1
1,572571.0041,1
1,2171160.016,1
1,8611261.081,1
1,3419179.026,3
1,3419179.026,3
1,3419179.026,3
1,3042431.023,2
1,3042431.023,2
1,3738299.029,2
1,3738299.029,2
1,6822603.059,2
1,6822603.059,2
1,938129.0067,2
1,938129.0067,2
1,3096541.024,2
1,3096541.024,2
1,2043546.015,1
1,1242532.009,1
1,2590244.019,1
1,1094781.008,1
1,3692936.029,3
1,3692936.029,3
1,3692936.029,3
1,13829724.17,3
1,13829724.17,3
1,13829724.17,3
1,1576652.012,3
1,1576652.012,3
1,1576652.012,3
1,2550946.019,2
1,2550946.019,2
1,1111239.008,2
1,1111239.008,2
1,6701856.058,2
1,6701856.058,2
1,3670220.029,3
1,3670220.029,3
1,3670220.029,3
1,4284565.034,2
1,4284565.034,2
1,1786784.013,1
1,2027568.015,1
1,2519477.019,1
1,2099452.018,1
1,1446659.011,1
1,797351.0057,1
1,1907391.014,1
1,764148.0056,1
1,3632319.028,1
1,505693.0036,1
1,2535218.019,1
1,1397790.01,1
1,371550.0027,1
1,580921.0064,1
1,780745.0056,1
1,2361650.018,1
0,59374.00127,0
0,42420.00161,0
0,3518324.027,0
0,522423.0037,0
0,5628201.047,0
0,946393.0068,0
0,1103012.008,0
0,363143.0031,0
0,1217956.009,0
0,747530.0054,0
0,1226153.009,0
0,1053630.008,0
0,1127684.008,0
0,438686.0033,0
0,50895.0004,0
0,279022.002,0
0,1487340.011,0
0,33940.00051,0
0,135556.001,0
0,13259137.16,0
0,2574532.019,0
0,1152317.008,0
0,630989.0045,0
0,455447.0033,0
0,279024.002,0
0,871960.0064,0
0,1275281.014,0
0,329518.0024,0
0,497327.0036,0
0,25458.00413,0
0,1365162.01,0
0,8488.000176,0
0,203136.0014,0
0,4491273.036,0
0,813942.006,0
0,270599.002,0
0,780754.0056,0
0,396736.0029,0
0,772447.0057,0
0,739218.0054,0
0,564217.004,0
0,2250650.017,0
0,279022.0087,0
0,59367.00041,0
0,4856442.039,0
0,8488.004518,0
0,203141.0015,0
0,929869.0068,0
0,50898.00077,0
0,1357000.01,0
0,8488.000086,0
0,730900.0052,0
0,2995953.023,0
0,59370.00042,0
0,3265969.025,0
0,1250722.009,0
0,8488.000513,0
0,8488.001055,0
0,8488.007543,0
0,1617161.012,0
0,363143.0026,0
0,871955.0063,0
0,697630.0051,0
0,379950.0028,0
0,1299814.009,0
0,2337874.017,0
0,160930.0018,0
0,2314131.017,0
0,152465.0012,0
0,8488.000319,0
0,896784.0065,0
0,589272.0042,0
0,245318.0018,0
0,1625249.012,0
0,580924.0042,0
0,1381483.01,0
0,25458.00034,0
0,13038676.15,0
0,1267094.009,0
0,33938.00023,0
0,597619.0043,0
0,589275.0042,0
0,279023.002,0
0,245318.0018,0
0,455447.004,0
0,270600.002,0
0,797356.0058,0
0,555865.004,0
0,262176.002,0
0,639325.0046,0
0,2059537.015,0
0,253746.0018,0
0,438686.0033,0
0,16974.00018,0
0,4299365.034,0
0,312698.0024,0
0,2250654.017,0
0,888512.0064,0
0,186259.0016,0
0,18011579.46,0
0,1209768.009,0
0,1544202.011,0
0,169367.0013,0
0,337932.0025,0
0,194702.0014,0
0,5230984.043,0
0,16974.00036,0
0,921603.0068,0
0,194702.0014,0
0,4024013.032,0
0,680976.0048,0
0,822231.0059,0
0,2519463.019,0
0,905059.0065,0
0,1397780.01,0
0,169367.0013,0
0,8488.005205,0
0,0.666641,0
0,33939.0003,0
0,33940.00061,0
0,438686.0033,0
0,739214.0053,0
0,388348.0029,0
0,1201556.009,0
0,135557.001,0
0,1258907.009,0
0,1487351.011,0
0,118650.0016,0
0,169364.0012,0
0,913326.0066,0
0,8013300.073,0
0,929867.0068,0
