@relation 'ALLModels-weka.filters.unsupervised.attribute.Remove-R1-2,29-30-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,1-weka.filters.unsupervised.attribute.Remove-R1-7,36-37-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28-weka.filters.unsupervised.attribute.NumericToBinary-Rlast-weka.filters.unsupervised.attribute.NumericToBinary-Rlast-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-weka.filters.unsupervised.attribute.Remove-R1-14,16-27'

@attribute 'd(LOC, Ce)' numeric
@attribute #Hbugs_binarized {0,1}

@data
0.729889,1
0.620682,1
0.173966,1
-0.163999,1
0.63065,1
0.563707,1
0.681432,1
0.640165,1
0.612594,1
0.596941,1
0.961072,1
0.724172,1
0.594093,1
0.922614,1
0.675756,1
0.930681,1
0.905041,1
0.876087,1
0.721324,1
0.96866,1
0.659616,1
0.444123,1
0.921177,1
0.933065,1
0.809623,0
0.932579,0
0.350126,0
0.668599,0
0.360103,0
0.614511,0
0.843802,0
0.428882,0
0.957285,0
0.761219,0
0.841445,0
0.658671,0
0.700929,0
0.828637,0
0.966286,0
0.864214,0
0.680476,0
0.958706,0
0.95776,0
0.660563,0
0.998576,0
0.948737,0
0.502957,0
0.906,0
0.920715,0
0.99051,0
0.995257,0
0.821508,0
0.93829,0
0.994771,0
0.987176,0
0.904563,0
0.779752,0
0.934971,0
0.572724,0
0.987176,0
0.868492,0
0.905512,0
0.964873,0
0.999529,0
0.950611,0
0.826723,0
0.412294,0
0.89793,0
0.958207,0
0.957756,0
0.780689,0
0.931627,0
0.602657,0
0.400941,0
0.906494,0
0.876098,0
0.91407,0
0.944944,0
0.96962,0
0.986705,0
0.927843,0
0.994771,0
0.930228,0
0.981483,0
0.973885,0
0.941131,0
0.934956,0
0.814377,0
0.977204,0
0.952998,0
0.988136,0
0.714228,0
0.821038,0
0.95489,0
0.990988,0
0.757404,0
0.183493,1
0.663862,1
0.774028,1
0.931166,1
0.711818,1
0.898392,1
0.827676,1
0.841435,1
0.974849,1
0.887942,1
0.998105,1
0.77211,1
0.906,1
0.933068,1
0.997634,1
0.634015,1
0.887487,1
0.995257,1
0.640608,1
0.93829,1
0.923089,1
0.907402,1
0.909801,1
0.682867,1
0.858501,1
0.708504,1
0.928772,1
0.856585,1
0.967725,1
0.874674,1
0.440814,1
0.798702,0
0.821957,0
0.77879,0
0.573206,0
0.946827,0
0.818656,0
0.882255,0
0.929271,0
0.849486,0
0.937819,0
0.781613,0
-0.043941,0
0.909801,0
0.8519,0
0.936839,0
0.581743,0
0.783037,0
0.744119,0
0.897442,0
0.883193,0
0.853784,0
0.878936,0
0.917404,0
0.954893,0
0.890339,0
0.956796,0
0.785417,0
0.971515,0
0.852812,0
0.920228,0
0.979103,0
0.967254,0
0.955861,0
0.863274,0
0.996681,0
0.997634,0
0.79256,0
0.970565,0
0.655859,0
0.946352,0
0.93732,0
0.979596,0
0.930688,0
0.957742,0
0.930199,0
0.940181,0
0.93587,0
0.975316,0
0.997159,0
0.984331,0
0.915009,0
0.998094,0
0.992401,0
0.020278,0
0.850444,0
0.934478,0
0.964387,0
0.97437,0
0.984325,0
0.950615,0
0.927376,0
0.981495,0
0.971986,0
0.998584,0
0.92214,0
0.999533,0
0.988615,0
0.730847,0
0.953948,0
0.984818,0
0.955839,0
0.977689,0
0.956332,0
0.958231,0
0.968199,0
0.869943,0
0.984339,0
0.996685,0
0.707125,0
0.999533,0
0.988611,0
0.947313,0
0.997156,0
0.922621,0
0.999529,0
0.958698,0
0.824824,0
0.996685,0
0.808203,0
0.928789,0
0.999529,0
0.999525,0
0.999529,0
0.907411,0
0.979592,0
0.950628,0
0.960601,0
0.978647,0
0.925948,0
0.864705,0
0.99094,0
0.866137,0
0.991448,0
0.999529,0
0.949201,0
0.966768,0
0.986227,0
0.906964,0
0.96725,0
0.921183,0
0.99858,0
0.043996,0
0.927829,0
0.998105,0
0.966286,0
0.966764,0
0.984331,0
0.98623,0
0.974367,0
0.984814,0
0.954887,0
0.968656,0
0.985277,0
0.963923,0
0.881316,0
0.985767,0
0.975316,0
0.999054,0
0.743193,0
0.982433,0
0.869939,0
0.94969,0
0.989553,0
-1,0
0.931146,0
0.911696,0
0.99051,0
0.981005,0
0.989078,0
0.682409,0
0.999051,0
0.947742,0
0.989078,0
0.76071,0
0.961558,0
0.953488,0
0.853795,0
0.948741,0
0.920252,0
0.990514,0
0.999529,0
1,0
0.998109,0
0.998105,0
0.975316,0
0.958213,0
0.97815,0
0.931637,0
0.992409,0
0.928304,0
0.914982,0
0.993362,0
0.990514,0
0.948255,0
0.486398,0
0.947309,0
