@relation 'ALLModels-weka.filters.unsupervised.attribute.Remove-R1-2,29-30-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,1-weka.filters.unsupervised.attribute.Remove-R1-7,36-37-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28-weka.filters.unsupervised.attribute.NumericToBinary-Rlast-weka.filters.unsupervised.attribute.NumericToBinary-Rlast-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-weka.filters.unsupervised.attribute.Remove-R1-16,18-27'

@attribute 'd(WMC, Ce)' numeric
@attribute #Hbugs_binarized {0,1}

@data
0.596592,1
0.44861,1
0.107757,1
-0.81714,1
0.514149,1
0.291061,1
0.645738,1
0.730379,1
-0.187618,1
0.479477,1
0.911745,1
0.658656,1
0.023589,1
0.896556,1
0.600166,1
0.889291,1
0.85359,1
0.795313,1
0.812279,1
0.918204,1
0.278286,1
0.233232,1
0.7377,1
0.804713,1
0.350412,0
0.867594,0
0.050219,0
-0.067334,0
0.335952,0
0.470429,0
0.715924,0
0.335952,0
0.936138,0
0.554308,0
0.775206,0
0.478253,0
0.503322,0
0.749489,0
0.853339,0
0.694173,0
0.185082,0
0.821602,0
0.851456,0
0.462879,0
0.962526,0
0.821602,0
0.296723,0
0.788719,0
0.788719,0
0.949132,0
0.863977,0
0.542253,0
0.770638,0
0.925614,0
0.904041,0
0.781324,0
0.830375,0
0.885217,0
-0.645821,0
0.904041,0
0.773641,0
0.781324,0
0.855596,0
0.9705,0
0.875431,0
0.781064,0
0.520881,0
0.81023,0
0.809974,0
0.821602,0
0.489237,0
0.795313,0
0.456845,0
0.847433,0
0.851456,0
0.818031,0
0.788719,0
0.872573,0
0.87692,0
0.93324,0
0.890278,0
0.925614,0
0.851456,0
0.847433,0
0.925614,0
0.904041,0
0.83177,0
0.70879,0
0.874934,0
0.860979,0
0.927795,0
0.376339,0
0.804713,0
0.824276,0
0.936138,0
0.796603,0
0.499094,1
0.340787,1
0.665702,1
0.804713,1
0.30407,1
0.7377,1
0.617794,1
0.601309,1
0.851456,1
0.702442,1
0.9705,1
0.557968,1
0.896556,1
0.791825,1
0.978681,1
0.316631,1
0.83177,1
0.949132,1
0.534417,1
0.898276,1
0.745787,1
0.828344,1
0.647549,1
0.405055,1
0.523567,1
0.586401,1
0.781324,1
0.053483,1
0.863977,1
0.904041,1
0.614254,1
0.643647,0
0.564536,0
0.719682,0
0.479477,0
0.796603,0
0.491213,0
0.897294,0
0.770638,0
0.667907,0
0.863977,0
0.535158,0
-1,0
0.732512,0
0.758317,0
0.818542,0
0.307135,0
0.730912,0
0.380241,0
0.803171,0
0.696074,0
0.702984,0
0.452344,0
0.898276,0
0.874934,0
0.83949,0
0.882496,0
0.614963,0
0.890278,0
0.718072,0
0.694173,0
0.918204,0
0.893727,0
0.914916,0
0.7595,0
0.842772,0
0.893727,0
0.665288,0
0.890278,0
0.767369,0
0.818031,0
0.897294,0
0.851456,0
0.753842,0
0.896556,0
0.875431,0
0.818031,0
0.529223,0
0.919663,0
0.978681,0
0.911745,0
0.766452,0
0.882496,0
0.93324,0
0.978681,0
0.752788,0
0.802656,0
0.83177,0
0.863977,0
0.918204,0
0.751996,0
0.695395,0
0.893727,0
0.882496,0
0.936138,0
0.788719,0
0.978681,0
1,0
0.366216,0
0.732512,0
0.893727,0
0.889291,0
0.919663,0
0.842772,0
0.800469,0
0.927795,0
0.830375,0
0.885217,0
1,0
0.560306,0
0.978681,0
0.90649,0
0.842772,0
0.863977,0
0.804713,0
0.9705,0
0.890278,0
0.737966,0
0.957394,0
0.636517,0
0.818031,0
0.9705,0
0.962526,0
0.9705,0
0.84693,0
0.863977,0
0.911745,0
0.898276,0
0.872573,0
0.728378,0
0.818031,0
0.473502,0
0.813047,0
0.882496,0
0.9705,0
0.818031,0
0.890278,0
0.904041,0
0.927795,0
0.885217,0
0.730379,0
0.927795,0
0.316631,0
0.882249,0
0.9705,0
0.874934,0
0.882496,0
0.93324,0
0.911745,0
0.87692,0
0.927795,0
0.81701,0
0.911012,0
0.925614,0
0.770638,0
0.853339,0
0.893727,0
0.919663,0
0.949132,0
0.644344,0
0.911745,0
0.927795,0
0.893727,0
0.890278,0
0.274641,0
0.715924,0
0.918204,0
0.90649,0
0.904041,0
0.93324,0
0.486345,0
0.94108,0
0.495613,0
0.93324,0
0.562057,0
0.893727,0
0.851456,0
0.707307,0
0.893727,0
0.87692,0
0.957394,0
0.9705,0
0.984001,0
0.936138,0
0.90649,0
0.919663,0
0.889291,0
0.867594,0
0.860979,0
0.90649,0
0.882249,0
0.36818,0
0.704741,0
0.936138,0
0.890278,0
0.851456,0
0.707307,0
