@relation 'ALLModels-weka.filters.unsupervised.attribute.Remove-R1-10,29-30,42-43,46-weka.filters.unsupervised.attribute.Remove-R30-31-weka.filters.unsupervised.attribute.NumericToBinary-Rlast-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-weka.filters.unsupervised.attribute.Remove-R1-24,26-28'

@attribute 'd(d(LOC,WMC),d(RFC, Ca))' numeric
@attribute #Hbugs_binarized {0,1}

@data
-0.727376,1
-0.617551,1
-0.167966,1
0.177244,1
-0.627479,1
-0.560258,1
-0.678676,1
-0.637645,1
-0.608579,1
-0.593152,1
-0.960857,1
-0.721935,1
-0.590413,1
-0.922029,1
-0.67312,1
-0.930174,1
-0.903887,1
-0.875018,1
-0.719499,1
-0.968445,1
-0.656655,1
-0.439797,1
-0.920146,1
-0.932298,1
-0.80752,0
-0.932027,0
-0.344837,0
-0.66402,0
-0.354589,0
-0.61167,0
-0.842288,0
-0.424671,0
-0.957027,0
-0.758852,0
-0.840128,0
-0.655709,0
-0.698357,0
-0.827269,0
-0.966094,0
-0.862789,0
-0.677092,0
-0.954767,0
-0.957509,0
-0.65812,0
-0.998567,0
-0.948234,0
-0.498203,0
-0.905242,0
-0.919971,0
-0.990579,0
-0.994212,0
-0.820003,0
-0.937777,0
-0.994932,0
-0.986934,0
-0.90376,0
-0.778205,0
-0.934596,0
-0.568193,0
-0.983564,0
-0.86737,0
-0.904711,0
-0.964703,0
-0.997702,0
-0.950082,0
-0.825578,0
-0.408269,0
-0.897005,0
-0.957761,0
-0.95711,0
-0.778289,0
-0.931119,0
-0.599268,0
-0.397448,0
-0.905899,0
-0.875187,0
-0.913004,0
-0.94343,0
-0.969536,0
-0.986694,0
-0.927463,0
-0.994932,0
-0.929967,0
-0.980583,0
-0.973743,0
-0.940694,0
-0.934418,0
-0.812933,0
-0.977177,0
-0.952653,0
-0.987872,0
-0.711071,0
-0.819686,0
-0.95458,0
-0.990964,0
-0.755947,0
-0.178042,1
-0.660488,1
-0.771477,1
-0.930564,1
-0.708915,1
-0.897397,1
-0.826348,1
-0.83996,1
-0.974535,1
-0.88687,1
-0.998271,1
-0.770333,1
-0.90484,1
-0.932453,1
-0.997205,1
-0.631008,1
-0.886501,1
-0.995309,1
-0.638098,1
-0.938137,1
-0.922362,1
-0.9068,1
-0.908839,1
-0.680168,1
-0.856624,1
-0.706079,1
-0.927822,1
-0.852579,1
-0.967511,1
-0.873773,1
-0.436864,1
-0.797102,0
-0.819974,0
-0.777064,0
-0.569589,0
-0.946453,0
-0.816362,0
-0.881508,0
-0.928115,0
-0.848277,0
-0.937471,0
-0.77968,0
0.051782,0
-0.908431,0
-0.85068,0
-0.936203,0
-0.578346,0
-0.78124,0
-0.742002,0
-0.896546,0
-0.88197,0
-0.852551,0
-0.870374,0
-0.91679,0
-0.9546,0
-0.889533,0
-0.95615,0
-0.783678,0
-0.971261,0
-0.851538,0
-0.919172,0
-0.978719,0
-0.959926,0
-0.95572,0
-0.861332,0
-0.994492,0
-0.994798,0
-0.791066,0
-0.97037,0
-0.653795,0
-0.945913,0
-0.936869,0
-0.977897,0
-0.929106,0
-0.957318,0
-0.929506,0
-0.939741,0
-0.934755,0
-0.974685,0
-0.997252,0
-0.984334,0
-0.914163,0
-0.997482,0
-0.992526,0
-0.014696,0
-0.849288,0
-0.934098,0
-0.964146,0
-0.974179,0
-0.984221,0
-0.94969,0
-0.913133,0
-0.981433,0
-0.971612,0
-0.993467,0
-0.921395,0
-0.999486,0
-0.988856,0
-0.728343,0
-0.953218,0
-0.984529,0
-0.955379,0
-0.9774,0
-0.955664,0
-0.95763,0
-0.968129,0
-0.869276,0
-0.967724,0
-0.996975,0
-0.705157,0
-0.996166,0
-0.988565,0
-0.946586,0
-0.996065,0
-0.921907,0
-0.999715,0
-0.958475,0
-0.823402,0
-0.996874,0
-0.806907,0
-0.928199,0
-0.99892,0
-0.998316,0
-0.994947,0
-0.906709,0
-0.97957,0
-0.95022,0
-0.960148,0
-0.978136,0
-0.925301,0
-0.863963,0
-0.988544,0
-0.864932,0
-0.991157,0
-0.999212,0
-0.948799,0
-0.96658,0
-0.986219,0
-0.906464,0
-0.966794,0
-0.920177,0
-0.998304,0
-0.037968,0
-0.927289,0
-0.998359,0
-0.966106,0
-0.966485,0
-0.984286,0
-0.986219,0
-0.971922,0
-0.984684,0
-0.954302,0
-0.968447,0
-0.984833,0
-0.963636,0
-0.880235,0
-0.985784,0
-0.974763,0
-0.999112,0
-0.741439,0
-0.981964,0
-0.869284,0
-0.949164,0
-0.988628,0
1,0
-0.930105,0
-0.910903,0
-0.990413,0
-0.980725,0
-0.989039,0
-0.679738,0
-0.998654,0
-0.946792,0
-0.989039,0
-0.758224,0
-0.961451,0
-0.953282,0
-0.85262,0
-0.948262,0
-0.919726,0
-0.990432,0
-0.99586,0
-1,0
-0.998105,0
-0.997242,0
-0.974685,0
-0.957972,0
-0.977688,0
-0.931172,0
-0.992266,0
-0.927832,0
-0.913251,0
-0.991089,0
-0.990673,0
-0.947953,0
-0.483468,0
-0.946426,0
