@relation 'ALLModels-weka.filters.unsupervised.attribute.Remove-R1-2,29-30-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,1-weka.filters.unsupervised.attribute.Remove-R1-7,36-37-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28-weka.filters.unsupervised.attribute.NumericToBinary-Rlast-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-weka.filters.unsupervised.attribute.Remove-R1-21,23-27'

@attribute 'd(LOC, RFC, Ca)' numeric
@attribute #Hbugs_binarized {0,1}

@data
0.798567,0
0.928637,0
0.314186,0
0.648961,0
0.324252,0
0.593348,0
0.834766,0
0.397653,0
0.954776,0
0.747494,0
0.832424,0
0.639451,0
0.684098,0
0.818965,0
0.964301,0
0.856279,0
0.662079,0
0.955377,0
0.955304,0
0.642003,0
0.998456,0
0.945674,0
0.474694,0
0.900601,0
0.91607,0
0.989917,0
0.994773,0
0.811445,0
0.934695,0
0.994457,0
0.986308,0
0.899057,0
0.767557,0
0.931274,0
0.548286,0
0.985825,0
0.860955,0
0.900055,0
0.962829,0
0.999344,0
0.947623,0
0.817157,0
0.380565,0
0.892002,0
0.955676,0
0.955108,0
0.767943,0
0.927686,0
0.580361,0
0.369995,0
0.901241,0
0.869095,0
0.908901,0
0.941275,0
0.967867,0
0.985877,0
0.923789,0
0.994457,0
0.926457,0
0.980123,0
0.972308,0
0.937689,0
0.931155,0
0.803952,0
0.975873,0
0.950234,0
0.987311,0
0.69765,0
0.810988,0
0.952254,0
0.990392,0
0.7443,0
0.787398,0
0.81155,0
0.766403,0
0.549257,0
0.943747,0
0.807919,0
0.875652,0
0.924875,0
0.840971,0
0.934292,0
0.76923,0
-0.100289,0
0.904273,0
0.843486,0
0.933082,0
0.558489,0
0.770765,0
0.729827,0
0.891506,0
0.876352,0
0.845462,0
0.870008,0
0.912646,0
0.952254,0
0.884111,0
0.954087,0
0.773363,0
0.969767,0
0.844394,0
0.915411,0
0.977727,0
0.964072,0
0.953373,0
0.854999,0
0.996203,0
0.997185,0
0.781097,0
0.968794,0
0.637665,0
0.943202,0
0.933674,0
0.97796,0
0.926217,0
0.955177,0
0.92605,0
0.936715,0
0.931902,0
0.973645,0
0.996954,0
0.983384,0
0.910014,0
0.997883,0
0.99194,0
-0.027698,0
0.841994,0
0.930774,0
0.962281,0
0.972808,0
0.983335,0
0.947485,0
0.92083,0
0.980367,0
0.970217,0
0.998065,0
0.917567,0
0.999476,0
0.988048,0
0.715582,0
0.951076,0
0.983793,0
0.953158,0
0.97626,0
0.953594,0
0.955631,0
0.966369,0
0.86297,0
0.981745,0
0.99653,0
0.691325,0
0.999237,0
0.987878,0
0.94406,0
0.996813,0
0.918089,0
0.999498,0
0.956294,0
0.814913,0
0.996478,0
0.797679,0
0.924645,0
0.999432,0
0.999388,0
0.999154,0
0.902098,0
0.978392,0
0.947692,0
0.958174,0
0.977204,0
0.921651,0
0.857359,0
0.990041,0
0.858416,0
0.990828,0
0.999454,0
0.946219,0
0.964801,0
0.98538,0
0.901788,0
0.965185,0
0.916433,0
0.998429,0
-0.004571,0
0.923647,0
0.997999,0
0.964302,0
0.964752,0
0.983359,0
0.98538,0
0.972277,0
0.983836,0
0.952114,0
0.966773,0
0.984244,0
0.961783,0
0.874429,0
0.984905,0
0.973667,0
0.998975,0
0.729189,0
0.981224,0
0.862895,0
0.946648,0
0.988696,0
-1,0
0.926915,0
0.906521,0
0.98987,0
0.97977,0
0.988373,0
0.664599,0
0.99893,0
0.944491,0
0.988373,0
0.746864,0
0.959385,0
0.950854,0
0.845528,0
0.945673,0
0.91571,0
0.98987,0
0.999216,0
1,0
0.997952,0
0.99786,0
0.973645,0
0.955771,0
0.976704,0
0.927709,0
0.99187,0
0.924193,0
0.909657,0
0.992608,0
0.989967,0
0.945269,0
0.460288,0
0.944017,0
0.714486,1
0.714486,1
0.599486,1
0.599486,1
0.129193,1
0.129193,1
-0.230714,1
0.609865,1
0.539567,1
0.663412,1
0.620443,1
0.59044,1
0.574002,1
0.574002,1
0.958788,1
0.708688,1
0.571258,1
0.918135,1
0.657606,1
0.926665,1
0.899337,1
0.868962,1
0.706082,1
0.966772,1
0.640516,1
0.413559,1
0.916413,1
0.929044,1
0.139876,1
0.644597,1
0.644597,1
0.760797,1
0.92714,1
0.695301,1
0.89246,1
0.818041,1
0.832346,1
0.973262,1
0.881437,1
0.997977,1
0.759396,1
0.900333,1
0.929137,1
0.997389,1
0.613679,1
0.880982,1
0.994932,1
0.620998,1
0.934986,1
0.918588,1
0.902168,1
0.904501,1
0.665071,1
0.850057,1
0.692121,1
0.924442,1
0.847313,1
0.9658,1
0.867575,1
0.410412,1
