@relation 'ALLModels-weka.filters.unsupervised.attribute.Remove-R1-10,29-30,42-43,46-weka.filters.unsupervised.attribute.Remove-R30-31-weka.filters.unsupervised.attribute.NumericToBinary-Rlast-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-weka.filters.unsupervised.attribute.Remove-R1-8,10-28'

@attribute 'd(LOC,FANIN)' numeric
@attribute #Hbugs_binarized {0,1}

@data
0.713341,1
0.713341,1
0.597543,1
0.597543,1
0.124507,1
0.124507,1
-0.240257,1
0.608067,1
0.53708,1
0.661959,1
0.618174,1
0.58886,1
0.572298,1
0.572298,1
0.95855,1
0.70726,1
0.569322,1
0.917893,1
0.655919,1
0.926347,1
0.899258,1
0.868537,1
0.704362,1
0.966752,1
0.638766,1
0.409468,1
0.916237,1
0.928794,1
0.797545,0
0.92829,0
0.310037,0
0.647841,0
0.320218,0
0.591001,0
0.834217,0
0.394353,0
0.954556,0
0.746488,0
0.831624,0
0.637843,0
0.682636,0
0.8174,0
0.964127,0
0.855649,0
0.660116,0
0.954677,0
0.955024,0
0.639689,0
0.998453,0
0.945488,0
0.46977,0
0.90001,0
0.915842,0
0.989889,0
0.994822,0
0.810589,0
0.93437,0
0.994459,0
0.986363,0
0.898681,0
0.766124,0
0.930917,0
0.546595,0
0.986118,0
0.860367,0
0.899688,0
0.962723,0
0.999461,0
0.947575,0
0.815899,0
0.376711,0
0.891447,0
0.955563,0
0.955024,0
0.767209,0
0.927354,0
0.578422,0
0.364846,0
0.900513,0
0.868277,0
0.908791,0
0.941316,0
0.96776,0
0.985895,0
0.923289,0
0.994459,0
0.925843,0
0.979935,0
0.972294,0
0.937537,0
0.93088,0
0.802806,0
0.975713,0
0.950022,0
0.987335,0
0.694539,0
0.810085,0
0.952001,0
0.990428,0
0.74254,0
0.134831,1
0.6423,1
0.6423,1
0.759966,1
0.926743,1
0.693892,1
0.89206,1
0.817096,1
0.831549,1
0.973194,1
0.881016,1
0.997985,1
0.758108,1
0.900265,1
0.92883,1
0.997411,1
0.611632,1
0.880475,1
0.994962,1
0.61872,1
0.934479,1
0.918252,1
0.901703,1
0.904184,1
0.663551,1
0.848996,1
0.690771,1
0.924296,1
0.846741,1
0.96492,1
0.86673,1
0.406968,1
0.78545,0
0.810939,0
0.765235,0
0.546968,0
0.943438,0
0.807114,0
0.875084,0
0.92448,0
0.840185,0
0.933939,0
0.768177,0
-0.105195,0
0.904039,0
0.842741,0
0.933004,0
0.556154,0
0.769688,0
0.728484,0
0.891089,0
0.875979,0
0.84483,0
0.866763,0
0.912316,0
0.952145,0
0.883424,0
0.954052,0
0.772205,0
0.969775,0
0.843748,0
0.914769,0
0.977835,0
0.965064,0
0.953009,0
0.85479,0
0.996438,0
0.997411,0
0.779836,0
0.96859,0
0.634781,0
0.943042,0
0.933508,0
0.978338,0
0.92575,0
0.955167,0
0.925916,0
0.936493,0
0.93196,0
0.973628,0
0.996942,0
0.983376,0
0.909798,0
0.99795,0
0.991869,0
-0.037396,0
0.841192,0
0.930485,0
0.962112,0
0.972797,0
0.983376,0
0.947326,0
0.917493,0
0.980282,0
0.970243,0
0.998349,0
0.917353,0
0.999461,0
0.98791,0
0.714348,0
0.950713,0
0.983739,0
0.953152,0
0.976112,0
0.953197,0
0.955563,0
0.966213,0
0.861915,0
0.980144,0
0.996474,0
0.68918,0
0.999496,0
0.987839,0
0.943977,0
0.996907,0
0.91782,0
0.999461,0
0.956138,0
0.813961,0
0.996474,0
0.796413,0
0.924405,0
0.999461,0
0.999461,0
0.999426,0
0.901739,0
0.978338,0
0.947575,0
0.958046,0
0.977295,0
0.921383,0
0.856413,0
0.990428,0
0.857811,0
0.990757,0
0.999496,0
0.946064,0
0.964738,0
0.985391,0
0.901162,0
0.96517,0
0.916346,0
0.998453,0
-0.012571,0
0.923434,0
0.997985,0
0.964162,0
0.964666,0
0.983376,0
0.985391,0
0.972174,0
0.983774,0
0.952073,0
0.966752,0
0.983598,0
0.961644,0
0.874002,0
0.984852,0
0.973663,0
0.998957,0
0.727477,0
0.981115,0
0.861953,0
0.946568,0
0.988603,0
-1,0
0.926815,0
0.906309,0
0.989925,0
0.979743,0
0.988413,0
0.662965,0
0.998957,0
0.944481,0
0.988413,0
0.746024,0
0.959125,0
0.950561,0
0.844495,0
0.94556,0
0.915338,0
0.989854,0
0.999461,0
1,0
0.99795,0
0.99795,0
0.973628,0
0.955599,0
0.976686,0
0.927427,0
0.99194,0
0.923938,0
0.909297,0
0.992912,0
0.989714,0
0.945093,0
0.455234,0
0.943764,0
