@relation 'ALLModels-weka.filters.unsupervised.attribute.Remove-R1-10,29-30,42-43,46-weka.filters.unsupervised.attribute.Remove-R30-31-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-weka.filters.unsupervised.attribute.NumericToBinary-Rlast-weka.filters.unsupervised.attribute.Remove-R1-22,24-28'

@attribute 'd(d(LOC,Ce),d(RFC, Ca))' numeric
@attribute #Hbugs_binarized {0,1}

@data
-0.729175,1
-0.729175,1
-0.620023,1
-0.620023,1
-0.173241,1
-0.173241,1
0.169493,1
-0.629862,1
-0.56312,1
-0.680669,1
-0.639903,1
-0.611297,1
-0.595746,1
-0.595746,1
-0.961119,1
-0.723696,1
-0.593203,1
-0.922517,1
-0.675208,1
-0.93061,1
-0.904485,1
-0.875823,1
-0.7212,1
-0.968644,1
-0.65898,1
-0.443491,1
-0.920691,1
-0.932781,1
-0.808905,0
-0.932462,0
-0.349168,0
-0.666344,0
-0.358751,0
-0.614168,0
-0.843312,0
-0.42831,0
-0.957323,0
-0.760479,0
-0.841172,0
-0.657964,0
-0.700365,0
-0.828419,0
-0.966337,0
-0.8637,0
-0.679273,0
-0.955116,0
-0.957842,0
-0.660354,0
-0.998584,0
-0.948628,0
-0.501461,0
-0.905881,0
-0.920521,0
-0.990659,0
-0.994297,0
-0.821272,0
-0.938249,0
-0.994975,0
-0.987035,0
-0.904385,0
-0.779628,0
-0.935043,0
-0.571269,0
-0.983682,0
-0.86823,0
-0.90533,0
-0.964975,0
-0.997719,0
-0.950392,0
-0.826693,0
-0.411965,0
-0.897684,0
-0.958054,0
-0.95745,0
-0.779841,0
-0.931586,0
-0.601873,0
-0.401098,0
-0.906543,0
-0.876001,0
-0.913596,0
-0.943837,0
-0.969769,0
-0.986791,0
-0.927936,0
-0.994975,0
-0.930466,0
-0.980753,0
-0.973914,0
-0.941073,0
-0.934862,0
-0.814151,0
-0.977343,0
-0.95298,0
-0.987977,0
-0.713069,0
-0.820848,0
-0.954899,0
-0.991055,0
-0.757445,0
-0.183109,1
-0.662712,1
-0.662712,1
-0.772963,1
-0.931057,1
-0.710882,1
-0.898079,1
-0.827539,1
-0.841062,1
-0.974764,1
-0.88762,1
-0.998294,1
-0.771837,1
-0.905431,1
-0.932949,1
-0.997236,1
-0.633537,1
-0.887233,1
-0.99536,1
-0.640386,1
-0.93855,1
-0.922917,1
-0.907369,1
-0.909525,1
-0.682281,1
-0.85761,1
-0.707962,1
-0.928302,1
-0.853717,1
-0.967769,1
-0.874554,1
-0.440418,1
-0.798424,0
-0.821181,0
-0.778523,0
-0.572323,0
-0.946846,0
-0.817666,0
-0.882219,0
-0.928645,0
-0.849264,0
-0.937911,0
-0.781155,0
0.044862,0
-0.909082,0
-0.851693,0
-0.93661,0
-0.581088,0
-0.782618,0
-0.743781,0
-0.897204,0
-0.882746,0
-0.853546,0
-0.871342,0
-0.91733,0
-0.954902,0
-0.89025,0
-0.956446,0
-0.785107,0
-0.97147,0
-0.852488,0
-0.919742,0
-0.978856,0
-0.960217,0
-0.956034,0
-0.862242,0
-0.994568,0
-0.994855,0
-0.792472,0
-0.970585,0
-0.655997,0
-0.946301,0
-0.937248,0
-0.978101,0
-0.929623,0
-0.957594,0
-0.929939,0
-0.940166,0
-0.935253,0
-0.974867,0
-0.997285,0
-0.984455,0
-0.914738,0
-0.99752,0
-0.992587,0
-0.020467,0
-0.850247,0
-0.93455,0
-0.964411,0
-0.974397,0
-0.984326,0
-0.950063,0
-0.913777,0
-0.981601,0
-0.971816,0
-0.993515,0
-0.921936,0
-0.999499,0
-0.98893,0
-0.730249,0
-0.953598,0
-0.984678,0
-0.955663,0
-0.977565,0
-0.956004,0
-0.957976,0
-0.968354,0
-0.870151,0
-0.967949,0
-0.997001,0
-0.707149,0
-0.996191,0
-0.988676,0
-0.94698,0
-0.996132,0
-0.922453,0
-0.999728,0
-0.958762,0
-0.82455,0
-0.99692,0
-0.808186,0
-0.928693,0
-0.998932,0
-0.998329,0
-0.99498,0
-0.907287,0
-0.979756,0
-0.950545,0
-0.960427,0
-0.978333,0
-0.925867,0
-0.864845,0
-0.988718,0
-0.865825,0
-0.991241,0
-0.999223,0
-0.949169,0
-0.966817,0
-0.986324,0
-0.907061,0
-0.967047,0
-0.920738,0
-0.998339,0
-0.044088,0
-0.927739,0
-0.998382,0
-0.966339,0
-0.966719,0
-0.984397,0
-0.986328,0
-0.972137,0
-0.98481,0
-0.954619,0
-0.968643,0
-0.984937,0
-0.963952,0
-0.880995,0
-0.985926,0
-0.974944,0
-0.999137,0
-0.743155,0
-0.982099,0
-0.870104,0
-0.949528,0
-0.98873,0
1,0
-0.930599,0
-0.911448,0
-0.990513,0
-0.980863,0
-0.989121,0
-0.681851,0
-0.998674,0
-0.947238,0
-0.989121,0
-0.759783,0
-0.96174,0
-0.95364,0
-0.853636,0
-0.948631,0
-0.920259,0
-0.990516,0
-0.995887,0
-1,0
-0.99815,0
-0.997286,0
-0.974867,0
-0.958241,0
-0.977848,0
-0.931629,0
-0.992354,0
-0.928279,0
-0.913934,0
-0.991246,0
-0.990767,0
-0.948303,0
-0.486639,0
-0.946872,0
