Class Name,HasT,#Bugs,#BugsBinary,#Blocker,#Critical,#Major,#Normal,#Minor,#Trivial,WMC,CBO,RFC,Ca,Ce,LOC,Qi,FANIN,"d(LOC,FANIN)","d(Qi,FANIN)","d(WMC,FANIN)","d( WMC,CBO)","d(Qi,CBO)","d(LOC, CBO)","d(LOC, Ce)","d(LOC, Ca)","d(WMC, Ce)","d(WMC, Ca)",Risk1,TLOC,"d(RFC,d(LOC, Ce))","d(LOC,d(RFC, Ca))"
org.apache.tools.ant.taskdefs.Manifest,1,5,1,2,0,0,3,0,0,17,7,71,2,5,569,0.583372242,3,3686.741244,294.0002952,303.1699194,200.1799191,186.0004666,3679.703928,3675.122447,3679.908287,79.84985911,203.9019372,21,171,585.8134214,3477.125143
org.apache.tools.ant.taskdefs.Jar,1,6,1,1,1,1,3,0,0,21,15,83,2,13,799,0.319521039,4,3457.43749,293.0007902,301.2457469,191.2694435,178.0013007,3449.595484,3445.070246,3450.235499,73.37574531,202.4845673,24,134,808.5348691,3254.348639
org.apache.tools.ant.taskdefs.Zip,1,5,1,1,1,1,2,0,0,34,25,138,3,22,1740,0.234041895,7,2520.737194,290.0010115,295.5486424,177.4063133,168.0017461,2509.629455,2504.033746,2511.122657,58.46366393,197.4082065,21,49,1738.746575,2324.098928
org.apache.tools.ant.Project,1,5,1,1,0,0,2,2,0,91,157,212,148,17,2452,0.103267924,145,1798.434875,152.0026451,152,36,36.01116672,1792.361571,1792.0904,1792.540097,18,44,16,128,2455.711041,1607.198904
org.apache.tools.ant.taskdefs.SQLExec,1,4,1,1,0,1,1,1,0,18,13,90,1,13,778,0.645021609,5,3478.27831,292.0002158,300.9867107,194.2395428,180.00035,3470.670829,3466.06982,3471.258705,76.24303247,204.4749373,15,132,786.6676068,3276.215405
org.apache.tools.ant.taskdefs.Copy,1,3,1,1,0,1,1,0,0,27,18,87,1,17,919,0.217968946,6,3337.709694,291.0010508,297.9546945,186.3357185,175.0017473,3329.602078,3325.048721,3330.481347,66.48308055,201.4373352,13,71,926.378441,3136.482355
org.apache.tools.ant.taskdefs.Tar,1,2,1,1,0,1,0,0,0,11,17,83,0,17,671,0.855679997,4,3584.993445,293.0000355,303.7252047,193.3287356,176.0000592,3577.332106,3573.04534,3578.154971,82,208,10,74,682.5896273,3380.267443
org.apache.tools.ant.taskdefs.AntStructure,1,2,1,1,0,0,0,1,0,10,7,61,0,7,758,0.908702087,4,3498.291726,293.0000142,303.9901314,202.8718808,186.0000224,3490.958608,3486.112448,3491.283432,85.70297544,208.3866598,8,11,772.0775867,3290.850679
org.apache.tools.ant.taskdefs.Rmic,1,2,1,1,0,0,1,0,0,48,25,108,7,20,816,0.017419949,7,3440.244759,290.0016646,293.1705988,173.4156856,168.0028734,3432.114217,3428.032818,3432.988348,45.54119015,189.9315666,9,54,821.9964014,3240.847457
org.apache.tools.ant.taskdefs.Ant,1,2,1,1,1,0,0,0,0,19,16,117,1,15,849,0.290581408,6,3407.448606,291.0008647,299.7749156,191.0837513,177.0014217,3399.61086,3395.05891,3400.368509,74.72616677,204.1200627,11,347,853.2998337,3209.571626
