@relation 'ImbricationACP-weka.filters.unsupervised.attribute.Remove-R1-2,5-10,30-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,1'

@attribute #BugsBinary numeric
@attribute WMC numeric
@attribute CBO numeric
@attribute RFC numeric
@attribute Ca numeric
@attribute Ce numeric
@attribute LOC numeric
@attribute Qi numeric
@attribute FANIN numeric
@attribute 'd(LOC,FANIN)' numeric
@attribute 'd(Qi,FANIN)' numeric
@attribute 'd(WMC,FANIN)' numeric
@attribute 'd( WMC,CBO)' numeric
@attribute 'd(Qi,CBO)' numeric
@attribute 'd(LOC, CBO)' numeric
@attribute 'd(LOC, Ce)' numeric
@attribute 'd(LOC, Ca)' numeric
@attribute 'd(WMC, Ce)' numeric
@attribute 'd(WMC, Ca)' numeric
@attribute Risk1 numeric
@attribute 'd(RFC,d(LOC, Ce))' numeric
@attribute 'd(LOC,d(RFC, Ca))' numeric
@attribute #Bugs numeric

@data
0,8,46,14,45,1,87,0.966365,45,4164.631196,252.000002,265.316792,168.813507,147.000004,4159.598298,4157.13904,4159.598298,89.693924,168.813507,0,217.853827,3845.105642,0
0,7,6,8,6,0,89,0.94816,4,4165.317995,293.000005,304.803215,205,187.000007,4159.205934,4155.14741,4159.161093,91,204.088216,0,223.521811,3839.446866,0
0,21,11,56,0,11,715,0.497562,7,3540.895508,290.000435,298.328678,194.997436,182.000694,3533.689998,3529.081609,3534.21915,74,204.362423,0,731.088496,3331.80709,0
0,1,5,1,3,2,3,1,1,4251.31709,296,309.380025,208.432243,188,4245.164897,4241.128388,4245.2093,95.859272,209.33466,0,212.021819,3850.928724,0
0,8,3,18,2,1,108,0.919591,3,4146.43606,294.000011,305.491407,207.337889,190.000017,4140.36182,4136.139746,4140.36182,89.693924,207.337889,0,222.856593,3840.103072,0
0,28,44,96,32,13,1047,0.006091,79,3204.423973,218.002266,226.920691,161.771444,149.003315,3200.470278,3197.075695,3201.00125,66.730802,171.95639,0,1053.765108,3009.12446,0
0,8,9,23,4,5,198,0.780516,7,4056.379667,290.000083,301.64383,201.853908,184.000131,4050.181724,4046.111219,4050.365416,88.255311,205.506691,0,274.333152,3788.594772,0
0,8,6,26,1,5,167,0.903854,1,4087.731033,296.000016,307.416655,204.592278,187.000025,4081.286317,4077.110374,4081.471548,88.255311,208.254652,0,250.568082,3812.359102,0
0,2,1,6,0,1,20,0.992424,1,4234.358511,296,309.090602,211.624668,192,4228.361385,4224.136835,4228.361385,95.273291,211.624668,0,207.953346,3855.005737,0
0,6,7,6,6,1,10,1,4,4244.125941,293,305.080317,204.501834,186,4238.083529,4234.136512,4238.083529,91.547802,204.501834,0,207.24955,3855.709505,0
0,20,4,42,0,4,376,0.600817,1,3879.309217,296.000269,304.396124,201.896013,189.000422,3872.61475,3868.124222,3872.762322,77.472576,204.707108,0,412.592654,3650.348125,0
0,10,2,20,0,2,130,0.912957,4,4124.420565,293.000013,303.990131,207.46566,191.00002,4118.431376,4114.132351,4118.477874,87.464278,208.38666,0,232.572671,3830.37863,0
0,2,4,4,0,4,11,0.960958,0,4243.406415,297.000003,310.048383,208.906678,189.000004,4237.217247,4233.113511,4237.352121,94.244363,211.624668,0,209.28398,3853.649854,0
0,3,7,8,3,4,27,0.230432,1,4227.375663,296.001,308.804145,205.766858,186.001592,4221.099975,4217.113942,4221.233232,93.300589,208.482613,0,206.772716,3856.161037,0
