@relation 'ALLModels-weka.filters.unsupervised.attribute.Remove-R1-2,29-30-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,1-weka.filters.unsupervised.attribute.Remove-R1-7,35,37-weka.filters.unsupervised.attribute.NumericToBinary-Rlast-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-weka.filters.unsupervised.attribute.Remove-R1-18,20-27'

@attribute 'd(RFC,d(LOC, Ca))' numeric
@attribute #Lbugs_binarized {0,1}

@data
-0.797883,0
-0.682718,0
-0.201725,0
0.169003,1
-0.694025,1
-0.621783,0
-0.747842,0
-0.701569,1
-0.675757,0
-0.659571,0
-0.989537,0
-0.791039,0
-0.655328,0
-0.971831,0
-0.740622,0
-0.976134,0
-0.963838,0
-0.93789,0
-0.785615,0
-0.99241,0
-0.723877,0
-0.490697,0
-0.974656,0
-0.978039,0
-0.879104,0
-0.977788,0
-0.391748,1
-0.73515,0
-0.402404,0
-0.674733,0
-0.910435,0
-0.475274,1
-0.986928,1
-0.829246,1
-0.906747,0
-0.723362,0
-0.76605,0
-0.890492,0
-0.991084,0
-0.928032,0
-0.748645,0
-0.988147,0
-0.985216,0
-0.722764,0
-0.991163,0
-0.98556,0
-0.555914,0
-0.958943,0
-0.971231,0
-0.993266,0
-0.99363,0
-0.887452,0
-0.980536,0
-0.992578,0
-0.993877,0
-0.958529,0
-0.845013,0
-0.976336,0
-0.633059,0
-0.99381,0
-0.931269,0
-0.959282,0
-0.989578,0
-0.991172,0
-0.98839,0
-0.889342,0
-0.458008,0
-0.954184,0
-0.990682,0
-0.991398,0
-0.85067,0
-0.976771,0
-0.664034,0
-0.4424,0
-0.958285,0
-0.93485,0
-0.968105,0
-0.986015,0
-0.990258,0
-0.993817,0
-0.972622,0
-0.992578,0
-0.970403,0
-0.992853,0
-0.993061,0
-0.982237,0
-0.979324,0
-0.879447,0
-0.992446,0
-0.987298,0
-0.992975,0
-0.778928,0
-0.886312,0
-0.987747,0
-0.993829,0
-0.820987,0
-0.211132,1
-0.728934,0
-0.843265,1
-0.976431,1
-0.779787,0
-0.95666,0
-0.892177,0
-0.905898,0
-0.99281,0
-0.948399,0
-0.991672,0
-0.838631,0
-0.964254,0
-0.977233,0
-0.991659,0
-0.695656,0
-0.947364,0
-0.99312,0
-0.701502,0
-0.974889,0
-0.972136,0
-0.960108,0
-0.964105,0
-0.74831,0
-0.92706,0
-0.775108,0
-0.979323,0
-0.930941,0
-0.990597,0
-0.932929,0
-0.488638,0
-0.86479,1
-0.890731,0
-0.845284,0
-0.632162,0
-0.984121,1
-0.885721,0
-0.940318,0
-0.975005,0
-0.913488,0
-0.97764,0
-0.849768,0
0.034143,0
-0.96506,1
-0.91493,0
-0.981349,0
-0.641356,0
-0.8507,1
-0.810547,1
-0.955204,0
-0.944159,0
-0.917537,0
-0.939095,0
-0.967656,0
-0.987747,0
-0.946524,0
-0.99095,0
-0.852057,0
-0.992841,0
-0.916851,0
-0.97237,0
-0.995421,0
-0.989517,1
-0.985367,1
-0.92969,1
-0.99421,0
-0.993206,0
-0.857451,0
-0.991545,0
-0.714054,0
-0.9843,0
-0.979943,0
-0.992408,0
-0.977127,0
-0.990468,0
-0.977865,0
-0.980796,0
-0.982805,0
-0.99443,0
-0.992164,0
-0.992925,0
-0.968143,0
-0.992705,0
-0.992411,0
-0.029992,0
-0.914412,0
-0.976917,0
-0.990861,0
-0.99269,0
-0.993946,0
-0.989252,0
-0.974457,0
-0.992388,0
-0.994482,0
-0.992191,0
-0.972257,0
-0.991173,0
-0.989964,0
-0.798245,0
-0.986738,0
-0.992991,0
-0.989582,0
-0.992537,0
-0.987862,0
-0.990182,0
-0.990284,0
-0.925834,0
-0.992644,0
-0.990598,0
-0.769104,0
-0.991171,0
-0.992527,0
-0.986583,0
-0.993713,0
-0.972207,0
-0.991173,0
-0.988046,0
-0.890713,0
-0.992149,0
-0.872356,0
-0.975281,0
-0.991172,0
-0.991172,0
-0.991171,0
-0.961187,0
-0.992501,0
-0.987025,0
-0.98978,0
-0.995812,0
-0.973345,0
-0.922676,0
-1,0
-0.92963,0
-0.992835,0
-0.991172,0
-0.985367,0
-0.990759,0
-0.993231,0
-0.957543,0
-0.991386,0
-0.973481,0
-0.992197,0
-0.057534,0
-0.974641,0
-0.991672,0
-0.990588,0
-0.992231,0
-0.993435,0
-0.993231,0
-0.992547,0
-0.993512,0
-0.99006,0
-0.991911,0
-0.994091,0
-0.990186,0
-0.942856,0
-0.992647,0
-0.994436,0
-0.991686,0
-0.807114,0
-0.994602,0
-0.927062,0
-0.986976,0
-0.993655,0
1,0
-0.981357,0
-0.965979,0
-0.993779,0
-0.994832,0
-0.993618,0
-0.747831,0
-0.991686,0
-0.987266,0
-0.993618,0
-0.831202,0
-0.987324,0
-0.984734,0
-0.913609,0
-0.986024,0
-0.968561,0
-0.993779,0
-0.991171,0
-0.990657,0
-0.992189,0
-0.992704,0
-0.99443,0
-0.988312,0
-0.996206,0
-0.976356,0
-0.992923,0
-0.974149,0
-0.972075,0
-0.997637,0
-0.992237,0
-0.983964,0
-0.532099,0
-0.985641,0
