@relation 'ALLModels-weka.filters.unsupervised.attribute.Remove-R1-2,29-30-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,1-weka.filters.unsupervised.attribute.Remove-R1-7,35,37-weka.filters.unsupervised.attribute.NumericToBinary-Rlast-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-weka.filters.unsupervised.attribute.Remove-R1-16,18-27'

@attribute 'd(WMC, Ce)' numeric
@attribute #Lbugs_binarized {0,1}

@data
0.596592,0
0.44861,0
0.107757,0
-0.81714,1
0.514149,1
0.291061,0
0.645738,0
0.730379,1
-0.187618,0
0.479477,0
0.911745,0
0.658656,0
0.023589,0
0.896556,0
0.600166,0
0.889291,0
0.85359,0
0.795313,0
0.812279,0
0.918204,0
0.278286,0
0.233232,0
0.7377,0
0.804713,0
0.350412,0
0.867594,0
0.050219,1
-0.067334,0
0.335952,0
0.470429,0
0.715924,0
0.335952,1
0.936138,1
0.554308,1
0.775206,0
0.478253,0
0.503322,0
0.749489,0
0.853339,0
0.694173,0
0.185082,0
0.821602,0
0.851456,0
0.462879,0
0.962526,0
0.821602,0
0.296723,0
0.788719,0
0.788719,0
0.949132,0
0.863977,0
0.542253,0
0.770638,0
0.925614,0
0.904041,0
0.781324,0
0.830375,0
0.885217,0
-0.645821,0
0.904041,0
0.773641,0
0.781324,0
0.855596,0
0.9705,0
0.875431,0
0.781064,0
0.520881,0
0.81023,0
0.809974,0
0.821602,0
0.489237,0
0.795313,0
0.456845,0
0.847433,0
0.851456,0
0.818031,0
0.788719,0
0.872573,0
0.87692,0
0.93324,0
0.890278,0
0.925614,0
0.851456,0
0.847433,0
0.925614,0
0.904041,0
0.83177,0
0.70879,0
0.874934,0
0.860979,0
0.927795,0
0.376339,0
0.804713,0
0.824276,0
0.936138,0
0.796603,0
0.499094,1
0.340787,0
0.665702,1
0.804713,1
0.30407,0
0.7377,0
0.617794,0
0.601309,0
0.851456,0
0.702442,0
0.9705,0
0.557968,0
0.896556,0
0.791825,0
0.978681,0
0.316631,0
0.83177,0
0.949132,0
0.534417,0
0.898276,0
0.745787,0
0.828344,0
0.647549,0
0.405055,0
0.523567,0
0.586401,0
0.781324,0
0.053483,0
0.863977,0
0.904041,0
0.614254,0
0.643647,1
0.564536,0
0.719682,0
0.479477,0
0.796603,1
0.491213,0
0.897294,0
0.770638,0
0.667907,0
0.863977,0
0.535158,0
-1,0
0.732512,1
0.758317,0
0.818542,0
0.307135,0
0.730912,1
0.380241,1
0.803171,0
0.696074,0
0.702984,0
0.452344,0
0.898276,0
0.874934,0
0.83949,0
0.882496,0
0.614963,0
0.890278,0
0.718072,0
0.694173,0
0.918204,0
0.893727,1
0.914916,1
0.7595,1
0.842772,0
0.893727,0
0.665288,0
0.890278,0
0.767369,0
0.818031,0
0.897294,0
0.851456,0
0.753842,0
0.896556,0
0.875431,0
0.818031,0
0.529223,0
0.919663,0
0.978681,0
0.911745,0
0.766452,0
0.882496,0
0.93324,0
0.978681,0
0.752788,0
0.802656,0
0.83177,0
0.863977,0
0.918204,0
0.751996,0
0.695395,0
0.893727,0
0.882496,0
0.936138,0
0.788719,0
0.978681,0
1,0
0.366216,0
0.732512,0
0.893727,0
0.889291,0
0.919663,0
0.842772,0
0.800469,0
0.927795,0
0.830375,0
0.885217,0
1,0
0.560306,0
0.978681,0
0.90649,0
0.842772,0
0.863977,0
0.804713,0
0.9705,0
0.890278,0
0.737966,0
0.957394,0
0.636517,0
0.818031,0
0.9705,0
0.962526,0
0.9705,0
0.84693,0
0.863977,0
0.911745,0
0.898276,0
0.872573,0
0.728378,0
0.818031,0
0.473502,0
0.813047,0
0.882496,0
0.9705,0
0.818031,0
0.890278,0
0.904041,0
0.927795,0
0.885217,0
0.730379,0
0.927795,0
0.316631,0
0.882249,0
0.9705,0
0.874934,0
0.882496,0
0.93324,0
0.911745,0
0.87692,0
0.927795,0
0.81701,0
0.911012,0
0.925614,0
0.770638,0
0.853339,0
0.893727,0
0.919663,0
0.949132,0
0.644344,0
0.911745,0
0.927795,0
0.893727,0
0.890278,0
0.274641,0
0.715924,0
0.918204,0
0.90649,0
0.904041,0
0.93324,0
0.486345,0
0.94108,0
0.495613,0
0.93324,0
0.562057,0
0.893727,0
0.851456,0
0.707307,0
0.893727,0
0.87692,0
0.957394,0
0.9705,0
0.984001,0
0.936138,0
0.90649,0
0.919663,0
0.889291,0
0.867594,0
0.860979,0
0.90649,0
0.882249,0
0.36818,0
0.704741,0
0.936138,0
0.890278,0
0.851456,0
0.707307,0
