@relation 'ALLModels-weka.filters.unsupervised.attribute.Remove-R1-2,29-30-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,1-weka.filters.unsupervised.attribute.Remove-R1-7,35,37-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-weka.filters.unsupervised.attribute.NumericToBinary-Rlast-weka.filters.unsupervised.attribute.Remove-R1-15,17-27'

@attribute 'd(LOC, Ca)' numeric
@attribute #Lbugs_binarized {0,1}

@data
0.719977,0
0.606816,0
0.144114,0
-0.209933,1
-0.209933,1
0.617175,1
0.547813,0
0.669843,0
0.627041,1
0.598319,0
0.582247,0
0.959685,0
0.714123,0
0.579268,0
0.919819,0
0.663912,0
0.928163,0
0.90161,0
0.871589,0
0.711171,0
0.96756,0
0.647158,0
0.423133,0
0.918343,0
0.930533,0
0.802669,0
0.930132,0
0.326109,1
0.655913,0
0.336114,0
0.600448,0
0.838101,0
0.407693,1
0.95568,1
0.752329,1
0.835664,0
0.646201,0
0.689835,0
0.822049,0
0.965099,0
0.859168,0
0.668859,0
0.956321,0
0.956105,0
0.648195,0
0.998501,0
0.946843,0
0.484018,0
0.902501,0
0.917828,0
0.9902,0
0.994991,0
0.814996,0
0.936061,0
0.99463,0
0.986688,0
0.901025,0
0.771668,0
0.93257,0
0.556886,0
0.986212,0
0.863715,0
0.902009,0
0.9636,0
0.999378,0
0.948857,0
0.820313,0
0.390928,0
0.894135,0
0.956732,0
0.956217,0
0.772627,0
0.92917,0
0.588122,0
0.379158,0
0.903063,0
0.871495,0
0.910868,0
0.942642,0
0.968522,0
0.986263,0
0.925233,0
0.99463,0
0.927648,0
0.980587,0
0.972974,0
0.939014,0
0.932615,0
0.807518,0
0.976419,0
0.951318,0
0.987629,0
0.703095,0
0.81448,0
0.953287,0
0.990693,0
0.748566,0
0.154014,1
0.651329,0
0.765544,1
0.928632,1
0.701228,0
0.89472,0
0.821369,0
0.835522,0
0.973891,0
0.883892,0
0.998053,0
0.763795,0
0.902571,0
0.930578,0
0.997473,0
0.620538,0
0.8834,0
0.995122,0
0.627479,0
0.936038,0
0.920265,0
0.904047,0
0.906485,0
0.671292,0
0.853381,0
0.697887,0
0.926217,0
0.851156,0
0.96653,0
0.86995,0
0.42034,0
0.791302,1
0.815392,0
0.770684,0
0.557458,0
0.94492,1
0.811668,0
0.877963,0
0.926398,0
0.844006,0
0.935523,0
0.773661,0
-0.081431,0
0.906326,1
0.846419,0
0.934561,0
0.566506,0
0.775113,1
0.775113,1
0.734763,1
0.893735,0
0.878878,0
0.848435,0
0.872642,0
0.914382,0
0.953287,0
0.88626,0
0.95521,0
0.777548,0
0.97049,0
0.847404,0
0.917267,0
0.978365,0
0.964802,1
0.954248,1
0.858115,1
0.996424,0
0.997345,0
0.784954,0
0.969484,0
0.643196,0
0.944405,0
0.935053,0
0.978453,0
0.92779,0
0.95624,0
0.927671,0
0.938006,0
0.933509,0
0.974339,0
0.997069,0
0.98378,0
0.911922,0
0.998009,0
0.992147,0
-0.014959,0
0.845015,0
0.932123,0
0.96313,0
0.973443,0
0.98378,0
0.948767,0
0.922522,0
0.980804,0
0.971005,0
0.998165,0
0.919304,0
0.999508,0
0.988209,0
0.720961,0
0.952102,0
0.984183,0
0.954248,0
0.9768,0
0.954585,0
0.956664,0
0.967068,0
0.865168,0
0.982163,0
0.996577,0
0.696359,0
0.999272,0
0.988165,0
0.945344,0
0.997003,0
0.919796,0
0.99953,0
0.957201,0
0.818416,0
0.996599,0
0.801218,0
0.926194,0
0.999464,0
0.999421,0
0.99919,0
0.904047,0
0.97888,0
0.948857,0
0.959103,0
0.977873,0
0.923241,0
0.859754,0
0.990626,0
0.861254,0
0.991074,0
0.999486,0
0.947358,0
0.965568,0
0.985748,0
0.903532,0
0.965971,0
0.918297,0
0.998523,0
0.009585,0
0.92521,0
0.998076,0
0.965076,0
0.965591,0
0.98378,0
0.985748,0
0.972919,0
0.984249,0
0.953264,0
0.967537,0
0.984676,0
0.962615,0
0.877003,0
0.985256,0
0.974361,0
0.999038,0
0.733779,0
0.981744,0
0.865191,0
0.94785,0
0.989019,0
-1,0
0.928678,0
0.9085,0
0.990178,0
0.980334,0
0.988701,0
0.670827,0
0.998994,0
0.945791,0
0.988701,0
0.75201,0
0.960154,0
0.951787,0
0.84818,0
0.946866,0
0.917335,0
0.990178,0
0.999252,0
1,0
0.998053,0
0.997987,0
0.974339,0
0.956709,0
0.977403,0
0.92917,0
0.992103,0
0.925702,0
0.911807,0
0.993043,0
0.9902,0
0.946373,0
0.467612,0
0.945255,0
