@relation 'ALLModels-weka.filters.unsupervised.attribute.Remove-R1-2,29-30-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,1-weka.filters.unsupervised.attribute.Remove-R1-4,6-7,35-37-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,1-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-weka.filters.unsupervised.attribute.NumericToBinary-Rlast-weka.filters.unsupervised.attribute.Remove-R1-23,25-27'

@attribute 'd(LOC, WMC)' numeric
@attribute #Normal_binarized {0,1}

@data
0.728095,1
0.618214,1
0.168695,1
-0.171717,1
0.628273,1
0.560848,1
0.679444,0
0.637908,0
0.609883,1
0.594355,0
0.960809,1
0.722414,0
0.591308,0
0.922127,0
0.673672,0
0.930245,0
0.904447,0
0.875285,0
0.719624,0
0.96846,0
0.657295,1
0.440433,1
0.920634,0
0.932583,0
0.808242,0
0.932145,0
0.345801,1
0.666288,1
0.355949,1
0.612015,1
0.84278,1
0.425247,1
0.956989,1
0.759596,1
0.840402,1
0.65642,1
0.698925,1
0.827488,1
0.966043,1
0.863306,1
0.678302,1
0.958372,0
0.957427,0
0.65833,0
0.998557,0
0.948343,0
0.499708,0
0.905362,0
0.920166,0
0.990428,0
0.995165,0
0.820241,0
0.937818,0
0.994727,0
0.987075,0
0.903939,0
0.77833,0
0.934523,0
0.569655,0
0.987075,0
0.867634,0
0.904894,0
0.9646,0
0.999512,0
0.950303,0
0.825608,0
0.4086,0
0.897253,0
0.957914,0
0.957417,0
0.779142,0
0.93116,0
0.600056,0
0.397291,0
0.905849,0
0.875285,0
0.91348,0
0.944542,0
0.969386,0
0.986608,0
0.92737,0
0.994727,0
0.929728,0
0.981315,0
0.973714,0
0.940752,0
0.934513,0
0.813161,0
0.977037,0
0.952671,0
0.988031,0
0.712236,0
0.819877,0
0.954571,0
0.990896,0
0.755906,0
0.178429,1
0.661646,1
0.772548,1
0.930673,0
0.709856,1
0.897711,1
0.826485,1
0.840335,0
0.974619,0
0.887194,0
0.99808,0
0.770608,0
0.905412,0
0.932574,0
0.997602,0
0.631488,0
0.886756,0
0.995204,0
0.638322,0
0.937876,0
0.922535,0
0.906834,0
0.909117,0
0.680758,0
0.857519,0
0.706624,1
0.928295,0
0.85546,0
0.967466,0
0.873893,0
0.437263,0
0.797382,1
0.820754,1
0.777333,1
0.570477,1
0.946433,0
0.817358,1
0.881545,0
0.928744,0
0.848501,0
0.937379,0
0.780141,1
-0.050855,1
0.909153,1
0.850889,1
0.936433,1
0.579005,1
0.781662,1
0.742341,1
0.896785,1
0.882419,1
0.85279,1
0.878005,1
0.916863,1
0.954591,1
0.889622,1
0.956501,1
0.78399,1
0.971306,1
0.851864,1
0.91966,1
0.978967,1
0.966998,0
0.955546,0
0.86237,0
0.996588,0
0.997562,0
0.791154,0
0.970351,0
0.653656,0
0.945965,0
0.936941,0
0.979395,0
0.930176,0
0.957466,0
0.929768,0
0.939757,0
0.935375,0
0.975136,0
0.997124,0
0.98421,0
0.914435,0
0.99805,0
0.992339,0
0.014507,0
0.849486,0
0.934026,0
0.964123,0
0.974152,0
0.98422,0
0.950244,0
0.926796,0
0.981325,0
0.971783,0
0.998537,0
0.921599,0
0.999512,0
0.988539,0
0.728944,0
0.953568,0
0.984668,0
0.955556,0
0.977524,0
0.955994,0
0.957885,0
0.967973,0
0.869066,0
0.98419,0
0.996657,0
0.705133,0
0.999512,0
0.988498,0
0.94692,0
0.997075,0
0.922077,0
0.999512,0
0.958411,0
0.823677,0
0.996637,0
0.806923,0
0.928295,0
0.999512,0
0.999512,0
0.999512,0
0.906834,0
0.979405,0
0.950303,0
0.960322,0
0.97845,0
0.925382,0
0.863823,0
0.990751,0
0.865246,0
0.991364,0
0.999512,0
0.94883,0
0.96653,0
0.98612,0
0.906367,0
0.966998,0
0.920625,0
0.998537,0
0.037876,0
0.92738,0
0.99808,0
0.966052,0
0.96653,0
0.98422,0
0.98612,0
0.974161,0
0.984688,0
0.954571,0
0.96846,0
0.985175,0
0.963607,0
0.880558,0
0.985623,0
0.975136,0
0.999025,0
0.741476,0
0.9823,0
0.869118,0
0.949328,0
0.989453,0
-1,0
0.930654,0
0.911153,0
0.990409,0
0.980867,0
0.988996,0
0.680299,0
0.999025,0
0.947298,0
0.988996,0
0.759156,0
0.961267,0
0.953129,0
0.85278,0
0.948373,0
0.919718,0
0.990428,0
0.999512,0
1,0
0.99806,0
0.99805,0
0.975136,0
0.957944,0
0.977992,0
0.93118,0
0.992319,0
0.927857,0
0.914302,0
0.993181,0
0.990418,0
0.947905,0
0.483226,0
0.946864,0
