@relation 'ALLModels-weka.filters.unsupervised.attribute.Remove-R1-2,29-30-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,1-weka.filters.unsupervised.attribute.Remove-R1-4,6-7,35-37-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,1-weka.filters.unsupervised.attribute.NumericToBinary-Rlast-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-weka.filters.unsupervised.attribute.Remove-R1-13,15-27'

@attribute 'd(LOC, CBO)' numeric
@attribute #Normal_binarized {0,1}

@data
0.720033,1
0.720033,1
0.720033,1
0.606712,1
0.606712,1
0.606712,1
0.143813,1
0.143813,1
-0.209416,1
-0.209416,1
0.617091,1
0.54762,1
0.669618,0
0.627082,0
0.598104,1
0.582097,0
0.959681,1
0.714032,0
0.57912,0
0.919788,0
0.663864,0
0.928129,0
0.901518,0
0.871533,0
0.711081,0
0.967508,0
0.647117,1
0.647117,1
0.647117,1
0.423302,1
0.918223,0
0.930544,0
0.802595,0
0.930097,0
0.326306,1
0.326306,1
0.326306,1
0.655568,1
0.655568,1
0.336399,1
0.336399,1
0.600345,1
0.600345,1
0.838013,1
0.838013,1
0.407777,1
0.955745,1
0.752398,1
0.835694,1
0.646184,1
0.689907,1
0.822157,1
0.965048,1
0.859076,1
0.668562,1
0.956364,0
0.95617,0
0.648126,0
0.998502,0
0.94689,0
0.484027,0
0.90248,0
0.917798,0
0.990227,0
0.995015,0
0.815034,0
0.93609,0
0.994588,0
0.986651,0
0.900915,0
0.771825,0
0.932624,0
0.556738,0
0.986183,0
0.863662,0
0.901899,0
0.963617,0
0.9994,0
0.948747,0
0.820304,0
0.390939,0
0.894117,0
0.956618,0
0.95626,0
0.77271,0
0.92909,0
0.588181,0
0.379416,0
0.903155,0
0.87151,0
0.910843,0
0.942713,0
0.968536,0
0.986247,0
0.925245,0
0.994588,0
0.927728,0
0.980577,0
0.972942,0
0.938997,0
0.932579,0
0.807491,0
0.976363,0
0.951295,0
0.987657,0
0.703238,0
0.814543,0
0.953219,0
0.990741,0
0.748487,0
0.154082,1
0.154082,1
0.65109,1
0.765585,1
0.928643,0
0.701051,1
0.894609,1
0.821381,1
0.835485,0
0.973948,0
0.883741,0
0.998076,0
0.763664,0
0.902548,0
0.930611,0
0.997518,0
0.620716,0
0.883385,0
0.995147,0
0.627269,0
0.936068,0
0.920235,0
0.903867,0
0.906483,0
0.671167,0
0.85315,0
0.697776,1
0.926094,0
0.850763,0
0.966568,0
0.869966,0
0.420581,0
0.791234,1
0.81527,1
0.770791,1
0.557329,1
0.9449,0
0.811736,1
0.877882,0
0.926434,0
0.843825,0
0.935576,0
0.773573,1
0.773573,1
0.773573,1
-0.082,1
-0.082,1
-0.082,1
0.906349,1
0.906349,1
0.846515,1
0.846515,1
0.934414,1
0.934414,1
0.566308,1
0.566308,1
0.775025,1
0.734739,1
0.893625,1
0.878711,1
0.848436,1
0.872707,1
0.914423,1
0.953241,1
0.886291,1
0.955187,1
0.777508,1
0.970482,1
0.847269,1
0.917151,1
0.978309,1
0.964855,0
0.954315,0
0.858137,0
0.996448,0
0.997389,0
0.785055,0
0.969476,0
0.643416,0
0.944386,0
0.93495,0
0.978506,0
0.927785,0
0.956193,0
0.92757,0
0.93799,0
0.933197,0
0.974373,0
0.997114,0
0.983765,0
0.911827,0
0.997988,0
0.992128,0
-0.014406,0
0.8449,0
0.932064,0
0.96308,0
0.973478,0
0.983721,0
0.948703,0
0.922581,0
0.980858,0
0.970974,0
0.998208,0
0.919274,0
0.999552,0
0.988259,0
0.721066,0
0.952104,0
0.984235,0
0.95418,0
0.976811,0
0.954629,0
0.956707,0
0.967105,0
0.865278,0
0.982205,0
0.996623,0
0.696553,0
0.999315,0
0.988193,0
0.945415,0
0.997026,0
0.919811,0
0.999552,0
0.957199,0
0.81843,0
0.996645,0
0.801166,0
0.926183,0
0.999486,0
0.999421,0
0.999213,0
0.903933,0
0.978912,0
0.948858,0
0.959144,0
0.977928,0
0.923277,0
0.859773,0
0.990335,0
0.861319,0
0.991036,0
0.99953,0
0.947337,0
0.965562,0
0.985711,0
0.9036,0
0.96601,0
0.918223,0
0.998546,0
0.010042,0
0.925132,0
0.998098,0
0.965026,0
0.965562,0
0.983787,0
0.985733,0
0.972935,0
0.984279,0
0.953175,0
0.967464,0
0.98464,0
0.962633,0
0.87699,0
0.985308,0
0.974395,0
0.99906,0
0.733904,0
0.981753,0
0.865278,0
0.94792,0
0.989004,0
-1,0
0.928554,0
0.908474,0
0.990205,0
0.980299,0
0.988707,0
0.670825,0
0.999016,0
0.945581,0
0.988707,0
0.751788,0
0.960218,0
0.951855,0
0.848253,0
0.946936,0
0.917374,0
0.990227,0
0.999274,0
1,0
0.998098,0
0.99801,0
0.974373,0
0.95664,0
0.977325,0
0.929158,0
0.992128,0
0.925624,0
0.91161,0
0.99309,0
0.990249,0
0.946376,0
0.46792,0
0.945281,0
