@relation 'ALLModels-weka.filters.unsupervised.attribute.Remove-R1-2,29-30-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,1-weka.filters.unsupervised.attribute.Remove-R1-4,6-7,35-37-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,1-weka.filters.unsupervised.attribute.NumericToBinary-Rlast-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-weka.filters.unsupervised.attribute.Remove-R1-9,11-27'

@attribute 'd(Qi,FANIN)' numeric
@attribute #Normal_binarized {0,1}

@data
0.979779,1
0.979779,1
0.979779,1
0.973046,1
0.973046,1
0.973046,1
0.952836,1
0.952836,1
0.023116,1
0.023116,1
0.966305,1
0.959573,1
0.97304,0
0.97304,0
0.95284,1
0.959572,0
0.97304,1
0.973041,0
0.966307,0
0.999989,0
0.973041,0
0.979777,0
0.999989,0
0.999989,0
0.993252,0
0.999989,0
0.966313,1
0.966313,1
0.966313,1
0.831568,1
0.973043,0
0.966303,0
0.912417,0
0.966303,0
0.851779,1
0.851779,1
0.851779,1
0.885469,1
0.885469,1
0.797877,1
0.797877,1
0.973052,1
0.973052,1
0.986515,1
0.986515,1
0.973042,1
0.979778,1
0.966306,1
0.973043,1
0.979788,1
0.979783,1
0.858508,1
0.979777,1
0.946102,1
0.831572,1
0.696816,0
0.97304,0
0.952832,0
0.993252,0
0.979777,0
0.467767,0
0.952829,0
0.993252,0
0.993252,0
0.97304,0
0.993254,0
0.97304,0
0.999989,0
0.993259,0
0.986519,0
0.966305,0
0.986515,0
0.95284,0
0.946098,0
0.979777,0
0.986519,0
0.999989,0
0.993252,0
0.993252,0
0.952829,0
0.966312,0
0.952829,0
0.979778,0
0.97304,0
0.97978,0
0.979778,0
0.973041,0
0.993252,0
0.952829,0
0.952829,0
0.993256,0
0.952829,0
0.999989,0
0.999989,0
0.97304,0
0.999989,0
0.979777,0
0.919143,0
0.999989,0
0.999989,0
0.979778,0
0.952829,0
0.979777,0
0.979777,0
0.986515,0
0.575551,0
0.993252,0
0.97304,0
0.999989,0
0.979777,0
0.986515,1
0.986515,1
0.797875,1
0.946096,1
0.959566,0
0.925884,1
0.97304,1
0.986516,1
0.959566,0
0.979777,0
0.979779,0
0.999989,0
0.973046,0
0.999989,0
0.97304,0
0.986515,0
0.973049,0
0.97304,0
0.999989,0
0.979782,0
0.993252,0
0.97304,0
0.986515,0
0.979778,0
0.986522,0
0.831569,0
0.993253,1
0.973043,0
0.784412,0
0.838297,0
0.946092,0
0.979783,0
0.818093,1
0.966315,1
0.986516,1
0.932629,1
0.97304,0
0.912406,1
1,0
0.912406,0
0.973044,0
0.986515,0
0.973042,1
0.973042,1
0.973042,1
0.973052,1
0.973052,1
0.973052,1
0.952829,1
0.952829,1
0.979777,1
0.979777,1
0.999999,1
0.999999,1
0.95284,1
0.95284,1
0.97304,1
0.986524,1
0.979778,1
0.979787,1
0.993252,1
-0.253116,1
0.993252,1
0.999989,1
0.959566,1
0.979777,1
0.97305,1
0.999989,1
0.979777,1
0.885468,1
1,1
0.966303,0
0.97304,0
0.97304,0
0.993252,0
0.986515,0
0.986518,0
0.966303,0
0.973045,0
0.993252,0
1,0
0.999989,0
0.865246,0
0.999989,0
0.993263,0
0.993252,0
0.993252,0
0.966306,0
0.993252,0
0.999989,0
0.993252,0
0.993252,0
0.986515,0
0.999989,0
0.97304,0
0.999989,0
0.979778,0
0.999989,0
1,0
0.946101,0
-1,0
0.986515,0
0.993252,0
0.97304,0
0.993252,0
0.993252,0
0.999989,0
0.979787,0
0.919143,0
0.97304,0
0.999999,0
0.959566,0
0.912406,0
0.979778,0
0.993252,0
0.986515,0
0.245425,0
0.999989,0
0.979778,0
0.999989,0
0.986515,0
0.979777,0
0.986515,0
0.986515,0
0.993252,0
0.993252,0
0.966304,0
0.999989,0
0.979778,0
0.993252,0
0.993252,0
0.993252,0
0.986515,0
0.993263,0
0.999989,0
0.993252,0
0.973043,0
0.993252,0
0.993252,0
0.993252,0
0.999989,0
0.973041,0
0.966303,0
0.999989,0
0.993252,0
0.999989,0
0.999989,0
0.979778,0
0.986515,0
0.993261,0
0.993252,0
0.979783,0
0.999999,0
0.999989,0
0.986515,0
0.986515,0
0.999989,0
0.999989,0
0.87872,0
0.979777,0
0.986515,0
1,0
0.845034,0
0.986515,0
0.986515,0
0.993252,0
0.973043,0
0.993252,0
0.986519,0
0.95283,0
0.993252,0
0.993252,0
0.939354,0
0.979787,0
0.973048,0
0.999989,0
0.999989,0
0.979778,0
0.999989,0
0.97304,0
0.993252,0
0.979778,0
0.999989,0
0.97304,0
0.986515,0
0.986515,0
0.932617,0
0.993252,0
0.993252,0
0.986515,0
0.993252,0
0.999989,0
0.993252,0
0.993252,0
0.966306,0
0.986515,0
0.973041,0
0.993252,0
0.999989,0
1,0
0.898934,0
0.993252,0
0.959566,0
0.999989,0
0.979777,0
0.939355,0
