@relation 'ALLModels-weka.filters.unsupervised.attribute.Remove-R1-2,29-30-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,1-weka.filters.unsupervised.attribute.Remove-R1-4,6-7,35-37-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,1-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-weka.filters.unsupervised.attribute.NumericToBinary-Rlast'

@attribute WMC numeric
@attribute CBO numeric
@attribute RFC numeric
@attribute Ca numeric
@attribute Ce numeric
@attribute LOC numeric
@attribute Qi numeric
@attribute FANIN numeric
@attribute 'd(LOC,FANIN)' numeric
@attribute 'd(Qi,FANIN)' numeric
@attribute 'd(WMC,FANIN)' numeric
@attribute 'd( WMC,CBO)' numeric
@attribute 'd(Qi,CBO)' numeric
@attribute 'd(LOC, CBO)' numeric
@attribute 'd(LOC, Ce)' numeric
@attribute 'd(LOC, Ca)' numeric
@attribute 'd(WMC, Ce)' numeric
@attribute 'd(WMC, Ca)' numeric
@attribute 'd(RFC,d(LOC, Ca))' numeric
@attribute 'd(RFC, Ca)' numeric
@attribute 'd(LOC,d(RFC, Ca))' numeric
@attribute 'd(LOC, RFC, Ca)' numeric
@attribute 'd(d(LOC,Ce),d(RFC, Ca))' numeric
@attribute 'd(LOC, WMC)' numeric
@attribute 'd(d(LOC,WMC),d(RFC, Ca))' numeric
@attribute 'D(d(LOC,RFC), d(LOC,Ca), d(RFC, Ca))' numeric
@attribute 'd(LOC, RFC)' numeric
@attribute #Normal_binarized {0,1}

@data
-0.626374,-0.927461,-0.333333,-0.979167,-0.714286,-0.731857,0.166744,-0.979798,0.713341,0.979779,0.936151,0.860055,0.927413,0.720033,0.729889,0.719977,0.596592,0.90306,-0.797883,0.596056,0.729981,0.714486,-0.729175,0.728095,-0.727376,-0.499657,0.499657,1
-0.538462,-0.84456,-0.220657,-0.979167,-0.257143,-0.623468,-0.360958,-0.973064,0.597543,0.973046,0.919679,0.759105,0.844459,0.606712,0.620682,0.606816,0.44861,0.886191,-0.682718,0.538364,0.620833,0.599486,-0.620023,0.618214,-0.617551,-0.317817,0.317817,1
-0.252747,-0.740933,0.295775,-0.96875,0.257143,-0.180019,-0.531916,-0.952862,0.124507,0.952836,0.870908,0.602044,0.740761,0.143813,0.173966,0.144114,0.107757,0.825776,-0.201725,0.316291,0.17446,0.129193,-0.173241,0.168695,-0.167966,0.30379,-0.30379,1
1,0.626943,0.99061,0.541667,-0.028571,0.155514,-0.793464,-0.023569,-0.240257,0.023116,-0.357955,-1,-0.62802,-0.209416,-0.163999,-0.209933,-0.81714,-1,0.169003,-1,-0.156532,-0.230714,0.169493,-0.171717,0.177244,0.643441,-0.643441,1
-0.604396,-0.865285,-0.15493,-0.989583,-0.257143,-0.633365,0.290044,-0.96633,0.608067,0.966305,0.917461,0.792754,0.86519,0.617091,0.63065,0.617175,0.514149,0.90988,-0.694025,0.513258,0.630827,0.609865,-0.629862,0.628273,-0.627479,-0.333932,0.333932,1
-0.406593,-0.813472,-0.183099,-0.989583,-0.028571,-0.566918,-0.564062,-0.959596,0.53708,0.959573,0.891505,0.703209,0.813353,0.54762,0.563707,0.547813,0.291061,0.873728,-0.621783,0.526792,0.563874,0.539567,-0.56312,0.560848,-0.560258,-0.227608,0.227608,1
-0.758242,-0.823834,-0.220657,-1,-0.028571,-0.683789,0.71136,-0.973064,0.661959,0.97304,0.940905,0.782435,0.823706,0.669618,0.681432,0.669843,0.645738,0.951833,-0.747842,0.552024,0.68159,0.663412,-0.680669,0.679444,-0.678676,-0.417565,0.417565,0
-0.78022,-0.927461,-0.42723,-1,-0.6,-0.64279,0.817404,-0.973064,0.618174,0.97304,0.943172,0.890553,0.927408,0.627082,0.640165,0.627041,0.730379,0.956435,-0.701569,0.659532,0.640201,0.620443,-0.639903,0.637908,-0.637645,-0.349374,0.349374,0
0.054945,-0.740933,0.014085,-0.927083,0.142857,-0.615457,-0.96516,-0.952862,0.58886,0.95284,0.850551,0.556833,0.740772,0.598104,0.612594,0.598319,-0.187618,0.736793,-0.675757,0.393812,0.612919,0.59044,-0.611297,0.609883,-0.608579,-0.304841,0.304841,1
-0.582418,-0.834197,0.098592,-0.989583,-0.142857,-0.599906,-0.418838,-0.959596,0.572298,0.959572,0.907088,0.757001,0.83409,0.582097,0.596941,0.582247,0.479477,0.905656,-0.659571,0.402471,0.597243,0.574002,-0.595746,0.594355,-0.593152,-0.279838,0.279838,0
-0.934066,-0.968912,-0.868545,-1,-0.828571,-0.961357,0.933108,-0.973064,0.95855,0.97304,0.959777,0.964394,0.968889,0.959681,0.961072,0.959685,0.911745,0.98999,-0.989537,0.920925,0.96107,0.958788,-0.961119,0.960809,-0.960857,-0.92346,0.92346,1
-0.736264,-0.88601,-0.399061,-1,-0.371429,-0.726202,0.6336,-0.973064,0.70726,0.973041,0.938663,0.839959,0.885928,0.714032,0.724172,0.714123,0.658656,0.94728,-0.791039,0.644242,0.724249,0.708688,-0.723696,0.722414,-0.721935,-0.48988,0.48988,0
-0.120879,-0.823834,-0.070423,-0.979167,-0.142857,-0.597078,-0.212382,-0.96633,0.569322,0.966307,0.87837,0.668139,0.823716,0.57912,0.594093,0.579268,0.023589,0.817653,-0.655328,0.466974,0.594319,0.571258,-0.593203,0.591308,-0.590413,-0.27532,0.27532,0
-0.934066,-0.948187,-0.774648,-1,-0.714286,-0.923186,0.944912,-1,0.917893,0.999989,0.99259,0.943853,0.948149,0.919788,0.922614,0.919819,0.896556,0.98999,-0.971831,0.86221,0.92262,0.918135,-0.922517,0.922127,-0.922029,-0.849319,0.849319,0
-0.67033,-0.88601,-0.323944,-0.989583,-0.428571,-0.678134,0.694102,-0.973064,0.655919,0.973041,0.932096,0.826643,0.885927,0.663864,0.675756,0.663912,0.600166,0.922854,-0.740622,0.597761,0.675855,0.657606,-0.675208,0.673672,-0.67312,-0.40806,0.40806,0
-0.934066,-0.937824,-0.802817,-0.989583,-0.657143,-0.931197,0.97733,-0.979798,0.926347,0.979777,0.967977,0.933597,0.937778,0.928129,0.930681,0.928163,0.889291,0.979175,-0.976134,0.873832,0.93069,0.926665,-0.93061,0.930245,-0.930174,-0.864759,0.864759,0
-0.912088,-0.917098,-0.633803,-1,-0.542857,-0.905749,0.934196,-1,0.899258,0.999989,0.990171,0.908271,0.917038,0.901518,0.905041,0.90161,0.85359,0.985054,-0.963838,0.777097,0.905078,0.899337,-0.904485,0.904447,-0.903887,-0.815936,0.815936,0
-0.846154,-0.927461,-0.661972,-1,-0.6,-0.877003,0.784736,-1,0.868537,0.999989,0.983066,0.904333,0.927408,0.871533,0.876087,0.871589,0.795313,0.97053,-0.93789,0.793819,0.876109,0.868962,-0.875823,0.875285,-0.875018,-0.761566,0.761566,0
-0.89011,-0.88601,-0.568075,-1,-0.371429,-0.723374,0.737804,-0.993266,0.704362,0.993252,0.979555,0.872697,0.885927,0.711081,0.721324,0.711171,0.812279,0.980166,-0.785615,0.738699,0.721345,0.706082,-0.7212,0.719624,-0.719499,-0.485005,0.485005,0
