@relation 'ALLModels-weka.filters.unsupervised.attribute.Remove-R1-2,29-30-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,1-weka.filters.unsupervised.attribute.Remove-R1-4,6-7,35-37-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,1-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-weka.filters.unsupervised.attribute.NumericToBinary-Rlast-weka.filters.unsupervised.attribute.Remove-R1-10,12-27'

@attribute 'd(WMC,FANIN)' numeric
@attribute #Normal_binarized {0,1}

@data
0.936151,1
0.919679,1
0.870908,1
-0.357955,1
0.917461,1
0.891505,1
0.940905,0
0.943172,0
0.850551,1
0.907088,0
0.959777,1
0.938663,0
0.87837,0
0.99259,0
0.932096,0
0.967977,0
0.990171,0
0.983066,0
0.979555,0
0.995035,0
0.894492,1
0.719896,1
0.945467,0
0.939551,0
0.833013,0
0.949122,0
0.732078,1
0.77572,1
0.687329,1
0.921682,1
0.959679,1
0.913832,1
0.967977,1
0.915399,1
0.945467,1
0.928006,1
0.928006,1
0.800812,1
0.963118,1
0.907887,1
0.725296,1
0.612105,0
0.950133,0
0.894707,0
0.989313,0
0.956024,0
0.283412,0
0.923087,0
0.972506,0
0.986836,0
0.952505,0
0.946648,0
0.943172,0
0.995035,0
0.984383,0
0.966595,0
0.939551,0
0.971336,0
0.828731,0
0.927,0
0.956024,0
0.966595,0
0.985409,0
0.989313,0
0.984383,0
0.923087,0
0.917461,0
0.925455,0
0.960728,0
0.947787,0
0.924094,0
0.958363,0
0.917703,0
0.97718,0
0.925455,0
0.925455,0
0.972506,0
0.92785,0
0.987777,0
0.995035,0
0.957327,0
0.995035,0
0.958363,0
0.886804,0
0.995035,0
0.99259,0
0.960728,0
0.916138,0
0.965535,0
0.963118,0
0.976179,0
0.415345,0
0.972506,0
0.952505,0
0.99259,0
0.960728,0
0.940341,1
0.69738,1
0.903373,1
0.931318,0
0.849718,1
0.945467,1
0.94655,1
0.913377,0
0.958363,0
0.951425,0
0.997505,0
0.92996,0
0.99259,0
0.945467,0
0.981124,0
0.899437,0
0.952505,0
0.995035,0
0.938254,0
0.981957,0
0.943172,0
0.973744,0
0.940383,0
0.932435,0
0.753952,0
0.956963,1
0.950133,0
0.657738,0
0.788537,0
0.927,0
0.936151,0
0.746713,1
0.921667,1
0.955197,1
0.873861,1
0.947787,0
0.842771,1
0.995035,0
0.868996,0
0.940905,0
0.968953,0
0.925767,1
0.850551,1
0.916138,1
0.949164,1
0.987777,1
0.885004,1
0.945467,1
0.926788,1
0.960728,1
0.951425,1
0.963468,1
-0.544807,1
0.981957,1
0.990171,1
0.936066,1
0.965535,1
0.932096,1
0.990171,1
0.953711,1
0.833719,1
0.995035,1
0.94669,0
0.957327,0
0.945467,0
0.97483,0
0.971336,0
0.948672,0
0.949122,0
0.940905,0
0.97483,0
0.995035,0
0.983066,0
0.811424,0
0.99259,0
0.984383,0
0.97483,0
0.954847,0
0.951579,0
0.989313,0
0.99259,0
0.972506,0
0.981957,0
0.978639,0
0.997505,0
0.947787,0
0.983066,0
0.960728,0
0.985409,0
0.995035,0
0.912508,0
-1,0
0.971336,0
0.981957,0
0.959777,0
0.972506,0
0.989313,0
1,0
0.913006,0
0.874902,0
0.954903,0
0.99259,0
0.943384,0
0.87616,0
0.953711,0
0.984383,0
0.964264,0
0.087302,0
1,0
0.928006,0
0.997505,0
0.973744,0
0.958363,0
0.968953,0
0.964264,0
0.989313,0
0.981957,0
0.934922,0
0.995035,0
0.942539,0
0.97483,0
0.989313,0
0.989313,0
0.981124,0
0.981957,0
0.985409,0
0.984383,0
0.957327,0
0.97718,0
0.963468,0
0.97483,0
0.956977,0
0.947787,0
0.949122,0
0.997505,0
0.97483,0
0.990171,0
0.99259,0
0.967977,0
0.971336,0
0.967935,0
0.984383,0
0.90783,0
0.99259,0
0.997505,0
0.973744,0
0.973744,0
0.995035,0
0.99259,0
0.840134,0
0.967977,0
0.968953,0
0.995035,0
0.807075,0
0.959679,0
0.971336,0
0.979555,0
0.959777,0
0.986836,0
0.94655,0
0.935191,0
0.984383,0
0.979555,0
0.916323,0
0.906159,0
0.943172,0
0.995035,0
0.990171,0
0.967977,0
0.995035,0
0.919679,0
0.986836,0
0.934075,0
0.995035,0
0.932096,0
0.971336,0
0.966595,0
0.886847,0
0.979555,0
0.979555,0
0.978639,0
0.989313,0
1,0
0.984383,0
0.981957,0
0.951579,0
0.976179,0
0.957327,0
0.979555,0
0.990171,0
0.99259,0
0.824117,0
0.959105,0
0.943384,0
0.990171,0
0.958363,0
0.895109,0
