@relation 'ALLModels-weka.filters.unsupervised.attribute.Remove-R1-10,29-30,42-43,46-weka.filters.unsupervised.attribute.Remove-R29,31-weka.filters.unsupervised.attribute.NumericToBinary-Rlast-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-weka.filters.unsupervised.attribute.Remove-R1-26,28'

@attribute 'd(LOC, RFC)' numeric
@attribute #Nbugs_binarized {0,1}

@data
0.499657,1
0.317817,1
-0.30379,1
-0.643441,1
0.333932,1
0.227608,1
0.417565,0
0.349374,1
0.304841,1
0.279838,0
0.92346,1
0.48988,0
0.27532,0
0.849319,0
0.40806,0
0.864759,0
0.815936,0
0.761566,0
0.485005,0
0.938277,0
0.3813,1
0.048582,1
0.8466,0
0.869312,0
0.639904,0
0.868401,0
-0.082196,1
0.396219,1
-0.068739,1
0.307892,1
0.70193,1
0.026856,1
0.916073,1
0.554007,1
0.697586,1
0.379733,1
0.450287,1
0.674224,1
0.93364,1
0.739522,1
0.415976,1
0.918841,0
0.916996,0
0.382869,0
0.997173,0
0.899503,0
0.134909,0
0.817735,0
0.845696,0
0.981194,0
0.990585,0
0.661312,0
0.879349,0
0.989645,0
0.974632,0
0.81504,0
0.58658,0
0.872959,0
0.241675,0
0.974632,0
0.747442,0
0.816836,0
0.930861,0
0.999057,0
0.903178,0
0.670776,0
0.003354,0
0.802491,0
0.917917,0
0.916994,0
0.588256,0
0.866579,0
0.288904,0
-0.012598,0
0.818634,0
0.761567,0
0.833041,0
0.892161,0
0.940134,0
0.973696,0
0.859303,0
0.989645,0
0.86385,0
0.96341,0
0.948497,0
0.884835,0
0.872959,0
0.648452,0
0.955015,0
0.907778,0
0.976506,0
0.472847,0
0.660453,0
0.911462,0
0.982132,0
0.547371,0
-0.29262,1
0.388357,1
0.576519,1
0.865669,1
0.468803,1
0.803385,1
0.672498,1
0.697586,0
0.950358,0
0.783749,0
0.996232,0
0.573176,0
0.817733,0
0.869312,0
0.99529,0
0.339328,0
0.78286,0
0.990586,0
0.350149,0
0.87935,0
0.850226,0
0.820431,0
0.824929,0
0.419947,0
0.728988,0
0.463156,1
0.861119,0
0.725481,0
0.936422,0
0.758915,0
0.043808,0
0.620335,1
0.662169,1
0.5849,1
0.24242,1
0.89583,1
0.656161,1
0.773085,0
0.86203,0
0.71238,0
0.878436,0
0.589938,1
-0.535648,1
0.824929,1
0.716744,1
0.876608,1
0.255828,1
0.59246,1
0.524243,1
0.801596,1
0.774859,1
0.720238,1
0.766878,1
0.839363,1
0.911462,1
0.788204,1
0.915149,1
0.596668,1
0.943848,1
0.71849,1
0.84479,1
0.958743,1
0.935495,1
0.913306,1
0.737763,1
0.993407,0
0.99529,0
0.609326,0
0.94199,0
0.375046,0
0.894913,0
0.877522,0
0.959677,0
0.864759,0
0.916995,0
0.863848,0
0.883005,0
0.874782,0
0.951288,0
0.994349,0
0.969017,0
0.834846,0
0.996231,0
0.984948,0
-0.47229,0
0.714125,0
0.872047,0
0.929935,0
0.949427,0
0.969017,0
0.903178,0
0.858393,0
0.96341,0
0.944777,0
0.997173,0
0.848413,0
0.999057,0
0.977444,0
0.50129,0
0.90962,0
0.969953,0
0.913305,0
0.955947,0
0.914228,0
0.917917,0
0.93735,0
0.750089,0
0.969017,0
0.993408,0
0.460742,0
0.999057,0
0.977443,0
0.896748,0
0.994348,0
0.849319,0
0.999057,0
0.918841,0
0.66733,0
0.993408,0
0.637348,0
0.86112,0
0.999057,0
0.999057,0
0.999057,0
0.820431,0
0.959677,0
0.903178,0
0.922535,0
0.95781,0
0.855669,0
0.740403,0
0.98213,0
0.74304,0
0.98307,0
0.999057,0
0.900421,0
0.934567,0
0.97276,0
0.819533,0
0.935494,0
0.846601,0
0.997173,0
-0.44781,0
0.859302,0
0.996232,0
0.933641,0
0.934567,0
0.969017,0
0.97276,0
0.949427,0
0.969953,0
0.911462,0
0.938277,0
0.970888,0
0.92901,0
0.77131,0
0.971824,0
0.951288,0
0.998115,0
0.5226,0
0.965278,0
0.750088,0
0.90134,0
0.979318,0
-1,0
0.865668,0
0.828532,0
0.981194,0
0.962476,0
0.97838,0
0.419153,0
0.998115,0
0.897665,0
0.97838,0
0.553175,0
0.924385,0
0.9087,0
0.72024,0
0.899503,0
0.844791,0
0.981194,0
0.999057,0
1,0
0.996231,0
0.996231,0
0.951288,0
0.917918,0
0.956878,0
0.86658,0
0.984948,0
0.860211,0
0.834845,0
0.986825,0
0.981194,0
0.898585,0
0.110206,0
0.896748,0
