@relation 'ALLModels-weka.filters.unsupervised.attribute.Remove-R1-10,29-30,42-43,46-weka.filters.unsupervised.attribute.Remove-R29,31-weka.filters.unsupervised.attribute.NumericToBinary-Rlast-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-weka.filters.unsupervised.attribute.Remove-R1-11,13-28'

@attribute 'd( WMC,CBO)' numeric
@attribute #Nbugs_binarized {0,1}

@data
0.860055,1
0.759105,1
0.602044,1
-1,1
0.792754,1
0.703209,1
0.782435,0
0.890553,1
0.556833,1
0.757001,0
0.964394,1
0.839959,0
0.668139,0
0.943853,0
0.826643,0
0.933597,0
0.908271,0
0.904333,0
0.872697,0
0.948679,0
0.756082,1
0.516435,1
0.874385,0
0.889352,0
0.78855,0
0.928796,0
0.629225,1
0.287048,1
0.589103,1
0.773804,1
0.859432,1
0.641256,1
0.964394,1
0.809575,1
0.92624,1
0.811918,1
0.79077,1
0.803083,1
0.934337,1
0.813421,1
0.666655,1
0.504693,0
0.914663,0
0.80134,0
0.953548,0
0.94115,0
0.424911,0
0.87902,0
0.910044,0
0.989717,0
0.909019,0
0.879497,0
0.942598,0
0.958923,0
0.923351,0
0.842556,0
0.961931,0
0.954961,0
0.485097,0
0.690769,0
0.899693,0
0.842556,0
0.950312,0
0.912756,0
0.913115,0
0.868697,0
0.803257,0
0.883702,0
0.89872,0
0.951536,0
0.85711,0
0.904333,0
0.818501,0
0.950312,0
0.96645,0
0.894013,0
0.87902,0
0.837131,0
0.954961,0
0.969178,0
0.959655,0
0.958923,0
0.956075,0
0.826902,0
0.958923,0
0.954119,0
0.929647,0
0.844494,0
0.939073,0
0.944645,0
0.933597,0
0.561401,0
0.930772,0
0.919328,0
0.995278,0
0.87815,0
0.799044,1
0.578275,1
0.793891,1
0.920404,1
0.692572,1
0.874385,1
0.874778,1
0.80137,0
0.945708,0
0.849077,0
0.98425,0
0.80137,0
0.933597,0
0.915851,0
0.953548,0
0.813681,0
0.929647,0
0.989717,0
0.738781,0
0.959655,0
0.890553,0
0.857138,0
0.87902,0
0.761502,0
0.776097,0
0.816193,1
0.883702,0
0.487536,0
0.950312,0
0.882469,0
0.860055,0
0.825063,1
0.780471,1
0.923379,1
0.683754,1
0.930772,1
0.712793,1
0.9078,0
0.797444,0
0.813421,0
0.950312,0
0.824287,1
0.385765,1
0.834127,1
0.917314,1
0.872697,1
0.707127,1
0.853707,1
0.802996,1
0.88843,1
0.797444,1
0.892032,1
-0.252484,1
0.959655,1
0.939073,1
0.909019,1
0.928796,1
0.837102,1
0.949359,1
0.822763,1
0.823769,1
0.938444,1
0.301789,1
0.980276,1
0.843383,1
0.883702,0
0.872697,0
0.910542,0
0.939073,0
0.927752,0
0.925002,0
0.9078,0
0.770948,0
0.73582,0
0.943853,0
0.90289,0
0.925002,0
0.707612,0
0.933597,0
0.994503,0
0.954119,0
0.87902,0
0.928796,0
0.958923,0
0.98425,0
0.868697,0
0.914663,0
0.929647,0
0.960658,0
0.938444,0
0.864041,0
-0.535496,0
0.965287,0
0.949359,0
0.801224,0
0.910044,0
0.98425,0
0.999334,0
0.8349,0
0.834127,0
0.934337,0
0.923351,0
0.923351,0
0.883702,0
0.92624,0
0.984974,0
0.961931,0
0.043938,0
0.999334,0
0.896799,0
0.872134,0
0.949359,0
0.945708,0
0.929647,0
0.930772,0
0.98425,0
0.949359,0
0.900945,0
1,0
0.862374,0
0.925002,0
0.953548,0
0.922938,0
0.821612,0
0.887787,0
0.971013,0
0.964394,0
0.939073,0
0.971013,0
0.923379,0
0.925002,0
0.725556,0
0.951536,0
0.898024,0
0.974006,0
0.925002,0
0.949359,0
0.943853,0
0.964394,0
0.924039,0
0.869797,0
0.964394,0
0.8353,0
0.913115,0
0.994503,0
0.928796,0
0.949359,0
0.969178,0
0.954119,0
0.700166,0
0.964394,0
0.89872,0
0.928219,0
0.9078,0
0.932172,0
0.934337,0
0.975622,0
0.943853,0
0.979443,0
0.906359,0
0.933597,0
0.984974,0
0.975622,0
0.867344,0
0.810299,0
0.869797,0
0.948679,0
0.969961,0
0.943853,0
0.969178,0
0.833096,0
0.958923,0
0.740365,0
0.969178,0
0.77448,0
0.975622,0
0.96645,0
0.804273,0
0.975622,0
0.954961,0
0.989717,0
0.85189,0
0.968665,0
0.984974,0
0.939073,0
0.933597,0
0.923351,0
0.928796,0
0.944645,0
0.949359,0
0.913115,0
0.708643,0
0.89379,0
0.995278,0
0.949359,0
0.956075,0
0.856316,0
