@relation 'ALLModels-weka.filters.unsupervised.attribute.Remove-R1-2,30-weka.filters.unsupervised.attribute.Remove-R38-43-weka.filters.unsupervised.attribute.Remove-R1-8-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,20,21,22,23,24,25,26,27,28,29,19-weka.filters.unsupervised.attribute.Remove-R1-14,16-28'

@attribute 'd(LOC, Ce)' numeric
@attribute Risk1 numeric

@data
4157.13904,0
4155.14741,0
3529.081609,0
4241.128388,0
4136.139746,0
3197.075695,0
4046.111219,0
4077.110374,0
4224.136835,0
4234.136512,0
3868.124222,0
4114.132351,0
4233.113511,0
4217.113942,0
4043.0836,0
3780.162034,0
4107.140733,0
3344.043211,0
4217.113942,0
3967.098814,0
4045.083559,0
4170.130573,0
4243.136222,0
4140.088043,0
3879.108403,0
3006.087989,0
4029.111689,0
4156.087704,0
4155.139107,0
3782.135376,0
4100.095609,0
3407.099206,0
2982.171692,0
4047.151344,0
3983.120636,0
4063.110754,0
4128.148374,0
4180.130261,0
4216.12144,0
4092.12512,0
4233.113511,0
4097.149497,0
4205.121758,0
4189.114704,0
4120.116625,0
4107.109568,0
3853.101738,0
4196.107244,0
4145.115921,0
4219.136997,0
3642.131931,0
3867.1324,0
4149.101348,0
4225.144968,0
3733.083712,0
4237.136415,0
4239.144489,0
3807.143023,0
4182.122428,0
3519.174051,0
4131.116314,0
4112.088642,0
4201.145796,0
4098.117251,0
4155.108302,0
4097.088967,0
4118.116681,0
4109.035167,0
4192.129888,0
4238.144523,0
4211.121585,0
4065.089667,0
4240.113324,0
4228.121096,0
2180.280945,0
3929.079536,0
4106.10241,0
4169.107938,0
4190.137945,0
4211.106862,0
4140.094685,0
4091.141283,0
4205.145657,0
4185.114813,0
4241.144421,0
4080.110293,0
4243.144353,0
4220.14514,0
3677.139241,0
4147.115865,0
4212.145415,0
4151.1013,0
4197.129734,0
4152.139208,0
4156.139074,0
4177.138375,0
3970.154279,0
4211.137257,0
4237.144557,0
3627.168868,0
4243.144353,0
4220.136965,0
4133.139848,0
4238.136383,0
4081.125458,0
4243.136222,0
4157.123164,0
3875.108515,0
4237.144557,0
3840.094921,0
4094.117365,0
4243.136222,0
4243.128327,0
4243.136222,0
4049.083477,0
4201.137584,0
4140.12367,0
4161.130856,0
4199.145866,0
4088.133193,0
3959.121367,0
4225.042722,0
3962.137428,0
4226.113699,0
4243.136222,0
4137.116145,0
4174.122662,0
4215.113996,0
4048.142784,0
4175.138441,0
4078.096124,0
4241.136286,0
2230.244157,0
4092.095796,0
4240.136319,0
4173.107835,0
4174.115116,0
4211.121585,0
4215.121469,0
4190.12995,0
4212.137225,0
4149.09448,0
4178.100645,0
4213.11405,0
4168.130636,0
3994.112667,0
4214.145346,0
4192.129888,0
4242.136254,0
3703.14704,0
4207.1217,0
3970.145589,0
4138.148016,0
4222.121268,0
31,0
4099.082458,0
4058.110891,0
4224.136835,0
4204.114294,0
4221.121297,0
3575.101957,0
4242.128357,0
4134.043662,0
4221.121297,0
3740.048262,0
4163.147127,0
4146.14773,0
3936.138336,0
4136.148087,0
4076.133585,0
4224.145002,0
4243.136222,0
4244.128297,0
4240.144455,0
4240.136319,0
4192.129888,0
4156.101178,0
4198.100166,0
4100.117193,0
4228.136705,0
4093.095772,0
4065.031488,0
4230.144797,0
4224.145002,0
4135.123819,0
3162.193701,0
4133.131742,0
4175.146704,2
4151.147552,2
3956.106293,2
3910.122888,3
3525.095885,3
3614.116351,3
3883.140224,3
4173.107835,3
3958.085396,3
3571.031504,3
4028.083912,3
3998.066158,3
3936.114328,3
3989.098269,3
4070.133782,3
4149.108458,3
4013.119734,3
4153.115698,3
3792.096122,3
4184.122369,3
3934.067234,3
4076.082924,3
4200.107141,3
3843.087951,4
4102.10251,4
3996.091215,4
4095.132965,4
3927.061624,4
4113.140528,4
4078.082883,5
4103.124785,5
3041.032226,5
4154.147446,5
3741.120287,5
4094.082559,5
3942.015348,5
4176.138408,5
3980.120727,5
3066.166988,5
3705.098379,5
3663.078623,6
3389.059014,6
4081.110266,6
3561.087755,6
4098.10261,6
4044.090133,6
3983.098417,6
3657.078752,6
4178.107706,6
3546.011421,6
2896.145197,6
3432.070512,6
3915.086334,6
4191.146144,6
4008.071856,6
4240.136319,6
3764.064293,6
4046.111219,6
4103.132706,6
4239.144489,6
3473.156777,6
4007.112302,6
4234.136512,6
3487.046458,6
4114.132351,6
4082.110239,6
4049.065324,6
4054.118523,6
3576.067673,6
3946.050684,6
4132.116286,6
3932.146996,6
4111.076015,6
3363.042967,6
3869.068363,7
3778.135519,7
3345.05979,7
3862.116518,7
3787.082518,7
3486.112448,8
3073.136834,8
4099.124907,8
3630.072864,8
4054.118523,8
3428.032818,9
4162.123016,9
3637.05499,9
4030.08387,9
3881.115948,9
3820.081805,9
3784.082584,9
2045,9
3573.04534,10
3910.100254,10
3395.05891,11
2875.12678,11
3768.104033,11
3325.048721,13
3527.088601,14
2524.104792,14
3536.031815,14
3466.06982,15
1792.0904,16
3675.122447,21
2504.033746,21
3445.070246,24
