@relation 'ALLModels-weka.filters.unsupervised.attribute.Remove-R1-2,30-weka.filters.unsupervised.attribute.Remove-R38-43-weka.filters.unsupervised.attribute.Remove-R1-8-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,20,21,22,23,24,25,26,27,28,29,19-weka.filters.unsupervised.attribute.Remove-R1-8,10-28'

@attribute 'd(LOC,FANIN)' numeric
@attribute Risk1 numeric

@data
4164.631196,0
4165.317995,0
3540.895508,0
4251.31709,0
4146.43606,0
3204.423973,0
4056.379667,0
4087.731033,0
4234.358511,0
4244.125941,0
3879.309217,0
4124.420565,0
4243.406415,0
4227.375663,0
4053.748142,0
3791.261531,0
4117.581086,0
3356.551206,0
4226.891293,0
3977.87946,0
4055.742842,0
4180.56324,0
4253.312239,0
4150.568154,0
3889.825317,0
3020.149003,0
4039.42335,0
4166.385964,0
4165.317995,0
3793.410075,0
4110.52746,0
3419.575705,0
2996.654802,0
4057.377108,0
3993.543414,0
4073.767912,0
4138.173993,0
4190.538032,0
4226.448272,0
4102.476447,0
4243.406415,0
4107.535149,0
4214.647079,0
4199.515448,0
4130.691104,0
4117.509563,0
3863.898161,0
4206.287199,0
4155.413457,0
4229.300888,0
3649.509556,0
3878.312133,0
4159.332879,0
4235.426071,0
3744.559387,0
4247.326806,0
4249.252405,0
3818.412497,0
4192.181771,0
3531.176858,0
4141.591119,0
4122.71185,0
4211.485486,0
4107.351093,0
4165.601277,0
4107.678785,0
4128.624468,0
4119.647679,0
4202.157541,0
4248.324376,0
4221.460648,0
4075.762628,0
4250.319517,0
4238.279014,0
2200.138405,0
3939.909897,0
4116.727462,0
4179.353658,0
4200.512945,0
4221.460648,0
4150.074819,0
4091,0
4215.335099,0
4195.454803,0
4251.109267,0
4090.723163,0
4253.312239,0
4230.438393,0
3688.734878,0
4156.781688,0
4222.178703,0
4161.611467,0
4207.076182,0
4161.701575,0
4166.385964,0
4187.474776,0
3980.94524,0
4215.061803,0
4247.396614,0
3638.896124,0
4253.381949,0
4230.298453,0
4143.443616,0
4248.254818,0
4091.648323,0
4253.312239,0
4167.525045,0
3885.986233,0
4247.396614,0
3851.238242,0
4104.68659,0
4253.312239,0
4253.312239,0
4253.242763,0
4059.805045,0
4211.485486,0
4150.568154,0
4171.303154,0
4209.420031,0
4098.702234,0
3970.05,0
4235.426071,0
3972.819276,0
4236.076014,0
4253.381949,0
4147.575798,0
4184.553142,0
4225.450745,0
4058.662341,0
4185.40918,0
4088.728409,0
4251.31709,0
2249.296779,0
4102.764068,0
4250.389276,0
4183.414156,0
4184.411667,0
4221.460648,0
4225.450745,0
4199.278629,0
4222.248216,0
4159.474246,0
4188.543064,0
4221.900638,0
4178.426618,0
4004.879649,0
4224.383032,0
4202.227148,0
4252.314664,0
3714.732023,0
4216.9834,0
3981.019467,0
4148.573249,0
4231.811432,0
294,0
4109.458602,0
4068.854016,0
4234.428533,0
4214.267671,0
4231.435926,0
3586.986758,0
4252.314664,0
4144.441096,0
4231.435926,0
3751.459583,0
4173.439109,0
4156.481806,0
3946.44967,0
4146.578348,0
4086.733659,0
4234.288724,0
4253.312239,0
4254.379508,0
4250.319517,0
4250.319517,0
4202.157541,0
4166.456648,0
4208.212566,0
4110.670991,0
4238.418691,0
4103.761445,0
4074.769809,0
4240.343854,0
4234.011927,0
4145.652422,0
3175.638518,0
4143.022206,0
4185.198801,2
4161.327913,2
3966.835641,2
3920.962764,3
3537.239178,3
3625.938775,3
3892.796553,3
4183.343758,3
3968.536884,3
3581.344021,3
4038.715142,3
4008.79533,3
3947.114389,3
3990.544073,3
4080.749441,3
4159.616569,3
4023.537001,3
4163.393448,3
3803.302907,3
4194.527983,3
3944.970469,3
4085.605953,3
4210.487976,3
3853.479596,4
4112.379846,4
4007.021962,4
4104.836294,4
3937.915438,4
4123.56569,4
4088.512321,5
4113.377323,5
3055.08265,5
4164.390952,5
3752.378579,5
4104.471342,5
3950.89724,5
4184.913978,5
3990.478793,5
3080.063636,5
3716.72571,5
3674.699716,6
3401.556261,6
4091.793006,6
3573.033725,6
4108.532585,6
4054.891491,6
3994.057836,6
3668.959662,6
4188.543064,6
3557.037531,6
2908.282139,6
3444.484432,6
3926.098572,6
4201.299442,6
4018.768468,6
4250.389276,6
3775.386735,6
4056.886121,6
4113.448432,6
4249.252405,6
3485.337573,6
4017.698097,6
4244.403963,6
3499.372087,6
4124.634772,6
4092.502046,6
4059.732257,6
4064.646602,6
3588.147294,6
3955.363447,6
4142.375285,6
3942.976033,6
4121.714449,6
3375.480558,6
3880.003222,7
3789.499835,7
3357.289681,7
3872.428179,7
3798.317786,7
3498.291726,8
3085.014263,8
4109.316488,8
3642.048325,8
4064.359236,8
3440.244759,9
4172.300684,9
3648.227652,9
4040.637202,9
3892.195524,9
3829.529997,9
3795.326732,9
2065.883346,9
3584.993445,10
3920.813819,10
3407.448606,11
2888.122227,11
3779.066684,11
3337.709694,13
3539.066685,14
2541.181025,14
3546.06613,14
3478.27831,15
1798.434875,16
3686.741244,21
2520.737194,21
3457.43749,24
