@relation 'ALLModels-weka.filters.unsupervised.attribute.Remove-R1-2,30-weka.filters.unsupervised.attribute.Remove-R38-43-weka.filters.unsupervised.attribute.Remove-R1-8-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,20,21,22,23,24,25,26,27,28,29,19-weka.filters.unsupervised.attribute.Remove-R1-26,28'

@attribute 'd(LOC, RFC)' numeric
@attribute Risk1 numeric

@data
17280848,0
17264230,0
12453998,0
17986293,0
17106691,0
10220926,0
16370306,0
16622116,0
17842383,0
17926963,0
14961595,0
16925189,0
17918498,0
17783294,0
16346037,0
14288573,0
16867647,0
11182433,0
17783294,0
15737265,0
16362213,0
17389102,0
18003261,0
17139791,0
15046826,0
9036167,0
16233026,0
17272530,0
17264217,0
14303669,0
16810192,0
11607770,0
8892507,0
16378402,0
15864476,0
16508151,0
17040573,0
17472604,0
17774861,0
16744660,0
17918498,0
16785614,0
17682230,0
17547922,0
16974593,0
16867640,0
14845784,0
17606620,0
17181221,0
17800168,0
13264320,0
14953863,0
17214398,0
17850831,0
13935469,0
17952375,0
17969329,0
14493425,0
17489326,0
12383548,0
17065356,0
16908737,0
17648606,0
16793793,0
17264219,0
16785596,0
16958119,0
16884065,0
17573063,0
17960854,0
17732727,0
16524409,0
17977809,0
17876193,0
4752612,0
15437217,0
16859432,0
17380760,0
17556302,0
17732725,0
17139789,0
16736468,0
17682231,0
17514422,0
17986291,0
16646587,0
18003261,0
17808613,0
13520476,0
17197807,0
17741150,0
17230995,0
17615013,0
17239302,0
17272531,0
17447532,0
15761099,0
17732727,0
17952382,0
13155307,0
18003261,0
17808608,0
17081880,0
17960851,0
16654749,0
18003261,0
17280849,0
15015796,0
17952379,0
14745780,0
16761027,0
18003261,0
18003261,0
18003261,0
16394588,0
17648606,0
17139794,0
17314119,0
17631799,0
16711935,0
15673875,0
17850819,0
15697618,0
17859284,0
18003261,0
17114965,0
17422477,0
17766431,0
16386500,0
17430825,0
16630266,0
17986291,0
4973073,0
16744655,0
17977811,0
17414130,0
17422474,0
17732726,0
17766431,0
17556302,0
17741149,0
17214393,0
17455884,0
17749573,0
17372424,0
15952212,0
17758003,0
17573063,0
17994775,0
13712384,0
17699051,0
15761095,0
17123237,0
17825490,0
170,0
16801981,0
16467547,0
17842382,0
17673817,0
17817047,0
12780765,0
17994775,0
17090146,0
17817047,0
13987736,0
17330773,0
17189518,0
15492286,0
17106690,0
16613969,0
17842382,0
18003261,0
18011749,0
17977810,0
17977809,0
17573063,0
17272535,0
17623401,0
16810193,0
17876192,0
16752842,0
16524398,0
17893099,0
17842385,0
17098423,0
9998449,0
17081882,0
17430828,2
17231004,2
15650099,2
15288272,3
12425756,3
13061147,3
15077876,3
17414129,3
15665937,3
12752151,3
16224965,3
15984181,3
15492272,3
15912297,3
16565090,3
17214398,3
16104358,3
17247601,3
14379430,3
17506056,3
15476531,3
16613959,3
17640199,3
14768802,4
16826595,4
15968203,4
16769217,4
15421505,4
16916968,4
16630263,5
16834800,5
9247816,5
17255917,5
13995233,5
16761017,5
15539493,5
17439178,5
15840589,5
9400488,5
13727184,5
13417718,6
11485435,6
16654750,6
12680862,6
16793796,6
16354110,6
15864466,6
13373816,6
17455883,6
12574227,6
8386909,6
11778770,6
15327391,6
17564683,6
16064241,6
17977811,6
14167861,6
16370291,6
16834802,6
17969332,6
12061873,6
16056228,6
17926964,6
12159326,6
16925202,6
16662913,6
16394591,6
16435100,6
12787916,6
15571072,6
17073620,6
15460803,6
16900510,6
11309893,6
14969318,7
14273450,7
11189146,7
14915208,7
14341529,7
12152348,8
9443475,8
16801993,8
13177044,8
16435097,8
11751289,9
17322443,9
13227902,9
16241079,9
15062338,9
14592570,9
14318813,9
4182025,9
12766459,10
15288275,10
11526121,11
8265723,11
14197971,11
11055751,13
12439865,14
6370686,14
12503424,14
12013279,15
3211265,16
13505767,21
6270091,21
11868155,24
