@relation 'ALLModels-weka.filters.unsupervised.attribute.Remove-R1-2,30-weka.filters.unsupervised.attribute.Remove-R38-43-weka.filters.unsupervised.attribute.Remove-R1-8-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,20,21,22,23,24,25,26,27,28,29,19-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-weka.filters.unsupervised.attribute.Remove-R1-20,22-28'

@attribute 'd(LOC,d(RFC, Ca))' numeric
@attribute Risk1 numeric

@data
0.958776,0
0.957746,0
0.6606,0
0.998576,0
0.94873,0
0.503436,0
0.906006,0
0.920725,0
0.990504,0
0.995255,0
0.821519,0
0.938284,0
0.994777,0
0.987183,0
0.904585,0
0.779734,0
0.934957,0
0.573124,0
0.987208,0
0.868514,0
0.905535,0
0.964867,0
0.999527,0
0.950632,0
0.826721,0
0.412406,0
0.897943,0
0.958226,0
0.957754,0
0.780772,0
0.931638,0
0.602833,0
0.40081,0
0.906473,0
0.876098,0
0.914092,0
0.944961,0
0.969614,0
0.986707,0
0.927835,0
0.994777,0
0.930204,0
0.981492,0
0.973889,0
0.941133,0
0.934963,0
0.814398,0
0.977211,0
0.953001,0
0.988132,0
0.714396,0
0.82104,0
0.954899,0
0.99098,0
0.7574,0
0.996682,0
0.997632,0
0.792546,0
0.970565,0
0.655782,0
0.946355,0
0.937336,0
0.979602,0
0.930725,0
0.957751,0
0.930222,0
0.940182,0
0.93593,0
0.975319,0
0.997151,0
0.984332,0
0.915032,0
0.998102,0
0.992403,0
0.019969,0
0.850471,0
0.934483,0
0.964394,0
0.974363,0
0.984333,0
0.95064,0
0.927922,0
0.981484,0
0.971992,0
0.998587,0
0.92215,0
0.999525,0
0.988604,0
0.730912,0
0.953958,0
0.984809,0
0.955853,0
0.977688,0
0.956331,0
0.958228,0
0.968189,0
0.869905,0
0.984532,0
0.996676,0
0.707079,0
0.999529,0
0.988606,0
0.947312,0
0.997153,0
0.922623,0
0.999525,0
0.958696,0
0.824845,0
0.996676,0
0.808205,0
0.928792,0
0.999526,0
0.999526,0
0.999532,0
0.907431,0
0.979584,0
0.950628,0
0.9606,0
0.97864,0
0.925943,0
0.864687,0
0.990991,0
0.866144,0
0.991455,0
0.999525,0
0.949203,0
0.966767,0
0.986232,0
0.906945,0
0.967246,0
0.92121,0
0.998576,0
0.043801,0
0.927842,0
0.998101,0
0.966292,0
0.966769,0
0.984333,0
0.986232,0
0.974394,0
0.984808,0
0.954905,0
0.968667,0
0.985285,0
0.963919,0
0.881334,0
0.985756,0
0.975318,0
0.99905,0
0.743169,0
0.982437,0
0.869908,0
0.949681,0
0.98956,0
-1,0
0.931181,0
0.911709,0
0.990505,0
0.981012,0
0.989081,0
0.682501,0
0.999051,0
0.947792,0
0.989081,0
0.760854,0
0.961542,0
0.953471,0
0.853791,0
0.94873,0
0.920242,0
0.990505,0
0.99953,0
1,0
0.998101,0
0.998102,0
0.975319,0
0.958222,0
0.978165,0
0.931637,0
0.992404,0
0.928314,0
0.915067,0
0.993362,0
0.990504,0
0.948251,0
0.486247,0
0.947315,0
0.967372,2
0.955845,2
0.863349,2
0.841458,3
0.658804,3
0.70101,3
0.828637,3
0.966292,3
0.86426,3
0.680725,3
0.897468,3
0.88324,3
0.853797,3
0.879442,3
0.917397,3
0.954899,3
0.890339,3
0.956806,3
0.785452,3
0.971516,3
0.852854,3
0.920263,3
0.979114,3
0.809702,4
0.93259,4
0.882265,4
0.929286,4
0.849524,4
0.937805,4
0.921212,5
0.933071,5
0.429113,5
0.957272,5
0.761303,5
0.928805,5
0.856849,5
0.967717,5
0.874675,5
0.440907,5
0.744162,5
0.724249,6
0.594319,6
0.92262,6
0.675855,6
0.93069,6
0.905078,6
0.876109,6
0.721345,6
0.968667,6
0.669075,6
0.36068,6
0.61459,6
0.84385,6
0.97484,6
0.887979,6
0.998101,6
0.772157,6
0.906028,6
0.933065,6
0.997627,6
0.634079,6
0.8875,6
0.995252,6
0.640667,6
0.938275,6
0.923098,6
0.907426,6
0.909811,6
0.682981,6
0.858593,6
0.946828,6
0.851896,6
0.936866,6
0.581923,6
0.822046,7
0.778802,7
0.573444,7
0.818746,7
0.783092,7
0.640201,8
0.444319,8
0.931166,8
0.708599,8
0.909832,8
0.612919,9
0.96107,9
0.711987,9
0.898421,9
0.82768,9
0.798739,9
0.781673,9
-0.042946,9
0.68159,10
0.841467,10
0.597243,11
0.350537,11
0.774156,11
0.563874,13
0.659738,14
0.183713,14
0.664112,14
0.630827,15
-0.156532,16
0.729981,21
0.17446,21
0.620833,24
