@relation 'ALLModels-weka.filters.unsupervised.attribute.Remove-R1-2,30-weka.filters.unsupervised.attribute.Remove-R38-43-weka.filters.unsupervised.attribute.Remove-R1-8-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,20,21,22,23,24,25,26,27,28,29,19-weka.filters.unsupervised.attribute.Remove-R1-19,21-28'

@attribute 'd(RFC, Ca)' numeric
@attribute Risk1 numeric

@data
247.406548,0
276.804985,0
248.018145,0
284.015845,0
272.259068,0
198.21453,0
267.290105,0
267.301328,0
282.334907,0
278.289418,0
257.108926,0
272.237029,0
283.80451,0
278.829697,0
265.87215,0
257.701378,0
274.415743,0
205.353354,0
263.782107,0
260.46113,0
265.87215,0
278.001799,0
280.713377,0
270.82282,0
263.75936,0
231.607427,0
263.75936,0
272.946881,0
270.82282,0
239.008368,0
271.529004,0
225.25763,0
265.241399,0
271.532687,0
265.165986,0
261.663907,0
259.624729,0
279.458405,0
280.871857,0
274.37201,0
283.80451,0
279.508497,0
272.809457,0
277.965825,0
272.237029,0
270.82282,0
256.844311,0
280.142821,0
274.37201,0
278.958778,0
225.621364,0
258.37376,0
275.087259,0
281.602557,0
263.180546,0
276.210065,0
275.726314,0
259.724854,0
277.315705,0
265.875911,0
272.957872,0
271.532687,0
267.59858,0
256.898813,0
272.946881,0
267.301328,0
272.957872,0
263.058929,0
273.075081,0
283.867927,0
280.921697,0
265.211237,0
281.783605,0
283.128946,0
284.682279,0
260.46113,0
274.37201,0
276.523055,0
278.001799,0
279.458405,0
266.580194,0
187,0
280.242752,0
275.087259,0
272.082708,0
267.301328,0
284.682279,0
286.09439,0
240.226976,0
269.616394,0
278.217541,0
272.244375,0
276.73995,0
270.296134,0
271.562148,0
279.415461,0
275.829658,0
226.433213,0
286.09439,0
260.353606,0
277.461709,0
281.042701,0
268.704298,0
279.630113,0
268.001866,0
285.350662,0
276.551984,0
256.363024,0
284.541737,0
263.180546,0
270.11479,0
283.351372,0
282.028367,0
274.898163,0
267.301328,0
280.871857,0
272.946881,0
273.034796,0
275.109069,0
270.11479,0
272.244375,0
270.844974,0
259.113875,0
279.701627,0
284.015845,0
273.673163,0
277.276036,0
280.921697,0
272.976189,0
273.804675,0
263.104542,0
283.196045,0
256.961087,0
270.11479,0
285.280564,0
277.276036,0
275.804278,0
280.189222,0
280.921697,0
261.457453,0
279.508497,0
270.82282,0
276.551984,0
276.73995,0
276.551984,0
260.46113,0
281.655818,0
273.760845,0
284.608503,0
259.048258,0
275.949271,0
273.658546,0
271.532687,0
275.544915,0
254.206609,0
263.180546,0
265.241399,0
280.921697,0
277.276036,0
280.921697,0
237.621548,0
283.270189,0
266.587697,0
280.921697,0
235.287059,0
279.458405,0
278.001799,0
261.725047,0
272.244375,0
271.532687,0
280.921697,0
276.81763,0
285.427749,0
283.867927,0
281.113856,0
273.075081,0
275.829658,0
275.087259,0
272.237029,0
281.042701,0
271.532687,0
254.017716,0
273.075081,0
283.80451,0
275.109069,0
279.508497,0
267.346218,0
237.356272,2
278.729259,2
245.814971,2
257.775096,3
231.607427,3
238.801173,3
258.172423,3
277.243575,3
254.750859,3
221.278106,3
263.865496,3
258.211154,3
259.724854,3
192.50974,3
269.408612,3
275.087259,3
266.580194,3
270.118493,3
252.301407,3
276.551984,3
257.577173,3
262.360439,3
275.829658,3
244.724335,4
270.11479,4
267.301328,4
261.81673,4
259.724854,4
275.138147,4
262.497619,5
267.301328,5
221.812984,5
275.902157,5
239.434751,5
263.865496,5
222.265607,5
277.315705,5
264.473061,5
229.712864,5
248.519617,5
243.03292,6
221.576172,6
269.416035,6
237.406824,6
270.82282,6
259.113875,6
261.137895,6
254.466108,6
276.523055,6
199.692263,6
191.149156,6
240.410066,6
253.05533,6
276.631524,6
261.137895,6
284.608503,6
252.400475,6
259.048258,6
270.129598,6
281.93971,6
236.812162,6
262.497619,6
283.068896,6
246.473122,6
280.921697,6
267.994403,6
269.408612,6
264.491966,6
236.814273,6
247.386337,6
274.37201,6
260.311352,6
268.704298,6
227.721321,6
244.934685,7
253.05533,7
220.220344,7
240.565999,7
249.160591,7
244.883646,8
220.320222,8
270.118493,8
240,8
257.390754,8
212.720474,9
276.523055,9
230.288949,9
262.497619,9
260.403533,9
254.206609,9
248.018145,9
185,9
231.870654,10
255.384025,10
213.768566,11
203.194488,11
233.95085,11
228.81652,13
233.65787,14
220.41098,14
220.871003,14
227.178344,15
44.011362,16
237.200337,21
203.337158,21
230.217289,24
