@relation 'ALLModels-weka.filters.unsupervised.attribute.Remove-R1-2,30-weka.filters.unsupervised.attribute.Remove-R38-43-weka.filters.unsupervised.attribute.Remove-R1-8-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,20,21,22,23,24,25,26,27,28,29,19-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-weka.filters.unsupervised.attribute.Remove-R1-18,20-28'

@attribute 'd(RFC,d(LOC, Ca))' numeric
@attribute Risk1 numeric

@data
-0.988147,0
-0.985216,0
-0.722764,0
-0.991163,0
-0.98556,0
-0.555914,0
-0.958943,0
-0.971231,0
-0.993266,0
-0.99363,0
-0.887452,0
-0.980536,0
-0.992578,0
-0.993877,0
-0.958529,0
-0.845013,0
-0.976336,0
-0.633059,0
-0.99381,0
-0.931269,0
-0.959282,0
-0.989578,0
-0.991172,0
-0.98839,0
-0.889342,0
-0.458008,0
-0.954184,0
-0.990682,0
-0.991398,0
-0.85067,0
-0.976771,0
-0.664034,0
-0.4424,0
-0.958285,0
-0.93485,0
-0.968105,0
-0.986015,0
-0.990258,0
-0.993817,0
-0.972622,0
-0.992578,0
-0.970403,0
-0.992853,0
-0.993061,0
-0.982237,0
-0.979324,0
-0.879447,0
-0.992446,0
-0.987298,0
-0.992975,0
-0.778928,0
-0.886312,0
-0.987747,0
-0.993829,0
-0.820987,0
-0.99421,0
-0.993206,0
-0.857451,0
-0.991545,0
-0.714054,0
-0.9843,0
-0.979943,0
-0.992408,0
-0.977127,0
-0.990468,0
-0.977865,0
-0.980796,0
-0.982805,0
-0.99443,0
-0.992164,0
-0.992925,0
-0.968143,0
-0.992705,0
-0.992411,0
-0.029992,0
-0.914412,0
-0.976917,0
-0.990861,0
-0.99269,0
-0.993946,0
-0.989252,0
-0.974457,0
-0.992388,0
-0.994482,0
-0.992191,0
-0.972257,0
-0.991173,0
-0.989964,0
-0.798245,0
-0.986738,0
-0.992991,0
-0.989582,0
-0.992537,0
-0.987862,0
-0.990182,0
-0.990284,0
-0.925834,0
-0.992644,0
-0.990598,0
-0.769104,0
-0.991171,0
-0.992527,0
-0.986583,0
-0.993713,0
-0.972207,0
-0.991173,0
-0.988046,0
-0.890713,0
-0.992149,0
-0.872356,0
-0.975281,0
-0.991172,0
-0.991172,0
-0.991171,0
-0.961187,0
-0.992501,0
-0.987025,0
-0.98978,0
-0.995812,0
-0.973345,0
-0.922676,0
-1,0
-0.92963,0
-0.992835,0
-0.991172,0
-0.985367,0
-0.990759,0
-0.993231,0
-0.957543,0
-0.991386,0
-0.973481,0
-0.992197,0
-0.057534,0
-0.974641,0
-0.991672,0
-0.990588,0
-0.992231,0
-0.993435,0
-0.993231,0
-0.992547,0
-0.993512,0
-0.99006,0
-0.991911,0
-0.994091,0
-0.990186,0
-0.942856,0
-0.992647,0
-0.994436,0
-0.991686,0
-0.807114,0
-0.994602,0
-0.927062,0
-0.986976,0
-0.993655,0
1,0
-0.981357,0
-0.965979,0
-0.993779,0
-0.994832,0
-0.993618,0
-0.747831,0
-0.991686,0
-0.987266,0
-0.993618,0
-0.831202,0
-0.987324,0
-0.984734,0
-0.913609,0
-0.986024,0
-0.968561,0
-0.993779,0
-0.991171,0
-0.990657,0
-0.992189,0
-0.992704,0
-0.99443,0
-0.988312,0
-0.996206,0
-0.976356,0
-0.992923,0
-0.974149,0
-0.972075,0
-0.997637,0
-0.992237,0
-0.983964,0
-0.532099,0
-0.985641,0
-0.989517,2
-0.985367,2
-0.92969,2
-0.906747,3
-0.723362,3
-0.76605,3
-0.890492,3
-0.991084,3
-0.928032,3
-0.748645,3
-0.955204,3
-0.944159,3
-0.917537,3
-0.939095,3
-0.967656,3
-0.987747,3
-0.946524,3
-0.99095,3
-0.852057,3
-0.992841,3
-0.916851,3
-0.97237,3
-0.995421,3
-0.879104,4
-0.977788,4
-0.940318,4
-0.975005,4
-0.913488,4
-0.97764,4
-0.974656,5
-0.978039,5
-0.475274,5
-0.986928,5
-0.829246,5
-0.979323,5
-0.930941,5
-0.990597,5
-0.932929,5
-0.488638,5
-0.810547,5
-0.791039,6
-0.655328,6
-0.971831,6
-0.740622,6
-0.976134,6
-0.963838,6
-0.93789,6
-0.785615,6
-0.99241,6
-0.73515,6
-0.402404,6
-0.674733,6
-0.910435,6
-0.99281,6
-0.948399,6
-0.991672,6
-0.838631,6
-0.964254,6
-0.977233,6
-0.991659,6
-0.695656,6
-0.947364,6
-0.99312,6
-0.701502,6
-0.974889,6
-0.972136,6
-0.960108,6
-0.964105,6
-0.74831,6
-0.92706,6
-0.984121,6
-0.91493,6
-0.981349,6
-0.641356,6
-0.890731,7
-0.845284,7
-0.632162,7
-0.885721,7
-0.8507,7
-0.701569,8
-0.490697,8
-0.976431,8
-0.775108,8
-0.96506,8
-0.675757,9
-0.989537,9
-0.779787,9
-0.95666,9
-0.892177,9
-0.86479,9
-0.849768,9
0.034143,9
-0.747842,10
-0.905898,10
-0.659571,11
-0.391748,11
-0.843265,11
-0.621783,13
-0.723877,14
-0.211132,14
-0.728934,14
-0.694025,15
0.169003,16
-0.797883,21
-0.201725,21
-0.682718,24
