@relation 'ALLModels-weka.filters.unsupervised.attribute.Remove-R1-2,30-weka.filters.unsupervised.attribute.Remove-R38-43-weka.filters.unsupervised.attribute.Remove-R1-8-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,20,21,22,23,24,25,26,27,28,29,19-weka.filters.unsupervised.attribute.Remove-R1-11,13-28'

@attribute 'd( WMC,CBO)' numeric
@attribute Risk1 numeric

@data
168.813507,0
205,0
194.997436,0
208.432243,0
207.337888,0
161.771444,0
201.853908,0
204.592277,0
211.624668,0
204.501834,0
201.896013,0
207.46566,0
208.906678,0
205.766858,0
198.635344,0
209.172178,0
208.556947,0
167.083811,0
185.237685,0
203.678668,0
198.635344,0
208.146583,0
204.831638,0
204.863369,0
200.942778,0
195.166595,0
202.26715,0
203.592731,0
208.254652,0
199.919984,0
204.088216,0
196.512086,0
208.146583,0
209.57099,0
203.177263,0
201.853908,0
198.156504,0
208.556947,0
209.81182,0
208.97129,0
208.906678,0
208.655218,0
197.253644,0
208.906678,0
208.482613,0
206.322563,0
198.806439,0
207.154532,0
207.646334,0
206.671236,0
173.818871,0
206.421898,0
205.411782,0
212.115535,0
201.777105,0
202.26715,0
201.295802,0
204.636263,0
207.154532,0
206.155281,0
205.912603,0
204.394227,0
192.314846,0
189.214164,0
207.576492,0
203.96078,0
205.912603,0
186.724396,0
206.671236,0
212.047165,0
208.482613,0
201.853908,0
206.247424,0
208.906678,0
211.142132,0
200.942778,0
205,0
206.322563,0
209.0598,0
207.09901,0
200.531793,0
77,0
209.468375,0
208.062491,0
194.987179,0
204.592277,0
211.142132,0
212.473528,0
197.959592,0
197.891384,0
206.736547,0
205.766858,0
205.766858,0
202.26715,0
206.021843,0
211.206061,0
209.172178,0
128.14445,0
212.473528,0
203.423204,0
201.246118,0
208.062491,0
207.740222,0
206.322563,0
206.421898,0
211.142132,0
208.062491,0
203.789107,0
212.532351,0
200.38463,0
205.912603,0
208.432243,0
205.730406,0
196.786687,0
202.627737,0
209.973808,0
209.389589,0
207.154532,0
209.973808,0
205.769288,0
205.912603,0
188.308258,0
208.254652,0
203.531324,0
210.23796,0
205.912603,0
208.062491,0
207.576492,0
209.389589,0
205.827598,0
201.039797,0
209.389589,0
197.994949,0
204.863369,0
212.047165,0
206.247424,0
208.062491,0
209.81182,0
208.482613,0
186.067192,0
209.389589,0
203.592731,0
206.196508,0
204.394227,0
206.545394,0
206.736547,0
210.380607,0
207.576492,0
210.717821,0
204.266982,0
206.671236,0
211.206061,0
210.380607,0
200.823305,0
195.788151,0
201.039797,0
208.002404,0
209.880919,0
207.576492,0
209.81182,0
197.800404,0
208.906678,0
189.6154,0
209.81182,0
192.626582,0
210.380607,0
209.57099,0
195.256242,0
210.380607,0
208.556947,0
211.624668,0
199.459269,0
209.766537,0
211.206061,0
207.154532,0
206.671236,0
205.766858,0
206.247424,0
207.646334,0
208.062491,0
204.863369,0
186.815417,0
203.157574,0
212.115535,0
208.062491,0
208.655218,0
199.849944,0
150.903943,2
210.791366,2
198.708329,2
206.021843,3
195.93111,3
194.064422,3
195.151223,3
206.736547,3
196.063765,3
183.109257,3
202.684484,3
194.653538,3
203.002463,3
101.98039,3
208.97129,3
207.154532,3
204.501834,3
206.247424,3
198.15398,3
208.062491,3
196.888293,3
196.977156,3
207.09901,3
193.868512,4
206.247424,4
204.394227,4
194.653538,4
196.063765,4
208.146583,4
201.444782,5
202.765875,5
180.867355,5
209.389589,5
195.724296,5
202.26715,5
167.299133,5
208.146583,5
202.158354,5
200.179919,5
195.143537,5
198.406149,6
183.240279,6
207.576492,6
197.230829,6
206.671236,6
204.435809,6
204.088216,6
201.295802,6
208.002404,6
149.602808,6
176.264006,6
192.566871,6
200.124961,6
207.740222,6
199.210944,6
211.142132,6
195,6
206.671236,6
205.104851,6
208.432243,6
196.086715,6
206.322563,6
211.624668,6
189.475592,6
208.97129,6
202.871881,6
199.922485,6
201.853908,6
191.48107,6
192.769292,6
206.421898,6
205.234013,6
201.295802,6
186.681547,6
193.155378,7
205.769288,7
184.618526,7
187.18173,7
199.619638,7
202.871881,8
169.849934,8
205.506691,8
196.308431,8
197.891384,8
173.415686,9
209.389589,9
185.396872,9
201.444782,9
201.479527,9
197.091349,9
197.022841,9
158.316139,9
193.328736,10
195,10
191.083751,11
179.80545,11
194.339908,11
186.335719,13
191.002618,14
194.794764,14
175.3083,14
194.239543,15
36,16
200.179919,21
177.406313,21
191.269443,24
