@relation 'ALLModels-weka.filters.unsupervised.attribute.Remove-R1-2,30-weka.filters.unsupervised.attribute.Remove-R38-43-weka.filters.unsupervised.attribute.Remove-R1-8-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,20,21,22,23,24,25,26,27,28,29,19-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-weka.filters.unsupervised.attribute.Remove-R1-24,26-28'

@attribute 'd(d(LOC,WMC),d(RFC, Ca))' numeric
@attribute Risk1 numeric

@data
-0.954767,0
-0.957509,0
-0.65812,0
-0.998567,0
-0.948234,0
-0.498203,0
-0.905242,0
-0.919971,0
-0.990579,0
-0.994212,0
-0.820003,0
-0.937777,0
-0.994932,0
-0.986934,0
-0.90376,0
-0.778205,0
-0.934596,0
-0.568193,0
-0.983564,0
-0.86737,0
-0.904711,0
-0.964703,0
-0.997702,0
-0.950082,0
-0.825578,0
-0.408269,0
-0.897005,0
-0.957761,0
-0.95711,0
-0.778289,0
-0.931119,0
-0.599268,0
-0.397448,0
-0.905899,0
-0.875187,0
-0.913004,0
-0.94343,0
-0.969536,0
-0.986694,0
-0.927463,0
-0.994932,0
-0.929967,0
-0.980583,0
-0.973743,0
-0.940694,0
-0.934418,0
-0.812933,0
-0.977177,0
-0.952653,0
-0.987872,0
-0.711071,0
-0.819686,0
-0.95458,0
-0.990964,0
-0.755947,0
-0.994492,0
-0.994798,0
-0.791066,0
-0.97037,0
-0.653795,0
-0.945913,0
-0.936869,0
-0.977897,0
-0.929106,0
-0.957318,0
-0.929506,0
-0.939741,0
-0.934755,0
-0.974685,0
-0.997252,0
-0.984334,0
-0.914163,0
-0.997482,0
-0.992526,0
-0.014696,0
-0.849288,0
-0.934098,0
-0.964146,0
-0.974179,0
-0.984221,0
-0.94969,0
-0.913133,0
-0.981433,0
-0.971612,0
-0.993467,0
-0.921395,0
-0.999486,0
-0.988856,0
-0.728343,0
-0.953218,0
-0.984529,0
-0.955379,0
-0.9774,0
-0.955664,0
-0.95763,0
-0.968129,0
-0.869276,0
-0.967724,0
-0.996975,0
-0.705157,0
-0.996166,0
-0.988565,0
-0.946586,0
-0.996065,0
-0.921907,0
-0.999715,0
-0.958475,0
-0.823402,0
-0.996874,0
-0.806907,0
-0.928199,0
-0.99892,0
-0.998316,0
-0.994947,0
-0.906709,0
-0.97957,0
-0.95022,0
-0.960148,0
-0.978136,0
-0.925301,0
-0.863963,0
-0.988544,0
-0.864932,0
-0.991157,0
-0.999212,0
-0.948799,0
-0.96658,0
-0.986219,0
-0.906464,0
-0.966794,0
-0.920177,0
-0.998304,0
-0.037968,0
-0.927289,0
-0.998359,0
-0.966106,0
-0.966485,0
-0.984286,0
-0.986219,0
-0.971922,0
-0.984684,0
-0.954302,0
-0.968447,0
-0.984833,0
-0.963636,0
-0.880235,0
-0.985784,0
-0.974763,0
-0.999112,0
-0.741439,0
-0.981964,0
-0.869284,0
-0.949164,0
-0.988628,0
1,0
-0.930105,0
-0.910903,0
-0.990413,0
-0.980725,0
-0.989039,0
-0.679738,0
-0.998654,0
-0.946792,0
-0.989039,0
-0.758224,0
-0.961451,0
-0.953282,0
-0.85262,0
-0.948262,0
-0.919726,0
-0.990432,0
-0.99586,0
-1,0
-0.998105,0
-0.997242,0
-0.974685,0
-0.957972,0
-0.977688,0
-0.931172,0
-0.992266,0
-0.927832,0
-0.913251,0
-0.991089,0
-0.990673,0
-0.947953,0
-0.483468,0
-0.946426,0
-0.959926,2
-0.95572,2
-0.861332,2
-0.840128,3
-0.655709,3
-0.698357,3
-0.827269,3
-0.966094,3
-0.862789,3
-0.677092,3
-0.896546,3
-0.88197,3
-0.852551,3
-0.870374,3
-0.91679,3
-0.9546,3
-0.889533,3
-0.95615,3
-0.783678,3
-0.971261,3
-0.851538,3
-0.919172,3
-0.978719,3
-0.80752,4
-0.932027,4
-0.881508,4
-0.928115,4
-0.848277,4
-0.937471,4
-0.920146,5
-0.932298,5
-0.424671,5
-0.957027,5
-0.758852,5
-0.927822,5
-0.852579,5
-0.967511,5
-0.873773,5
-0.436864,5
-0.742002,5
-0.721935,6
-0.590413,6
-0.922029,6
-0.67312,6
-0.930174,6
-0.903887,6
-0.875018,6
-0.719499,6
-0.968445,6
-0.66402,6
-0.354589,6
-0.61167,6
-0.842288,6
-0.974535,6
-0.88687,6
-0.998271,6
-0.770333,6
-0.90484,6
-0.932453,6
-0.997205,6
-0.631008,6
-0.886501,6
-0.995309,6
-0.638098,6
-0.938137,6
-0.922362,6
-0.9068,6
-0.908839,6
-0.680168,6
-0.856624,6
-0.946453,6
-0.85068,6
-0.936203,6
-0.578346,6
-0.819974,7
-0.777064,7
-0.569589,7
-0.816362,7
-0.78124,7
-0.637645,8
-0.439797,8
-0.930564,8
-0.706079,8
-0.908431,8
-0.608579,9
-0.960857,9
-0.708915,9
-0.897397,9
-0.826348,9
-0.797102,9
-0.77968,9
0.051782,9
-0.678676,10
-0.83996,10
-0.593152,11
-0.344837,11
-0.771477,11
-0.560258,13
-0.656655,14
-0.178042,14
-0.660488,14
-0.627479,15
0.177244,16
-0.727376,21
-0.167966,21
-0.617551,24
