@relation 'ALLModels-weka.filters.unsupervised.attribute.Remove-R1-2,30-weka.filters.unsupervised.attribute.Remove-R1-8,39-40,43-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32-weka.filters.unsupervised.attribute.Remove-R1-8,11,13-14,16-20,22-27,29-31-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-weka.filters.unsupervised.attribute.Remove-R2-6'

@attribute 'd(LOC,FANIN)' numeric
@attribute #Severity {0,1,2}

@data
0.797545,0
0.92829,0
0.954677,0
0.955024,0
0.639689,0
0.998453,0
0.945488,0
0.46977,0
0.90001,0
0.915842,0
0.989889,0
0.994822,0
0.810589,0
0.93437,0
0.994459,0
0.986363,0
0.898681,0
0.766124,0
0.930917,0
0.546595,0
0.986118,0
0.860367,0
0.899688,0
0.962723,0
0.999461,0
0.947575,0
0.815899,0
0.376711,0
0.891447,0
0.955563,0
0.955024,0
0.767209,0
0.927354,0
0.578422,0
0.364846,0
0.900513,0
0.868277,0
0.908791,0
0.941316,0
0.96776,0
0.985895,0
0.923289,0
0.994459,0
0.925843,0
0.979935,0
0.972294,0
0.937537,0
0.93088,0
0.802806,0
0.975713,0
0.950022,0
0.987335,0
0.694539,0
0.810085,0
0.952001,0
0.990428,0
0.74254,0
0.875084,0
0.92448,0
0.840185,0
0.933939,0
0.996438,0
0.997411,0
0.779836,0
0.96859,0
0.634781,0
0.943042,0
0.933508,0
0.978338,0
0.92575,0
0.955167,0
0.925916,0
0.936493,0
0.93196,0
0.973628,0
0.996942,0
0.983376,0
0.909798,0
0.99795,0
0.991869,0
-0.037396,0
0.841192,0
0.930485,0
0.962112,0
0.972797,0
0.983376,0
0.947326,0
0.917493,0
0.980282,0
0.970243,0
0.998349,0
0.917353,0
0.999461,0
0.98791,0
0.714348,0
0.950713,0
0.983739,0
0.953152,0
0.976112,0
0.953197,0
0.955563,0
0.966213,0
0.861915,0
0.980144,0
0.996474,0
0.68918,0
0.999496,0
0.987839,0
0.943977,0
0.996907,0
0.91782,0
0.999461,0
0.956138,0
0.813961,0
0.996474,0
0.796413,0
0.924405,0
0.999461,0
0.999461,0
0.999426,0
0.901739,0
0.978338,0
0.947575,0
0.958046,0
0.977295,0
0.921383,0
0.856413,0
0.990428,0
0.857811,0
0.990757,0
0.999496,0
0.946064,0
0.964738,0
0.985391,0
0.901162,0
0.96517,0
0.916346,0
0.998453,0
-0.012571,0
0.923434,0
0.997985,0
0.964162,0
0.964666,0
0.983376,0
0.985391,0
0.972174,0
0.983774,0
0.952073,0
0.966752,0
0.983598,0
0.961644,0
0.874002,0
0.984852,0
0.973663,0
0.998957,0
0.727477,0
0.981115,0
0.861953,0
0.946568,0
0.988603,0
-1,0
0.926815,0
0.906309,0
0.989925,0
0.979743,0
0.988413,0
0.662965,0
0.998957,0
0.944481,0
0.988413,0
0.746024,0
0.959125,0
0.950561,0
0.844495,0
0.94556,0
0.915338,0
0.989854,0
0.999461,0
1,0
0.99795,0
0.99795,0
0.973628,0
0.955599,0
0.976686,0
0.927427,0
0.99194,0
0.923938,0
0.909297,0
0.992912,0
0.989714,0
0.945093,0
0.455234,0
0.943764,0
0.310037,1
0.647841,1
0.320218,1
0.591001,1
0.834217,1
0.394353,1
0.954556,1
0.746488,1
0.831624,1
0.637843,1
0.682636,1
0.8174,1
0.964127,1
0.855649,1
0.660116,1
0.78545,1
0.810939,1
0.765235,1
0.546968,1
0.943438,1
0.807114,1
0.768177,1
-0.105195,1
0.904039,1
0.842741,1
0.933004,1
0.556154,1
0.769688,1
0.728484,1
0.891089,1
0.875979,1
0.84483,1
0.866763,1
0.912316,1
0.952145,1
0.883424,1
0.954052,1
0.772205,1
0.969775,1
0.843748,1
0.914769,1
0.977835,1
0.965064,1
0.953009,1
0.85479,1
0.713341,2
0.597543,2
0.124507,2
-0.240257,2
0.608067,2
0.53708,2
0.661959,2
0.618174,2
0.58886,2
0.572298,2
0.95855,2
0.70726,2
0.569322,2
0.917893,2
0.655919,2
0.926347,2
0.899258,2
0.868537,2
0.704362,2
0.966752,2
0.638766,2
0.409468,2
0.916237,2
0.928794,2
0.134831,2
0.6423,2
0.759966,2
0.926743,2
0.693892,2
0.89206,2
0.817096,2
0.831549,2
0.973194,2
0.881016,2
0.997985,2
0.758108,2
0.900265,2
0.92883,2
0.997411,2
0.611632,2
0.880475,2
0.994962,2
0.61872,2
0.934479,2
0.918252,2
0.901703,2
0.904184,2
0.663551,2
0.848996,2
0.690771,2
0.924296,2
0.846741,2
0.96492,2
0.86673,2
0.406968,2
