@relation 'ALLModels-weka.filters.unsupervised.attribute.Remove-R1-10,29-30,42-43,46-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-do-not-check-capabilities-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-weka.filters.unsupervised.attribute.Remove-R1-14,16-30'

@attribute 'd(LOC, Ce)' numeric
@attribute #Severity {0,1,2}

@data
0.729889,2
0.729889,2
0.620682,2
0.620682,2
0.173966,2
0.173966,2
-0.163999,2
0.63065,2
0.563707,2
0.681432,2
0.640165,2
0.612594,2
0.596941,2
0.596941,2
0.961072,2
0.724172,2
0.594093,2
0.922614,2
0.675756,2
0.930681,2
0.905041,2
0.876087,2
0.721324,2
0.96866,2
0.659616,2
0.444123,2
0.921177,2
0.933065,2
0.809623,0
0.932579,0
0.350126,1
0.350126,1
0.350126,1
0.350126,1
0.668599,1
0.668599,1
0.360103,1
0.360103,1
0.614511,1
0.614511,1
0.843802,1
0.843802,1
0.428882,1
0.428882,1
0.957285,1
0.957285,1
0.761219,1
0.761219,1
0.841445,1
0.658671,1
0.700929,1
0.828637,1
0.966286,1
0.864214,1
0.680476,1
0.958706,0
0.95776,0
0.660563,0
0.998576,0
0.948737,0
0.502957,0
0.906,0
0.920715,0
0.99051,0
0.995257,0
0.821508,0
0.93829,0
0.994771,0
0.987176,0
0.904563,0
0.779752,0
0.934971,0
0.572724,0
0.987176,0
0.868492,0
0.905512,0
0.964873,0
0.999529,0
0.950611,0
0.826723,0
0.412294,0
0.89793,0
0.958207,0
0.957756,0
0.780689,0
0.931627,0
0.602657,0
0.400941,0
0.906494,0
0.876098,0
0.91407,0
0.944944,0
0.96962,0
0.986705,0
0.927843,0
0.994771,0
0.930228,0
0.981483,0
0.973885,0
0.941131,0
0.934956,0
0.814377,0
0.977204,0
0.952998,0
0.988136,0
0.714228,0
0.821038,0
0.95489,0
0.990988,0
0.757404,0
0.183493,2
0.663862,2
0.663862,2
0.774028,2
0.931166,2
0.711818,2
0.898392,2
0.827676,2
0.841435,2
0.974849,2
0.887942,2
0.998105,2
0.77211,2
0.906,2
0.933068,2
0.997634,2
0.634015,2
0.887487,2
0.995257,2
0.640608,2
0.93829,2
0.923089,2
0.907402,2
0.909801,2
0.682867,2
0.858501,2
0.708504,2
0.928772,2
0.856585,2
0.967725,2
0.874674,2
0.440814,2
0.798702,1
0.798702,1
0.821957,1
0.77879,1
0.573206,1
0.946827,1
0.818656,1
0.882255,0
0.929271,0
0.849486,0
0.937819,0
0.781613,1
0.781613,1
0.781613,1
-0.043941,1
-0.043941,1
-0.043941,1
0.909801,1
0.909801,1
0.909801,1
0.8519,1
0.8519,1
0.936839,1
0.936839,1
0.581743,1
0.581743,1
0.783037,1
0.783037,1
0.783037,1
0.744119,1
0.744119,1
0.897442,1
0.883193,1
0.853784,1
0.878936,1
0.917404,1
0.954893,1
0.890339,1
0.956796,1
0.785417,1
0.971515,1
0.852812,1
0.920228,1
0.979103,1
0.967254,1
0.955861,1
0.863274,1
0.996681,0
0.997634,0
0.79256,0
0.970565,0
0.655859,0
0.946352,0
0.93732,0
0.979596,0
0.930688,0
0.957742,0
0.930199,0
0.940181,0
0.93587,0
0.975316,0
0.997159,0
0.984331,0
0.915009,0
0.998094,0
0.992401,0
0.020278,0
0.850444,0
0.934478,0
0.964387,0
0.97437,0
0.984325,0
0.950615,0
0.927376,0
0.981495,0
0.971986,0
0.998584,0
0.92214,0
0.999533,0
0.988615,0
0.730847,0
0.953948,0
0.984818,0
0.955839,0
0.977689,0
0.956332,0
0.958231,0
0.968199,0
0.869943,0
0.984339,0
0.996685,0
0.707125,0
0.999533,0
0.988611,0
0.947313,0
0.997156,0
0.922621,0
0.999529,0
0.958698,0
0.824824,0
0.996685,0
0.808203,0
0.928789,0
0.999529,0
0.999525,0
0.999529,0
0.907411,0
0.979592,0
0.950628,0
0.960601,0
0.978647,0
0.925948,0
0.864705,0
0.99094,0
0.866137,0
0.991448,0
0.999529,0
0.949201,0
0.966768,0
0.986227,0
0.906964,0
0.96725,0
0.921183,0
0.99858,0
0.043996,0
0.927829,0
0.998105,0
0.966286,0
0.966764,0
0.984331,0
0.98623,0
0.974367,0
0.984814,0
0.954887,0
0.968656,0
0.985277,0
0.963923,0
0.881316,0
0.985767,0
0.975316,0
0.999054,0
0.743193,0
0.982433,0
0.869939,0
0.94969,0
0.989553,0
-1,0
0.931146,0
0.911696,0
0.99051,0
0.981005,0
0.989078,0
0.682409,0
0.999051,0
0.947742,0
0.989078,0
0.76071,0
0.961558,0
0.953488,0
0.853795,0
0.948741,0
0.920252,0
0.990514,0
0.999529,0
1,0
0.998109,0
0.998105,0
0.975316,0
0.958213,0
0.97815,0
0.931637,0
0.992409,0
0.928304,0
0.914982,0
0.993362,0
0.990514,0
0.948255,0
0.486398,0
0.947309,0
