@relation 'ALLModels-weka.filters.unsupervised.attribute.Remove-R1-10,29-30,42-43,46-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-do-not-check-capabilities-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-weka.filters.unsupervised.attribute.Remove-R1-19,21-30'

@attribute 'd(RFC, Ca)' numeric
@attribute #Severity {0,1,2}

@data
0.596056,2
0.596056,2
0.538364,2
0.538364,2
0.316291,2
0.316291,2
-1,2
0.513258,2
0.526792,2
0.552024,2
0.659532,2
0.393812,2
0.402471,2
0.402471,2
0.920925,2
0.644242,2
0.466974,2
0.86221,2
0.597761,2
0.873832,2
0.777097,2
0.793819,2
0.738699,2
0.920925,2
0.566789,2
0.456598,2
0.805052,2
0.844739,2
0.658216,0
0.867982,0
0.315112,1
0.315112,1
0.315112,1
0.315112,1
0.286178,1
0.286178,1
0.215598,1
0.215598,1
0.622573,1
0.622573,1
0.727044,1
0.727044,1
0.468931,1
0.468931,1
0.915796,1
0.915796,1
0.614515,1
0.614515,1
0.766037,1
0.549849,1
0.609281,1
0.769319,1
0.926878,1
0.741051,1
0.464512,1
0.680375,0
0.923254,0
0.685428,0
0.982828,0
0.885698,0
0.273969,0
0.844646,0
0.844739,0
0.968941,0
0.935518,0
0.760533,0
0.885516,0
0.981082,0
0.939982,0
0.832931,0
0.765427,0
0.903515,0
0.332948,0
0.815664,0
0.788228,0
0.832931,0
0.933142,0
0.955544,0
0.873832,0
0.815476,0
0.549849,0
0.815476,0
0.89138,0
0.873832,0
0.610993,0
0.879666,0
0.497389,0
0.82772,0
0.879697,0
0.827097,0
0.798164,0
0.781317,0
0.945176,0
0.956853,0
0.903154,0
0.981082,0
0.94559,0
0.890245,0
0.932845,0
0.885516,0
0.873832,0
0.758347,0
0.95083,0
0.903154,0
0.941048,0
0.500394,0
0.770982,0
0.909063,0
0.96289,0
0.810694,0
0.457348,2
0.461149,2
0.461149,2
0.569209,2
0.868013,2
0.538956,2
0.805052,2
0.787752,2
0.746282,2
0.921821,2
0.793819,2
0.987724,2
0.721633,2
0.776555,2
0.868105,2
0.965676,2
0.592849,2
0.805052,2
0.975004,2
0.672664,2
0.957265,2
0.850465,2
0.862148,2
0.821529,2
0.592866,2
0.680208,2
0.619185,2
0.816353,2
0.47267,2
0.927474,2
0.821373,2
0.534197,2
0.736555,1
0.736555,1
0.659954,1
0.727044,1
0.455773,1
0.903154,1
0.623861,1
0.844739,0
0.799427,0
0.782145,0
0.909484,0
0.685428,1
0.685428,1
0.685428,1
0.164796,1
0.164796,1
0.164796,1
0.762861,1
0.762861,1
0.762861,1
0.78699,1
0.78699,1
0.85633,1
0.85633,1
0.517743,1
0.517743,1
0.694867,1
0.694867,1
0.694867,1
0.689571,1
0.689571,1
0.816353,1
0.769639,1
0.782145,1
0.226838,1
0.862148,1
0.909063,1
0.838781,1
0.868013,1
0.720815,1
0.921164,1
0.764401,1
0.803919,1
0.915197,1
0.597344,1
0.939152,1
0.667226,1
0.918339,0
0.914343,0
0.782145,0
0.927474,0
0.832962,0
0.891471,0
0.879697,0
0.847194,0
0.758797,0
0.89138,0
0.844739,0
0.891471,0
0.80969,0
0.892439,0
0.981606,0
0.957265,0
0.827471,0
0.964386,0
0.975501,0
0.988334,0
0.788228,0
0.903154,0
0.920925,0
0.933142,0
0.945176,0
0.838781,0
0.181319,0
0.951656,0
0.909063,0
0.884241,0
0.844739,0
0.988334,0
1,0
0.62106,0
0.863865,0
0.934924,0
0.885576,0
0.922717,0
0.869481,0
0.87994,0
0.944821,0
0.915197,0
0.507102,0
1,0
0.787339,0
0.92868,0
0.958265,0
0.85633,0
0.946595,0
0.850526,0
0.993856,0
0.921164,0
0.754371,0
0.987173,0
0.810694,0
0.867982,0
0.977338,0
0.966408,0
0.907501,0
0.844739,0
0.956853,0
0.89138,0
0.892106,0
0.909243,0
0.867982,0
0.885576,0
0.874015,0
0.777097,0
0.947185,0
0.982828,0
0.89738,0
0.927146,0
0.957265,0
0.891622,0
0.898467,0
0.810066,0
0.976055,0
0.759311,0
0.867982,0
0.993276,0
0.927146,0
0.914987,0
0.951214,0
0.957265,0
0.796459,0
0.94559,0
0.873832,0
0.921164,0
0.922717,0
0.921164,0
0.788228,0
0.96333,0
0.898105,0
0.987724,0
0.776555,0
0.916185,0
0.89726,0
0.879697,0
0.912844,0
0.736555,0
0.810694,0
0.82772,0
0.957265,0
0.927146,0
0.957265,0
0.599535,0
0.976668,0
0.838843,0
0.957265,0
0.580249,0
0.945176,0
0.933142,0
0.79867,0
0.885576,0
0.879697,0
0.957265,0
0.923359,0
0.994492,0
0.981606,0
0.958853,0
0.892439,0
0.915197,0
0.909063,0
0.885516,0
0.958265,0
0.879697,0
0.734994,0
0.892439,0
0.981082,0
0.909243,0
0.94559,0
0.84511,0
