@relation 'ALLModels-weka.filters.unsupervised.attribute.Remove-R1-10,29-30,42-43,46-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.unsupervised.attribute.Remove-R1-18,20-30'

@attribute 'd(RFC,d(LOC, Ca))' numeric
@attribute #Severity {0,1,2}

@data
-0.797883,2
-0.797883,2
-0.682718,2
-0.682718,2
-0.201725,2
-0.201725,2
0.169003,2
-0.694025,2
-0.621783,2
-0.747842,2
-0.701569,2
-0.675757,2
-0.659571,2
-0.659571,2
-0.989537,2
-0.791039,2
-0.655328,2
-0.971831,2
-0.740622,2
-0.976134,2
-0.963838,2
-0.93789,2
-0.785615,2
-0.99241,2
-0.723877,2
-0.490697,2
-0.974656,2
-0.978039,2
-0.879104,0
-0.977788,0
-0.391748,1
-0.391748,1
-0.391748,1
-0.391748,1
-0.73515,1
-0.73515,1
-0.402404,1
-0.402404,1
-0.674733,1
-0.674733,1
-0.910435,1
-0.910435,1
-0.475274,1
-0.475274,1
-0.986928,1
-0.986928,1
-0.829246,1
-0.829246,1
-0.906747,1
-0.723362,1
-0.76605,1
-0.890492,1
-0.991084,1
-0.928032,1
-0.748645,1
-0.988147,0
-0.985216,0
-0.722764,0
-0.991163,0
-0.98556,0
-0.555914,0
-0.958943,0
-0.971231,0
-0.993266,0
-0.99363,0
-0.887452,0
-0.980536,0
-0.992578,0
-0.993877,0
-0.958529,0
-0.845013,0
-0.976336,0
-0.633059,0
-0.99381,0
-0.931269,0
-0.959282,0
-0.989578,0
-0.991172,0
-0.98839,0
-0.889342,0
-0.458008,0
-0.954184,0
-0.990682,0
-0.991398,0
-0.85067,0
-0.976771,0
-0.664034,0
-0.4424,0
-0.958285,0
-0.93485,0
-0.968105,0
-0.986015,0
-0.990258,0
-0.993817,0
-0.972622,0
-0.992578,0
-0.970403,0
-0.992853,0
-0.993061,0
-0.982237,0
-0.979324,0
-0.879447,0
-0.992446,0
-0.987298,0
-0.992975,0
-0.778928,0
-0.886312,0
-0.987747,0
-0.993829,0
-0.820987,0
-0.211132,2
-0.728934,2
-0.728934,2
-0.843265,2
-0.976431,2
-0.779787,2
-0.95666,2
-0.892177,2
-0.905898,2
-0.99281,2
-0.948399,2
-0.991672,2
-0.838631,2
-0.964254,2
-0.977233,2
-0.991659,2
-0.695656,2
-0.947364,2
-0.99312,2
-0.701502,2
-0.974889,2
-0.972136,2
-0.960108,2
-0.964105,2
-0.74831,2
-0.92706,2
-0.775108,2
-0.979323,2
-0.930941,2
-0.990597,2
-0.932929,2
-0.488638,2
-0.86479,1
-0.86479,1
-0.890731,1
-0.845284,1
-0.632162,1
-0.984121,1
-0.885721,1
-0.940318,0
-0.975005,0
-0.913488,0
-0.97764,0
-0.849768,1
-0.849768,1
-0.849768,1
0.034143,1
0.034143,1
0.034143,1
-0.96506,1
-0.96506,1
-0.96506,1
-0.91493,1
-0.91493,1
-0.981349,1
-0.981349,1
-0.641356,1
-0.641356,1
-0.8507,1
-0.8507,1
-0.8507,1
-0.810547,1
-0.810547,1
-0.955204,1
-0.944159,1
-0.917537,1
-0.939095,1
-0.967656,1
-0.987747,1
-0.946524,1
-0.99095,1
-0.852057,1
-0.992841,1
-0.916851,1
-0.97237,1
-0.995421,1
-0.989517,1
-0.985367,1
-0.92969,1
-0.99421,0
-0.993206,0
-0.857451,0
-0.991545,0
-0.714054,0
-0.9843,0
-0.979943,0
-0.992408,0
-0.977127,0
-0.990468,0
-0.977865,0
-0.980796,0
-0.982805,0
-0.99443,0
-0.992164,0
-0.992925,0
-0.968143,0
-0.992705,0
-0.992411,0
-0.029992,0
-0.914412,0
-0.976917,0
-0.990861,0
-0.99269,0
-0.993946,0
-0.989252,0
-0.974457,0
-0.992388,0
-0.994482,0
-0.992191,0
-0.972257,0
-0.991173,0
-0.989964,0
-0.798245,0
-0.986738,0
-0.992991,0
-0.989582,0
-0.992537,0
-0.987862,0
-0.990182,0
-0.990284,0
-0.925834,0
-0.992644,0
-0.990598,0
-0.769104,0
-0.991171,0
-0.992527,0
-0.986583,0
-0.993713,0
-0.972207,0
-0.991173,0
-0.988046,0
-0.890713,0
-0.992149,0
-0.872356,0
-0.975281,0
-0.991172,0
-0.991172,0
-0.991171,0
-0.961187,0
-0.992501,0
-0.987025,0
-0.98978,0
-0.995812,0
-0.973345,0
-0.922676,0
-1,0
-0.92963,0
-0.992835,0
-0.991172,0
-0.985367,0
-0.990759,0
-0.993231,0
-0.957543,0
-0.991386,0
-0.973481,0
-0.992197,0
-0.057534,0
-0.974641,0
-0.991672,0
-0.990588,0
-0.992231,0
-0.993435,0
-0.993231,0
-0.992547,0
-0.993512,0
-0.99006,0
-0.991911,0
-0.994091,0
-0.990186,0
-0.942856,0
-0.992647,0
-0.994436,0
-0.991686,0
-0.807114,0
-0.994602,0
-0.927062,0
-0.986976,0
-0.993655,0
1,0
-0.981357,0
-0.965979,0
-0.993779,0
-0.994832,0
-0.993618,0
-0.747831,0
-0.991686,0
-0.987266,0
-0.993618,0
-0.831202,0
-0.987324,0
-0.984734,0
-0.913609,0
-0.986024,0
-0.968561,0
-0.993779,0
-0.991171,0
-0.990657,0
-0.992189,0
-0.992704,0
-0.99443,0
-0.988312,0
-0.996206,0
-0.976356,0
-0.992923,0
-0.974149,0
-0.972075,0
-0.997637,0
-0.992237,0
-0.983964,0
-0.532099,0
-0.985641,0
