@relation 'ALLModels-weka.filters.unsupervised.attribute.Remove-R1-10,29-30,40-41-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-weka.filters.unsupervised.attribute.Remove-R1-13,15-27'

@attribute 'd(LOC, CBO)' numeric
@attribute #Severity {0,1,2,3}

@data
0.720033,3
0.720033,3
0.720033,3
0.606712,3
0.606712,3
0.606712,3
0.143813,3
0.143813,3
0.143813,3
-0.209416,3
-0.209416,3
-0.209416,3
0.617091,3
0.617091,3
0.617091,3
0.54762,3
0.54762,3
0.54762,3
0.669618,3
0.669618,3
0.669618,3
0.627082,3
0.627082,3
0.627082,3
0.598104,3
0.598104,3
0.598104,3
0.582097,3
0.582097,3
0.582097,3
0.959681,3
0.959681,3
0.959681,3
0.714032,3
0.714032,3
0.714032,3
0.57912,3
0.57912,3
0.57912,3
0.919788,3
0.919788,3
0.919788,3
0.663864,3
0.663864,3
0.663864,3
0.928129,3
0.928129,3
0.928129,3
0.901518,3
0.901518,3
0.901518,3
0.871533,3
0.871533,3
0.871533,3
0.711081,3
0.711081,3
0.711081,3
0.967508,3
0.967508,3
0.967508,3
0.647117,3
0.647117,3
0.647117,3
0.423302,3
0.423302,3
0.423302,3
0.918223,3
0.918223,3
0.918223,3
0.930544,3
0.930544,3
0.930544,3
0.802595,0
0.930097,0
0.326306,2
0.326306,2
0.655568,2
0.655568,2
0.336399,2
0.336399,2
0.600345,2
0.600345,2
0.838013,2
0.838013,2
0.407777,2
0.407777,2
0.955745,2
0.955745,2
0.752398,2
0.752398,2
0.835694,2
0.835694,2
0.646184,2
0.646184,2
0.689907,2
0.689907,2
0.822157,2
0.822157,2
0.965048,2
0.965048,2
0.859076,2
0.859076,2
0.668562,2
0.668562,2
0.956364,0
0.95617,0
0.648126,0
0.998502,0
0.94689,0
0.484027,0
0.90248,0
0.917798,0
0.990227,0
0.995015,0
0.815034,0
0.93609,0
0.994588,0
0.986651,0
0.900915,0
0.771825,0
0.932624,0
0.556738,0
0.986183,0
0.863662,0
0.901899,0
0.963617,0
0.9994,0
0.948747,0
0.820304,0
0.390939,0
0.894117,0
0.956618,0
0.95626,0
0.77271,0
0.92909,0
0.588181,0
0.379416,0
0.903155,0
0.87151,0
0.910843,0
0.942713,0
0.968536,0
0.986247,0
0.925245,0
0.994588,0
0.927728,0
0.980577,0
0.972942,0
0.938997,0
0.932579,0
0.807491,0
0.976363,0
0.951295,0
0.987657,0
0.703238,0
0.814543,0
0.953219,0
0.990741,0
0.748487,0
0.154082,3
0.154082,3
0.154082,3
0.65109,3
0.65109,3
0.65109,3
0.765585,3
0.765585,3
0.765585,3
0.928643,3
0.928643,3
0.928643,3
0.701051,3
0.701051,3
0.701051,3
0.894609,3
0.894609,3
0.894609,3
0.821381,3
0.821381,3
0.821381,3
0.835485,3
0.835485,3
0.835485,3
0.973948,3
0.973948,3
0.973948,3
0.883741,3
0.883741,3
0.883741,3
0.998076,3
0.998076,3
0.998076,3
0.763664,3
0.763664,3
0.763664,3
0.902548,3
0.902548,3
0.902548,3
0.930611,3
0.930611,3
0.930611,3
0.997518,3
0.997518,3
0.997518,3
0.620716,3
0.620716,3
0.620716,3
0.883385,3
0.883385,3
0.883385,3
0.995147,3
0.995147,3
0.995147,3
0.627269,3
0.627269,3
0.627269,3
0.936068,3
0.936068,3
0.936068,3
0.920235,3
0.920235,3
0.920235,3
0.903867,3
0.903867,3
0.903867,3
0.906483,3
0.906483,3
0.906483,3
0.671167,3
0.671167,3
0.671167,3
0.85315,3
0.85315,3
0.85315,3
0.697776,3
0.697776,3
0.697776,3
0.926094,3
0.926094,3
0.926094,3
0.850763,3
