@relation 'ALLModels-weka.filters.unsupervised.attribute.Reorder-R1,2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,3-weka.filters.unsupervised.attribute.Remove-R1-9,39-40,42-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-weka.filters.unsupervised.attribute.Remove-R1-14,16-29'

@attribute 'd(LOC, Ce)' numeric
@attribute #Severity {0,1,2,3}

@data
0.958706,0
0.95776,0
0.660563,0
0.998576,0
0.948737,0
0.502957,0
0.906,0
0.920715,0
0.99051,0
0.995257,0
0.821508,0
0.93829,0
0.994771,0
0.987176,0
0.904563,0
0.779752,0
0.934971,0
0.572724,0
0.987176,0
0.868492,0
0.905512,0
0.964873,0
0.999529,0
0.950611,0
0.826723,0
0.412294,0
0.89793,0
0.958207,0
0.957756,0
0.780689,0
0.931627,0
0.602657,0
0.400941,0
0.906494,0
0.876098,0
0.91407,0
0.944944,0
0.96962,0
0.986705,0
0.927843,0
0.994771,0
0.930228,0
0.981483,0
0.973885,0
0.941131,0
0.934956,0
0.814377,0
0.977204,0
0.952998,0
0.988136,0
0.714228,0
0.821038,0
0.95489,0
0.990988,0
0.757404,0
0.996681,0
0.997634,0
0.79256,0
0.970565,0
0.655859,0
0.946352,0
0.93732,0
0.979596,0
0.930688,0
0.957742,0
0.930199,0
0.940181,0
0.93587,0
0.975316,0
0.997159,0
0.984331,0
0.915009,0
0.998094,0
0.992401,0
0.020278,0
0.850444,0
0.934478,0
0.964387,0
0.97437,0
0.984325,0
0.950615,0
0.927376,0
0.981495,0
0.971986,0
0.998584,0
0.92214,0
0.999533,0
0.988615,0
0.730847,0
0.953948,0
0.984818,0
0.955839,0
0.977689,0
0.956332,0
0.958231,0
0.968199,0
0.869943,0
0.984339,0
0.996685,0
0.707125,0
0.999533,0
0.988611,0
0.947313,0
0.997156,0
0.922621,0
0.999529,0
0.958698,0
0.824824,0
0.996685,0
0.808203,0
0.928789,0
0.999529,0
0.999525,0
0.999529,0
0.907411,0
0.979592,0
0.950628,0
0.960601,0
0.978647,0
0.925948,0
0.864705,0
0.99094,0
0.866137,0
0.991448,0
0.999529,0
0.949201,0
0.966768,0
0.986227,0
0.906964,0
0.96725,0
0.921183,0
