@relation 'ALLModels-weka.filters.unsupervised.attribute.Remove-R1-10,29-30,40-41-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-weka.filters.unsupervised.attribute.Remove-R1-21,23-27'

@attribute 'd(LOC, RFC, Ca)' numeric
@attribute #Severity {0,1,2,3}

@data
0.714486,3
0.714486,3
0.714486,3
0.599486,3
0.599486,3
0.599486,3
0.129193,3
0.129193,3
0.129193,3
-0.230714,3
-0.230714,3
-0.230714,3
0.609865,3
0.609865,3
0.609865,3
0.539567,3
0.539567,3
0.539567,3
0.663412,3
0.663412,3
0.663412,3
0.620443,3
0.620443,3
0.620443,3
0.59044,3
0.59044,3
0.59044,3
0.574002,3
0.574002,3
0.574002,3
0.958788,3
0.958788,3
0.958788,3
0.708688,3
0.708688,3
0.708688,3
0.571258,3
0.571258,3
0.571258,3
0.918135,3
0.918135,3
0.918135,3
0.657606,3
0.657606,3
0.657606,3
0.926665,3
0.926665,3
0.926665,3
0.899337,3
0.899337,3
0.899337,3
0.868962,3
0.868962,3
0.868962,3
0.706082,3
0.706082,3
0.706082,3
0.966772,3
0.966772,3
0.966772,3
0.640516,3
0.640516,3
0.640516,3
0.413559,3
0.413559,3
0.413559,3
0.916413,3
0.916413,3
0.916413,3
0.929044,3
0.929044,3
0.929044,3
0.798567,0
0.928637,0
0.314186,2
0.314186,2
0.648961,2
0.648961,2
0.324252,2
0.324252,2
0.593348,2
0.593348,2
0.834766,2
0.834766,2
0.397653,2
0.397653,2
0.954776,2
0.954776,2
0.747494,2
0.747494,2
0.832424,2
0.832424,2
0.639451,2
0.639451,2
0.684098,2
0.684098,2
0.818965,2
0.818965,2
0.964301,2
0.964301,2
0.856279,2
0.856279,2
0.662079,2
0.662079,2
0.955377,0
0.955304,0
0.642003,0
0.998456,0
0.945674,0
0.474694,0
0.900601,0
0.91607,0
0.989917,0
0.994773,0
0.811445,0
0.934695,0
0.994457,0
0.986308,0
0.899057,0
0.767557,0
0.931274,0
0.548286,0
0.985825,0
0.860955,0
0.900055,0
0.962829,0
0.999344,0
0.947623,0
0.817157,0
0.380565,0
0.892002,0
0.955676,0
0.955108,0
0.767943,0
0.927686,0
0.580361,0
0.369995,0
0.901241,0
0.869095,0
0.908901,0
0.941275,0
0.967867,0
0.985877,0
0.923789,0
0.994457,0
0.926457,0
0.980123,0
0.972308,0
0.937689,0
0.931155,0
0.803952,0
0.975873,0
0.950234,0
0.987311,0
0.69765,0
0.810988,0
0.952254,0
0.990392,0
0.7443,0
0.139876,3
0.139876,3
0.139876,3
0.644597,3
0.644597,3
0.644597,3
0.760797,3
0.760797,3
0.760797,3
0.92714,3
0.92714,3
0.92714,3
0.695301,3
0.695301,3
0.695301,3
0.89246,3
0.89246,3
0.89246,3
0.818041,3
0.818041,3
0.818041,3
0.832346,3
0.832346,3
0.832346,3
0.973262,3
0.973262,3
0.973262,3
0.881437,3
0.881437,3
0.881437,3
0.997977,3
0.997977,3
0.997977,3
0.759396,3
0.759396,3
0.759396,3
0.900333,3
0.900333,3
0.900333,3
0.929137,3
0.929137,3
0.929137,3
0.997389,3
0.997389,3
0.997389,3
0.613679,3
0.613679,3
0.613679,3
0.880982,3
0.880982,3
0.880982,3
0.994932,3
0.994932,3
0.994932,3
0.620998,3
0.620998,3
0.620998,3
0.934986,3
0.934986,3
0.934986,3
0.918588,3
0.918588,3
0.918588,3
0.902168,3
0.902168,3
0.902168,3
0.904501,3
0.904501,3
0.904501,3
0.665071,3
0.665071,3
0.665071,3
0.850057,3
0.850057,3
0.850057,3
0.692121,3
0.692121,3
0.692121,3
0.924442,3
0.924442,3
0.924442,3
0.847313,3
0.847313,3
0.847313,3
0.9658,3
0.9658,3
0.9658,3
0.867575,3
0.867575,3
0.867575,3
0.410412,3
0.410412,3
0.410412,3
0.787398,2
0.787398,2
0.81155,2
0.81155,2
0.766403,2
0.766403,2
0.549257,2
0.549257,2
0.943747,1
0.807919,2
0.807919,2
0.875652,0
0.924875,0
0.840971,0
0.934292,0
0.76923,2
0.76923,2
-0.100289,2
-0.100289,2
0.904273,2
0.904273,2
0.843486,2
0.843486,2
0.933082,2
0.933082,2
0.558489,2
0.558489,2
0.770765,2
0.770765,2
0.729827,2
0.729827,2
0.891506,2
0.891506,2
0.876352,2
0.876352,2
0.845462,2
0.845462,2
0.870008,2
0.870008,2
0.912646,2
0.912646,2
0.952254,2
0.952254,2
0.884111,2
0.884111,2
0.954087,2
0.954087,2
0.773363,2
0.773363,2
0.969767,2
0.969767,2
0.844394,2
0.844394,2
0.915411,2
0.915411,2
0.977727,2
0.977727,2
0.964072,1
0.953373,1
0.854999,1
0.996203,0
0.997185,0
0.781097,0
0.968794,0
0.637665,0
0.943202,0
0.933674,0
0.97796,0
0.926217,0
0.955177,0
0.92605,0
0.936715,0
0.931902,0
0.973645,0
0.996954,0
0.983384,0
0.910014,0
0.997883,0
0.99194,0
-0.027698,0
0.841994,0
0.930774,0
0.962281,0
0.972808,0
0.983335,0
0.947485,0
0.92083,0
0.980367,0
0.970217,0
0.998065,0
0.917567,0
0.999476,0
0.988048,0
0.715582,0
0.951076,0
0.983793,0
0.953158,0
0.97626,0
0.953594,0
0.955631,0
0.966369,0
0.86297,0
0.981745,0
0.99653,0
0.691325,0
0.999237,0
0.987878,0
0.94406,0
0.996813,0
0.918089,0
0.999498,0
0.956294,0
0.814913,0
0.996478,0
0.797679,0
0.924645,0
0.999432,0
0.999388,0
0.999154,0
0.902098,0
0.978392,0
0.947692,0
0.958174,0
0.977204,0
0.921651,0
0.857359,0
0.990041,0
0.858416,0
0.990828,0
0.999454,0
0.946219,0
0.964801,0
0.98538,0
0.901788,0
0.965185,0
0.916433,0
0.998429,0
-0.004571,0
0.923647,0
0.997999,0
0.964302,0
0.964752,0
0.983359,0
0.98538,0
0.972277,0
0.983836,0
0.952114,0
0.966773,0
0.984244,0
0.961783,0
0.874429,0
0.984905,0
0.973667,0
0.998975,0
0.729189,0
0.981224,0
0.862895,0
0.946648,0
0.988696,0
-1,0
0.926915,0
0.906521,0
0.98987,0
0.97977,0
0.988373,0
0.664599,0
0.99893,0
0.944491,0
0.988373,0
0.746864,0
0.959385,0
0.950854,0
0.845528,0
0.945673,0
0.91571,0
0.98987,0
0.999216,0
1,0
0.997952,0
0.99786,0
0.973645,0
0.955771,0
0.976704,0
0.927709,0
0.99187,0
0.924193,0
0.909657,0
0.992608,0
0.989967,0
0.945269,0
0.460288,0
0.944017,0
