@relation 'ALLModels-weka.filters.unsupervised.attribute.Remove-R1-10,29-30,40-41-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-weka.filters.unsupervised.attribute.Remove-R1-12,14-27'

@attribute 'd(Qi,CBO)' numeric
@attribute #Severity {0,1,2,3}

@data
0.927413,3
0.927413,3
0.927413,3
0.844459,3
0.844459,3
0.844459,3
0.740761,3
0.740761,3
0.740761,3
-0.62802,3
-0.62802,3
-0.62802,3
0.86519,3
0.86519,3
0.86519,3
0.813353,3
0.813353,3
0.813353,3
0.823706,3
0.823706,3
0.823706,3
0.927408,3
0.927408,3
0.927408,3
0.740772,3
0.740772,3
0.740772,3
0.83409,3
0.83409,3
0.83409,3
0.968889,3
0.968889,3
0.968889,3
0.885928,3
0.885928,3
0.885928,3
0.823716,3
0.823716,3
0.823716,3
0.948149,3
0.948149,3
0.948149,3
0.885927,3
0.885927,3
0.885927,3
0.937778,3
0.937778,3
0.937778,3
0.917038,3
0.917038,3
0.917038,3
0.927408,3
0.927408,3
0.927408,3
0.885927,3
0.885927,3
0.885927,3
0.948149,3
0.948149,3
0.948149,3
0.875582,3
0.875582,3
0.875582,3
0.657802,3
0.657802,3
0.657802,3
0.906674,3
0.906674,3
0.906674,3
0.917038,3
0.917038,3
0.917038,3
0.896325,0
0.937778,0
0.792613,2
0.792613,2
0.46078,2
0.46078,2
0.70964,2
0.70964,2
0.854845,2
0.854845,2
0.896297,2
0.896297,2
0.740747,2
0.740747,2
0.968889,2
0.968889,2
0.885934,2
0.885934,2
0.958525,2
0.958525,2
0.896322,2
0.896322,2
0.875571,2
0.875571,2
0.844446,2
0.844446,2
0.948149,2
0.948149,2
0.854842,2
0.854842,2
0.792623,2
0.792623,2
0.522967,0
0.937778,0
0.885934,0
0.948149,0
0.968889,0
0.543742,0
0.906669,0
0.937778,0
0.98963,0
0.927408,0
0.958523,0
0.97926,0
0.958519,0
0.927424,0
0.865198,0
0.989633,0
0.968889,0
0.720033,0
0.68891,0
0.927408,0
0.865197,0
0.968889,0
0.906667,0
0.917038,0
0.896298,0
0.875579,0
0.906668,0
0.917038,0
0.979259,0
0.948154,0
0.927408,0
0.906668,0
0.96889,0
0.98963,0
0.917039,0
0.906677,0
0.854816,0
0.968889,0
