@relation 'ALLModels-weka.filters.unsupervised.attribute.Reorder-R1,2,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,3-weka.filters.unsupervised.attribute.Remove-R1-9,39-40,42-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-weka.filters.unsupervised.attribute.Remove-R1-17,19-29'

@attribute 'd(WMC, Ca)' numeric
@attribute #Severity {0,1,2,3}

@data
0.485458,0
0.905277,0
0.908541,0
0.967717,0
0.943953,0
0.522863,0
0.922159,0
0.954864,0
0.994972,0
0.9102,0
0.912643,0
0.956435,0
0.994972,0
0.957577,0
0.92699,0
0.954864,0
0.958461,0
0.642331,0
0.712411,0
0.965784,0
0.92699,0
0.964446,0
0.914125,0
0.98999,0
0.922159,0
0.90988,0
0.92699,0
0.975324,0
0.954864,0
0.878067,0
0.97053,0
0.882103,0
0.975324,0
0.959631,0
0.92699,0
0.922159,0
0.823936,0
0.969309,0
0.994972,0
0.985054,0
0.994972,0
0.948741,0
0.845438,0
0.994972,0
0.98999,0
0.975324,0
0.907958,0
0.985054,0
0.980166,0
0.936019,0
0.556126,0
0.954864,0
0.975324,0
0.98999,0
0.975324,0
0.883604,0
0.861288,0
0.922854,0
0.963393,0
0.918914,0
0.959631,0
0.984179,0
0.754457,0
0.760573,0
0.98999,0
0.979175,0
0.959631,0
0.88528,0
0.936019,0
0.989229,0
0.979175,0
0.954864,0
0.952577,0
0.984179,0
0.978468,0
0.965784,0
0.97053,0
0.975324,0
0.964446,0
0.984179,0
0.917377,0
-0.607253,0
0.958461,0
0.985054,0
0.786348,0
0.954864,0
0.978468,0
0.994325,0
0.854955,0
0.853317,0
0.925978,0
0.979175,0
0.936019,0
0.883604,0
0.92829,0
0.98999,0
0.954864,0
-0.007364,0
0.994325,0
0.886191,0
0.860813,0
0.952577,0
0.937861,0
0.931869,0
0.954864,0
0.989229,0
0.974219,0
0.945474,0
0.994972,0
0.938321,0
0.959631,0
0.956977,0
0.935529,0
0.818379,0
0.974219,0
0.975324,0
0.98999,0
0.941771,0
0.964446,0
0.936278,0
0.959631,0
0.883398,0
0.965784,0
0.930975,0
0.967717,0
0.959631,0
0.974219,0
0.979175,0
0.968371,0
0.925978,0
0.934521,0
0.968371,0
0.844122,0
0.979175,0
1,0
0.974219,0
0.985054,0
0.984179,0
0.979175,0
0.701362,0
0.968371,0
0.964446,0
0.984179,0
0.94111,0
0.945474,0
0.980166,0
0.969309,0
0.946793,0
0.984179,0
0.918479,0
0.946793,0
0.98999,0
0.969309,0
0.887895,0
0.82924,0
0.956435,0
0.994972,0
0.974219,0
0.979175,0
0.984179,0
0.908541,0
0.962624,0
0.865472,0
0.984179,0
0.933916,0
0.969309,0
0.959631,0
0.81108,0
0.969309,0
0.969309,0
0.984179,0
0.850186,0
0.983586,0
0.979175,0
0.941771,0
0.936019,0
0.979175,0
0.985054,0
0.980166,0
0.952577,0
0.979175,0
0.8333,0
0.883192,0
0.98999,0
0.974219,0
0.948741,0
0.865798,0
0.94728,3
0.817653,3
0.98999,3
0.922854,3
0.979175,3
0.985054,3
0.97053,3
0.980166,3
0.994972,3
0.961085,3
0.911276,3
0.873728,0
0.974219,0
0.961085,2
0.897363,2
0.830443,2
0.798914,2
0.980166,2
0.897012,2
0.870387,2
0.937861,3
0.956435,3
0.989229,3
0.918479,3
0.979175,3
0.92829,3
0.946248,3
0.821401,3
0.975324,3
0.994972,3
0.907405,3
0.974219,3
0.934521,3
0.974219,3
0.9118,3
0.889275,3
0.925255,3
0.97053,3
0.727752,3
0.953578,3
0.914503,3
0.880896,3
0.984179,0
0.803818,0
0.940851,0
0.953578,0
0.975324,2
0.912643,2
0.936278,2
-0.29211,2
0.974219,2
0.985054,2
0.931869,2
0.963393,2
0.9118,2
0.974219,2
0.92829,2
0.907958,2
0.984179,2
0.262542,1
0.974219,1
0.873817,1
0.951833,3
0.951833,3
0.956435,3
0.956435,3
0.736793,3
0.736793,3
0.905656,3
0.905656,3
0.98999,3
0.98999,3
0.553945,3
0.553945,3
0.539647,2
0.539647,2
0.596428,2
0.596428,2
0.901484,2
0.901484,2
0.945474,2
0.945474,2
0.717631,2
0.717631,2
0.957577,2
0.957577,2
0.838972,2
0.838972,2
0.943953,3
0.943953,3
0.839901,3
0.839901,3
0.961085,3
0.961085,3
0.918479,3
0.918479,3
0.863188,3
0.863188,3
0.933916,3
0.933916,3
0.88528,2
0.88528,2
0.936278,2
0.936278,2
0.827885,2
0.827885,2
0.965784,1
0.965784,1
0.72621,2
0.72621,2
0.918914,2
0.918914,2
0.969309,2
0.969309,2
0.877536,2
0.877536,2
0.877536,2
0.877536,2
0.873728,3
0.873728,3
0.873728,3
0.762185,3
0.762185,3
0.762185,3
0.832939,3
0.832939,3
0.832939,3
0.909734,2
0.909734,2
0.909734,2
0.921001,2
0.921001,2
0.921001,2
0.681315,2
0.681315,2
0.681315,2
0.853317,2
0.853317,2
0.853317,2
0.950144,2
0.950144,2
0.950144,2
0.90988,3
0.90988,3
0.90988,3
0.90988,3
0.85129,3
0.85129,3
0.85129,3
0.85129,3
0.673592,2
0.673592,2
0.673592,2
0.673592,2
0.905656,3
0.905656,3
0.905656,3
0.905656,3
0.90306,3
0.90306,3
0.90306,3
0.90306,3
0.90306,3
0.825776,3
0.825776,3
0.825776,3
0.825776,3
0.825776,3
-1,3
-1,3
-1,3
-1,3
-1,3
0.886191,3
0.886191,3
0.886191,3
0.886191,3
0.886191,3
0.886191,3
