@relation 'ALLModels-weka.filters.unsupervised.attribute.Remove-R1-10,29-30,40-41-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-weka.filters.unsupervised.attribute.Remove-R1-10,12-27'

@attribute 'd(WMC,FANIN)' numeric
@attribute #Severity {0,1,2,3}

@data
0.936151,3
0.936151,3
0.936151,3
0.919679,3
0.919679,3
0.919679,3
0.870908,3
0.870908,3
0.870908,3
-0.357955,3
-0.357955,3
-0.357955,3
0.917461,3
0.917461,3
0.917461,3
0.891505,3
0.891505,3
0.891505,3
0.940905,3
0.940905,3
0.940905,3
0.943172,3
0.943172,3
0.943172,3
0.850551,3
0.850551,3
0.850551,3
0.907088,3
0.907088,3
0.907088,3
0.959777,3
0.959777,3
0.959777,3
0.938663,3
0.938663,3
0.938663,3
0.87837,3
0.87837,3
0.87837,3
0.99259,3
0.99259,3
0.99259,3
0.932096,3
0.932096,3
0.932096,3
0.967977,3
0.967977,3
0.967977,3
0.990171,3
0.990171,3
0.990171,3
0.983066,3
0.983066,3
0.983066,3
0.979555,3
0.979555,3
0.979555,3
0.995035,3
0.995035,3
0.995035,3
0.894492,3
0.894492,3
0.894492,3
0.719896,3
0.719896,3
0.719896,3
0.945467,3
0.945467,3
0.945467,3
0.939551,3
0.939551,3
0.939551,3
0.833013,0
0.949122,0
0.732078,2
0.732078,2
0.77572,2
0.77572,2
0.687329,2
0.687329,2
0.921682,2
0.921682,2
0.959679,2
0.959679,2
0.913832,2
0.913832,2
0.967977,2
0.967977,2
0.915399,2
0.915399,2
0.945467,2
0.945467,2
0.928006,2
0.928006,2
0.928006,2
0.928006,2
0.800812,2
0.800812,2
0.963118,2
0.963118,2
0.907887,2
0.907887,2
0.725296,2
0.725296,2
0.612105,0
0.950133,0
0.894707,0
0.989313,0
0.956024,0
0.283412,0
0.923087,0
0.972506,0
0.986836,0
0.952505,0
0.946648,0
0.943172,0
0.995035,0
0.984383,0
0.966595,0
0.939551,0
0.971336,0
0.828731,0
0.927,0
0.956024,0
0.966595,0
0.985409,0
0.989313,0
0.984383,0
0.923087,0
0.917461,0
0.925455,0
0.960728,0
0.947787,0
0.924094,0
0.958363,0
0.917703,0
0.97718,0
0.925455,0
0.925455,0
0.972506,0
0.92785,0
0.987777,0
0.995035,0
0.957327,0
0.995035,0
0.958363,0
0.886804,0
0.995035,0
0.99259,0
0.960728,0
0.916138,0
0.965535,0
0.963118,0
0.976179,0
0.415345,0
0.972506,0
0.952505,0
0.99259,0
0.960728,0
0.940341,3
0.940341,3
0.940341,3
0.69738,3
0.69738,3
0.69738,3
0.903373,3
0.903373,3
0.903373,3
0.931318,3
0.931318,3
0.931318,3
0.849718,3
0.849718,3
0.849718,3
0.945467,3
0.945467,3
0.945467,3
0.94655,3
0.94655,3
0.94655,3
0.913377,3
0.913377,3
0.913377,3
0.958363,3
0.958363,3
0.958363,3
0.951425,3
0.951425,3
0.951425,3
0.997505,3
0.997505,3
0.997505,3
0.92996,3
0.92996,3
0.92996,3
0.99259,3
0.99259,3
0.99259,3
0.945467,3
0.945467,3
0.945467,3
0.981124,3
0.981124,3
0.981124,3
0.899437,3
0.899437,3
0.899437,3
0.952505,3
0.952505,3
0.952505,3
0.995035,3
0.995035,3
0.995035,3
0.938254,3
0.938254,3
0.938254,3
0.981957,3
0.981957,3
0.981957,3
0.943172,3
0.943172,3
0.943172,3
0.973744,3
0.973744,3
0.973744,3
0.940383,3
0.940383,3
0.940383,3
0.932435,3
0.932435,3
0.932435,3
0.753952,3
0.753952,3
0.753952,3
0.956963,3
0.956963,3
0.956963,3
0.950133,3
0.950133,3
0.950133,3
0.657738,3
0.657738,3
0.657738,3
0.788537,3
0.788537,3
0.788537,3
0.927,3
0.927,3
0.927,3
0.936151,3
0.936151,3
0.936151,3
0.746713,2
0.746713,2
0.921667,2
0.921667,2
0.955197,2
0.955197,2
0.873861,2
0.873861,2
0.947787,1
0.842771,2
0.842771,2
0.995035,0
0.868996,0
0.940905,0
0.968953,0
0.925767,2
0.925767,2
0.850551,2
0.850551,2
0.916138,2
0.916138,2
0.949164,2
0.949164,2
0.987777,2
0.987777,2
0.885004,2
0.885004,2
0.945467,2
0.945467,2
0.926788,2
0.926788,2
0.960728,2
0.960728,2
0.951425,2
0.951425,2
0.963468,2
0.963468,2
-0.544807,2
-0.544807,2
0.981957,2
0.981957,2
0.990171,2
0.990171,2
0.936066,2
0.936066,2
0.965535,2
0.965535,2
0.932096,2
0.932096,2
0.990171,2
0.990171,2
0.953711,2
0.953711,2
0.833719,2
0.833719,2
0.995035,2
0.995035,2
0.94669,1
0.957327,1
0.945467,1
0.97483,0
0.971336,0
0.948672,0
0.949122,0
0.940905,0
0.97483,0
0.995035,0
0.983066,0
0.811424,0
0.99259,0
0.984383,0
0.97483,0
0.954847,0
0.951579,0
0.989313,0
0.99259,0
0.972506,0
0.981957,0
0.978639,0
0.997505,0
0.947787,0
0.983066,0
0.960728,0
0.985409,0
0.995035,0
0.912508,0
-1,0
0.971336,0
0.981957,0
0.959777,0
0.972506,0
0.989313,0
1,0
0.913006,0
0.874902,0
0.954903,0
0.99259,0
0.943384,0
0.87616,0
0.953711,0
0.984383,0
0.964264,0
0.087302,0
1,0
0.928006,0
0.997505,0
0.973744,0
0.958363,0
0.968953,0
0.964264,0
0.989313,0
0.981957,0
0.934922,0
0.995035,0
0.942539,0
0.97483,0
0.989313,0
0.989313,0
0.981124,0
0.981957,0
0.985409,0
0.984383,0
0.957327,0
0.97718,0
0.963468,0
0.97483,0
0.956977,0
0.947787,0
0.949122,0
0.997505,0
0.97483,0
0.990171,0
0.99259,0
0.967977,0
0.971336,0
0.967935,0
0.984383,0
0.90783,0
0.99259,0
0.997505,0
0.973744,0
0.973744,0
0.995035,0
0.99259,0
0.840134,0
0.967977,0
0.968953,0
0.995035,0
0.807075,0
0.959679,0
0.971336,0
0.979555,0
0.959777,0
0.986836,0
0.94655,0
0.935191,0
0.984383,0
0.979555,0
0.916323,0
0.906159,0
0.943172,0
0.995035,0
0.990171,0
0.967977,0
0.995035,0
0.919679,0
0.986836,0
0.934075,0
0.995035,0
0.932096,0
0.971336,0
0.966595,0
0.886847,0
0.979555,0
0.979555,0
0.978639,0
0.989313,0
1,0
0.984383,0
0.981957,0
0.951579,0
0.976179,0
0.957327,0
0.979555,0
0.990171,0
0.99259,0
0.824117,0
0.959105,0
0.943384,0
0.990171,0
0.958363,0
0.895109,0
