@relation 'ALLModels-weka.filters.unsupervised.attribute.Remove-R1-10,29-30,40-41-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.unsupervised.attribute.Normalize-S2.0-T-1.0-weka.filters.unsupervised.attribute.Remove-R1-22,24-27'

@attribute 'd(d(LOC,Ce),d(RFC, Ca))' numeric
@attribute #Severity {0,1,2,3}

@data
-0.729175,3
-0.729175,3
-0.729175,3
-0.620023,3
-0.620023,3
-0.620023,3
-0.173241,3
-0.173241,3
-0.173241,3
0.169493,3
0.169493,3
0.169493,3
-0.629862,3
-0.629862,3
-0.629862,3
-0.56312,3
-0.56312,3
-0.56312,3
-0.680669,3
-0.680669,3
-0.680669,3
-0.639903,3
-0.639903,3
-0.639903,3
-0.611297,3
-0.611297,3
-0.611297,3
-0.595746,3
-0.595746,3
-0.595746,3
-0.961119,3
-0.961119,3
-0.961119,3
-0.723696,3
-0.723696,3
-0.723696,3
-0.593203,3
-0.593203,3
-0.593203,3
-0.922517,3
-0.922517,3
-0.922517,3
-0.675208,3
-0.675208,3
-0.675208,3
-0.93061,3
-0.93061,3
-0.93061,3
-0.904485,3
-0.904485,3
-0.904485,3
-0.875823,3
-0.875823,3
-0.875823,3
-0.7212,3
-0.7212,3
-0.7212,3
-0.968644,3
-0.968644,3
-0.968644,3
-0.65898,3
-0.65898,3
-0.65898,3
-0.443491,3
-0.443491,3
-0.443491,3
-0.920691,3
-0.920691,3
-0.920691,3
-0.932781,3
-0.932781,3
-0.932781,3
-0.808905,0
-0.932462,0
-0.349168,2
-0.349168,2
-0.666344,2
-0.666344,2
-0.358751,2
-0.358751,2
-0.614168,2
-0.614168,2
-0.843312,2
-0.843312,2
-0.42831,2
-0.42831,2
-0.957323,2
-0.957323,2
-0.760479,2
-0.760479,2
-0.841172,2
-0.841172,2
-0.657964,2
-0.657964,2
-0.700365,2
-0.700365,2
-0.828419,2
-0.828419,2
-0.966337,2
-0.966337,2
-0.8637,2
-0.8637,2
-0.679273,2
-0.679273,2
-0.955116,0
-0.957842,0
-0.660354,0
-0.998584,0
-0.948628,0
-0.501461,0
-0.905881,0
-0.920521,0
-0.990659,0
-0.994297,0
-0.821272,0
-0.938249,0
-0.994975,0
-0.987035,0
-0.904385,0
-0.779628,0
-0.935043,0
-0.571269,0
-0.983682,0
-0.86823,0
-0.90533,0
-0.964975,0
-0.997719,0
-0.950392,0
-0.826693,0
-0.411965,0
-0.897684,0
-0.958054,0
-0.95745,0
-0.779841,0
-0.931586,0
-0.601873,0
-0.401098,0
-0.906543,0
-0.876001,0
-0.913596,0
-0.943837,0
-0.969769,0
-0.986791,0
-0.927936,0
-0.994975,0
-0.930466,0
-0.980753,0
-0.973914,0
-0.941073,0
-0.934862,0
-0.814151,0
-0.977343,0
-0.95298,0
-0.987977,0
-0.713069,0
-0.820848,0
-0.954899,0
-0.991055,0
-0.757445,0
-0.183109,3
-0.183109,3
-0.183109,3
-0.662712,3
-0.662712,3
-0.662712,3
-0.772963,3
-0.772963,3
-0.772963,3
-0.931057,3
-0.931057,3
-0.931057,3
-0.710882,3
-0.710882,3
-0.710882,3
-0.898079,3
-0.898079,3
-0.898079,3
-0.827539,3
-0.827539,3
-0.827539,3
-0.841062,3
-0.841062,3
-0.841062,3
-0.974764,3
-0.974764,3
-0.974764,3
-0.88762,3
-0.88762,3
-0.88762,3
-0.998294,3
-0.998294,3
-0.998294,3
-0.771837,3
-0.771837,3
-0.771837,3
-0.905431,3
-0.905431,3
-0.905431,3
-0.932949,3
-0.932949,3
-0.932949,3
-0.997236,3
-0.997236,3
-0.997236,3
-0.633537,3
-0.633537,3
-0.633537,3
-0.887233,3
-0.887233,3
-0.887233,3
-0.99536,3
-0.99536,3
-0.99536,3
-0.640386,3
-0.640386,3
-0.640386,3
-0.93855,3
-0.93855,3
-0.93855,3
-0.922917,3
-0.922917,3
-0.922917,3
-0.907369,3
-0.907369,3
-0.907369,3
-0.909525,3
-0.909525,3
-0.909525,3
-0.682281,3
-0.682281,3
-0.682281,3
-0.85761,3
-0.85761,3
-0.85761,3
-0.707962,3
-0.707962,3
-0.707962,3
-0.928302,3
-0.928302,3
-0.928302,3
-0.853717,3
-0.853717,3
-0.853717,3
-0.967769,3
-0.967769,3
-0.967769,3
-0.874554,3
-0.874554,3
-0.874554,3
-0.440418,3
-0.440418,3
-0.440418,3
-0.798424,2
-0.798424,2
-0.821181,2
-0.821181,2
-0.778523,2
-0.778523,2
-0.572323,2
-0.572323,2
-0.946846,1
-0.817666,2
-0.817666,2
-0.882219,0
-0.928645,0
-0.849264,0
-0.937911,0
-0.781155,2
-0.781155,2
0.044862,2
0.044862,2
-0.909082,2
-0.909082,2
-0.851693,2
-0.851693,2
-0.93661,2
-0.93661,2
-0.581088,2
-0.581088,2
-0.782618,2
-0.782618,2
-0.743781,2
-0.743781,2
-0.897204,2
-0.897204,2
-0.882746,2
-0.882746,2
-0.853546,2
-0.853546,2
-0.871342,2
-0.871342,2
-0.91733,2
-0.91733,2
-0.954902,2
-0.954902,2
-0.89025,2
-0.89025,2
-0.956446,2
-0.956446,2
-0.785107,2
-0.785107,2
-0.97147,2
-0.97147,2
-0.852488,2
-0.852488,2
-0.919742,2
-0.919742,2
-0.978856,2
-0.978856,2
-0.960217,1
-0.956034,1
-0.862242,1
-0.994568,0
-0.994855,0
-0.792472,0
-0.970585,0
-0.655997,0
-0.946301,0
-0.937248,0
-0.978101,0
-0.929623,0
-0.957594,0
-0.929939,0
-0.940166,0
-0.935253,0
-0.974867,0
-0.997285,0
-0.984455,0
-0.914738,0
-0.99752,0
-0.992587,0
-0.020467,0
-0.850247,0
-0.93455,0
-0.964411,0
-0.974397,0
-0.984326,0
-0.950063,0
-0.913777,0
-0.981601,0
-0.971816,0
-0.993515,0
-0.921936,0
-0.999499,0
-0.98893,0
-0.730249,0
-0.953598,0
-0.984678,0
-0.955663,0
-0.977565,0
-0.956004,0
-0.957976,0
-0.968354,0
-0.870151,0
-0.967949,0
-0.997001,0
-0.707149,0
-0.996191,0
-0.988676,0
-0.94698,0
-0.996132,0
-0.922453,0
-0.999728,0
-0.958762,0
-0.82455,0
-0.99692,0
-0.808186,0
-0.928693,0
-0.998932,0
-0.998329,0
-0.99498,0
-0.907287,0
-0.979756,0
-0.950545,0
-0.960427,0
-0.978333,0
